Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0031224~intrinsic component of membrane	377	25.49019607843137	9.711994147424927E-13	79473, 7494, 374462, 90134, 54102, 160364, 5733, 79908, 162514, 946, 390445, 219487, 54490, 388336, 4897, 81193, 4107, 9865, 118980, 150, 85320, 79339, 388633, 40, 1826, 80736, 10718, 145978, 11326, 116512, 100505993, 2322, 4889, 196051, 391191, 54898, 1087, 4886, 10720, 353345, 2847, 1811, 5651, 55365, 51761, 8869, 2844, 23784, 2215, 138065, 7173, 203328, 161145, 148930, 2213, 6752, 3598, 222537, 3742, 10321, 3747, 3746, 5618, 54886, 147664, 341116, 390081, 140873, 441509, 124274, 27180, 100271846, 390075, 253559, 5346, 389816, 23017, 390072, 347741, 89876, 222008, 89872, 6476, 27092, 150084, 348938, 83733, 27198, 64084, 388820, 3738, 30061, 23620, 282763, 143425, 25769, 55530, 144195, 641455, 152573, 22917, 58475, 132112, 8435, 54674, 284266, 10599, 11226, 442117, 111, 80307, 23554, 148327, 157855, 2897, 2679, 2899, 2675, 146852, 91181, 2674, 146395, 84179, 60482, 115584, 64579, 2892, 7783, 2264, 196883, 23546, 2260, 10665, 7380, 9215, 154664, 165679, 339967, 2563, 57497, 26047, 2566, 10050, 168507, 3249, 388588, 124842, 2359, 4685, 344892, 163720, 9722, 3805, 341359, 84059, 50636, 4326, 26011, 157724, 388325, 152330, 162540, 266722, 8608, 2690, 125981, 157310, 340980, 8912, 284415, 8911, 2867, 80343, 2350, 4062, 7365, 10786, 7363, 169693, 7369, 7367, 89766, 283694, 7366, 57578, 9452, 5167, 10791, 1008, 1005, 6557, 340895, 158521, 8534, 728441, 27334, 196446, 2099, 387601, 9248, 489, 3681, 90993, 285641, 6966, 441027, 6967, 480, 116285, 25823, 90342, 116337, 6564, 132724, 54210, 26154, 6549, 255027, 4036, 9254, 9543, 79153, 477, 6983, 158131, 114815, 479, 64409, 9058, 27328, 11283, 3000, 25837, 11280, 54328, 4935, 6010, 9365, 51206, 6579, 51207, 9369, 64711, 144110, 92840, 6677, 9027, 346689, 108, 283159, 26996, 9635, 389434, 9022, 51705, 23428, 387914, 192134, 6004, 124872, 9378, 9619, 27202, 9376, 596, 3118, 799, 51802, 6817, 400935, 150000, 114132, 91584, 7434, 7433, 79570, 9177, 259293, 221301, 3120, 11122, 2914, 57828, 94160, 786, 11255, 1048, 441452, 57535, 3781, 100506013, 9283, 6512, 10396, 3779, 54857, 153328, 123099, 3778, 393046, 283897, 3579, 3577, 2046, 56475, 1137, 771, 776, 341640, 654463, 57628, 57526, 6506, 219995, 8778, 6833, 2900, 6252, 79258, 5979, 1234, 644139, 400500, 374, 120400, 1237, 9687, 81248, 26494, 60401, 203859, 388021, 11045, 22953, 6445, 1740, 219865, 92086, 56654, 762, 114788, 3760, 1548, 120939, 64377, 1549, 3754, 56139, 3752, 2528, 6542, 367, 3756, 25849, 654429, 195814, 200010, 2045, 1733, 2925, 442361, 93426, 81832, 1016, 169026, 8000, 54847, 8001, 3764, 3767, 56144, 3768, 91752, 56145, 57101, 9515, 64241	852	5981	18224	1.3482538209808368	5.788489687574838E-10	5.788489687574838E-10	1.4331091868768908E-9
GOTERM_CC_ALL	GO:0016021~integral component of membrane	366	24.746450304259636	1.6129978389298726E-11	79473, 7494, 374462, 90134, 54102, 160364, 5733, 79908, 162514, 946, 390445, 219487, 54490, 388336, 4897, 81193, 4107, 9865, 118980, 150, 85320, 79339, 388633, 40, 1826, 80736, 10718, 145978, 11326, 116512, 100505993, 2322, 4889, 196051, 391191, 54898, 1087, 4886, 10720, 353345, 2847, 1811, 5651, 55365, 51761, 8869, 2844, 23784, 2215, 138065, 7173, 203328, 161145, 148930, 2213, 6752, 3598, 222537, 3742, 10321, 3747, 3746, 5618, 54886, 147664, 341116, 390081, 140873, 441509, 124274, 27180, 100271846, 390075, 253559, 5346, 389816, 23017, 390072, 347741, 89876, 222008, 89872, 6476, 27092, 150084, 348938, 83733, 27198, 64084, 388820, 3738, 30061, 23620, 282763, 143425, 25769, 55530, 144195, 641455, 152573, 22917, 58475, 132112, 8435, 54674, 284266, 10599, 11226, 442117, 111, 80307, 23554, 148327, 157855, 2897, 2679, 2899, 146852, 91181, 146395, 84179, 60482, 115584, 64579, 2892, 7783, 2264, 196883, 23546, 2260, 10665, 7380, 9215, 154664, 165679, 339967, 2563, 57497, 26047, 2566, 10050, 168507, 3249, 388588, 124842, 2359, 4685, 344892, 163720, 9722, 3805, 341359, 84059, 50636, 4326, 26011, 157724, 388325, 162540, 266722, 8608, 2690, 125981, 157310, 8912, 340980, 284415, 8911, 2867, 80343, 7365, 10786, 7363, 169693, 7369, 7367, 89766, 283694, 7366, 57578, 9452, 5167, 10791, 1008, 1005, 6557, 340895, 158521, 8534, 27334, 196446, 2099, 387601, 9248, 489, 3681, 90993, 285641, 6966, 441027, 6967, 480, 116285, 25823, 90342, 116337, 6564, 132724, 54210, 26154, 6549, 255027, 4036, 9254, 9543, 79153, 477, 6983, 158131, 114815, 479, 64409, 9058, 27328, 11283, 3000, 11280, 54328, 4935, 6010, 9365, 51206, 6579, 51207, 9369, 64711, 144110, 92840, 6677, 9027, 346689, 108, 283159, 26996, 9635, 389434, 9022, 23428, 51705, 387914, 192134, 124872, 9378, 9619, 27202, 9376, 596, 3118, 799, 51802, 6817, 400935, 150000, 114132, 91584, 7434, 7433, 79570, 9177, 259293, 221301, 3120, 11122, 2914, 57828, 94160, 786, 11255, 1048, 441452, 57535, 3781, 100506013, 9283, 6512, 10396, 3779, 54857, 153328, 123099, 3778, 393046, 283897, 3579, 3577, 2046, 56475, 1137, 771, 776, 341640, 654463, 57628, 57526, 6506, 219995, 8778, 6833, 2900, 6252, 79258, 5979, 1234, 644139, 400500, 374, 120400, 1237, 9687, 81248, 26494, 60401, 203859, 388021, 11045, 22953, 6445, 1740, 219865, 56654, 762, 114788, 3760, 1548, 120939, 64377, 1549, 3754, 56139, 3752, 2528, 6542, 367, 3756, 25849, 654429, 195814, 200010, 2045, 1733, 2925, 442361, 81832, 1016, 169026, 54847, 8001, 3764, 3767, 56144, 3768, 91752, 56145, 57101, 9515, 64241	852	5872	18224	1.3332118048892811	9.613471796399153E-9	4.806735898199577E-9	2.3800961201914106E-8
GOTERM_CC_ALL	GO:0031226~intrinsic component of plasma membrane	140	9.465855307640297	2.6831405477151074E-11	10791, 90134, 5167, 728441, 5733, 27334, 162514, 946, 388336, 387601, 4897, 9248, 489, 3681, 150, 6967, 85320, 441027, 480, 40, 25823, 1826, 132724, 6564, 10718, 116512, 4889, 2322, 196051, 9543, 6983, 477, 4886, 479, 27328, 9058, 3000, 25837, 11280, 2847, 1811, 8869, 7173, 6010, 6752, 9365, 3742, 6579, 51206, 3747, 9369, 3746, 54886, 441509, 27180, 253559, 389816, 108, 9635, 23428, 89872, 9378, 27202, 9619, 9376, 27092, 3118, 30061, 799, 3738, 23620, 25769, 400935, 91584, 7434, 7433, 9177, 221301, 10599, 2914, 11255, 1048, 57535, 23554, 157855, 2897, 2679, 3779, 2899, 3778, 3579, 2046, 1137, 60482, 115584, 2892, 2264, 6833, 2900, 2260, 5979, 1234, 1237, 339967, 2563, 26047, 2566, 60401, 10050, 11045, 3249, 22953, 2359, 1740, 92086, 762, 9722, 3805, 3760, 3754, 56139, 3752, 6542, 3756, 4326, 26011, 157724, 200010, 2045, 2925, 2690, 8001, 3764, 3767, 2867, 3768, 56144, 56145, 10786, 2350	852	1701	18224	1.7604667787244732	1.5991529767056534E-8	5.330509922352178E-9	3.959170769007869E-8
GOTERM_CC_ALL	GO:0044459~plasma membrane part	194	13.116970926301555	3.291797597666121E-11	90134, 5733, 162514, 946, 4897, 388336, 150, 28834, 85320, 3485, 40, 1826, 10718, 54997, 116512, 4889, 2322, 196051, 4886, 3494, 2847, 1811, 8869, 7173, 148930, 6752, 3742, 3747, 3746, 54886, 441509, 27180, 253559, 389816, 23017, 89872, 6476, 27092, 150084, 64084, 3738, 30061, 23620, 25769, 5239, 7054, 10599, 23554, 157855, 3623, 2679, 2897, 2899, 60482, 115584, 2892, 2264, 2260, 8825, 7380, 339967, 2563, 255189, 57497, 26047, 2566, 168507, 10050, 3249, 2359, 3502, 3503, 869, 9722, 3805, 140730, 4326, 5304, 26011, 157724, 388325, 2690, 8912, 8911, 120892, 2867, 2350, 10786, 7369, 89766, 5167, 10791, 6557, 728441, 55040, 27334, 387601, 9248, 3681, 489, 441027, 6967, 480, 25823, 29993, 132724, 6564, 5174, 4036, 9254, 9543, 477, 6983, 273, 479, 9058, 27328, 3000, 25837, 11280, 4935, 6010, 9365, 6579, 51206, 9369, 9368, 6677, 108, 23428, 9635, 51705, 9378, 27202, 9619, 9376, 3118, 799, 64005, 400935, 91584, 7434, 7433, 9177, 399, 221301, 3120, 2914, 57828, 6725, 786, 11255, 1048, 57535, 3781, 3779, 3778, 3579, 2046, 3055, 1137, 776, 6506, 6833, 2900, 346562, 5979, 1234, 1237, 60401, 11045, 22953, 6445, 1740, 92086, 762, 3760, 85397, 3754, 56139, 3752, 6542, 3756, 2045, 200010, 2925, 81832, 8001, 3764, 3767, 56144, 3768, 56145, 64241	852	2635	18224	1.5747993336362263	1.961912876602412E-8	4.904782247017181E-9	4.8572890154474635E-8
GOTERM_CC_ALL	GO:0005887~integral component of plasma membrane	134	9.060175794455713	1.0488171614390284E-10	10791, 90134, 5167, 5733, 27334, 162514, 946, 388336, 387601, 4897, 9248, 489, 3681, 150, 6967, 85320, 441027, 480, 40, 25823, 1826, 132724, 6564, 10718, 116512, 4889, 2322, 196051, 9543, 6983, 477, 4886, 479, 27328, 9058, 3000, 11280, 2847, 1811, 8869, 7173, 6010, 6752, 9365, 3742, 6579, 51206, 3747, 9369, 3746, 54886, 441509, 27180, 253559, 389816, 108, 9635, 23428, 89872, 9378, 27202, 9619, 9376, 27092, 3118, 30061, 799, 3738, 23620, 25769, 400935, 91584, 7434, 7433, 9177, 221301, 10599, 2914, 11255, 1048, 57535, 23554, 157855, 2897, 3779, 2899, 3778, 3579, 2046, 60482, 1137, 115584, 2892, 2264, 6833, 2900, 2260, 5979, 1234, 1237, 339967, 2563, 26047, 2566, 60401, 10050, 11045, 3249, 22953, 2359, 1740, 9722, 3805, 3760, 3754, 56139, 3752, 6542, 3756, 4326, 26011, 157724, 200010, 2045, 2925, 2690, 8001, 3764, 3767, 2867, 3768, 56144, 56145, 10786	852	1635	18224	1.7530372858968284	6.250953288322592E-8	1.2501906954121011E-8	1.5476063763841807E-7
GOTERM_CC_ALL	GO:0071944~cell periphery	330	22.31237322515213	1.790505897121486E-10	79473, 8419, 90134, 6774, 54102, 160364, 5733, 162514, 946, 390445, 219487, 388336, 4897, 81193, 126353, 150, 28834, 79083, 79339, 85320, 3485, 40, 1826, 80736, 10718, 54997, 116512, 2322, 4889, 196051, 26, 391191, 1087, 4886, 123872, 353345, 2847, 3494, 1811, 8869, 51761, 7200, 2844, 2215, 7173, 203328, 148930, 2213, 6752, 3742, 3747, 5618, 3746, 54886, 28912, 3848, 390081, 441509, 124274, 27180, 820, 2974, 390075, 253559, 27289, 389816, 23017, 390072, 222008, 89872, 6476, 27092, 816, 150084, 27198, 64084, 3738, 30061, 23620, 282763, 25769, 143425, 4100, 22917, 132112, 5239, 7054, 284266, 10599, 111, 23554, 157855, 57580, 3623, 2897, 2679, 2899, 28420, 2675, 2674, 146395, 60482, 55911, 115584, 2892, 7783, 2264, 196883, 2260, 8825, 7380, 2255, 339967, 2563, 255189, 57497, 26047, 2566, 10050, 168507, 3249, 2359, 4685, 344892, 3502, 3503, 869, 9722, 140730, 3805, 51655, 341359, 84059, 8909, 50636, 5304, 4326, 26011, 157724, 388325, 4137, 152330, 2690, 27151, 8912, 340980, 219287, 8911, 2867, 120892, 2350, 4062, 10786, 7369, 8471, 89766, 283694, 57578, 9452, 5167, 26166, 10791, 1008, 1005, 6557, 55040, 728441, 27334, 2099, 387601, 9248, 489, 3681, 441027, 6967, 480, 25823, 90342, 29993, 116337, 92714, 6564, 132724, 54210, 2155, 26154, 6549, 5174, 4036, 9254, 9543, 477, 6983, 158131, 479, 273, 27328, 9058, 27124, 11005, 3000, 25837, 11280, 6698, 54328, 6014, 4935, 6010, 54828, 9365, 6579, 51206, 9369, 9368, 6677, 108, 283159, 23329, 26996, 9635, 389434, 23428, 51705, 6004, 2173, 9378, 9619, 27202, 9376, 3118, 799, 54544, 51802, 64005, 400935, 91584, 7434, 7433, 79570, 9177, 259293, 399, 221301, 3120, 11122, 2914, 431705, 6725, 57828, 7704, 786, 11255, 1048, 57535, 25924, 3781, 9283, 6512, 10396, 3779, 54857, 3778, 388, 393046, 219595, 54959, 1154, 3579, 3577, 2046, 247, 3055, 1137, 771, 776, 341640, 57628, 57526, 6506, 6833, 2900, 346562, 5979, 1234, 1041, 644139, 1237, 81248, 26494, 60401, 203859, 11045, 22953, 6445, 1740, 219865, 92086, 762, 114788, 6707, 85397, 3760, 3754, 56139, 3752, 6542, 367, 3756, 25849, 200010, 2045, 1733, 2925, 81832, 442361, 1016, 169026, 8000, 8001, 3764, 9844, 3767, 56144, 3768, 56145, 57101, 317754, 9515, 64241, 259	852	5256	18224	1.3429588183591656	1.0671412342677655E-7	1.7785688033455926E-8	2.6420203802501874E-7
GOTERM_CC_ALL	GO:0005886~plasma membrane	323	21.839080459770116	3.0527838637128637E-10	79473, 8419, 90134, 6774, 54102, 160364, 5733, 162514, 946, 390445, 219487, 388336, 4897, 81193, 126353, 150, 28834, 79339, 85320, 3485, 40, 1826, 80736, 10718, 54997, 116512, 2322, 4889, 196051, 26, 391191, 1087, 4886, 123872, 353345, 2847, 3494, 1811, 8869, 51761, 7200, 2844, 2215, 7173, 203328, 148930, 2213, 6752, 3742, 3747, 5618, 3746, 54886, 28912, 3848, 390081, 441509, 124274, 27180, 2974, 390075, 253559, 27289, 389816, 23017, 390072, 222008, 89872, 6476, 27092, 816, 150084, 27198, 64084, 3738, 30061, 23620, 282763, 25769, 143425, 4100, 22917, 132112, 5239, 7054, 284266, 10599, 111, 23554, 157855, 57580, 3623, 2897, 2679, 2899, 28420, 2675, 2674, 146395, 60482, 55911, 115584, 2892, 7783, 2264, 196883, 2260, 8825, 7380, 2255, 339967, 2563, 255189, 57497, 26047, 2566, 10050, 168507, 3249, 2359, 4685, 344892, 3502, 3503, 869, 9722, 140730, 3805, 51655, 341359, 84059, 8909, 50636, 5304, 4326, 26011, 157724, 388325, 4137, 152330, 2690, 27151, 8912, 340980, 219287, 8911, 2867, 120892, 2350, 4062, 10786, 7369, 8471, 89766, 283694, 57578, 9452, 5167, 26166, 10791, 1008, 1005, 6557, 55040, 728441, 27334, 2099, 387601, 9248, 489, 3681, 441027, 6967, 480, 25823, 90342, 29993, 116337, 92714, 6564, 132724, 54210, 2155, 26154, 6549, 5174, 4036, 9254, 9543, 477, 6983, 158131, 479, 273, 27328, 9058, 27124, 3000, 25837, 11280, 6698, 54328, 6014, 4935, 6010, 9365, 6579, 51206, 9369, 9368, 6677, 108, 283159, 23329, 26996, 9635, 389434, 23428, 51705, 6004, 9378, 9619, 27202, 9376, 3118, 799, 54544, 51802, 64005, 400935, 91584, 7434, 7433, 79570, 9177, 259293, 399, 221301, 3120, 11122, 2914, 431705, 6725, 57828, 7704, 786, 11255, 1048, 57535, 3781, 9283, 6512, 10396, 3779, 54857, 3778, 388, 393046, 219595, 1154, 3579, 3577, 2046, 247, 3055, 1137, 771, 776, 341640, 57628, 57526, 6506, 6833, 2900, 346562, 5979, 1234, 1041, 644139, 1237, 81248, 26494, 60401, 203859, 11045, 22953, 6445, 1740, 219865, 92086, 762, 114788, 6707, 85397, 3760, 3754, 56139, 3752, 6542, 367, 3756, 25849, 200010, 2045, 1733, 2925, 81832, 442361, 1016, 169026, 8000, 8001, 3764, 9844, 3767, 56144, 3768, 56145, 57101, 317754, 9515, 64241, 259	852	5141	18224	1.3438754813781866	1.819458849139366E-7	2.5992271335262274E-8	4.504603023924858E-7
GOTERM_BP_ALL	GO:0006811~ion transport	120	8.113590263691684	3.0965492415048673E-10	57578, 90134, 5167, 54102, 6557, 1109, 162514, 387601, 489, 285641, 118980, 150, 85320, 480, 40, 885, 80736, 6564, 116337, 54997, 10809, 6549, 5174, 4889, 9254, 477, 479, 9058, 11280, 1811, 7200, 3742, 6579, 3747, 3746, 9368, 213, 18, 441509, 389816, 9022, 23428, 9635, 89872, 51297, 9378, 9376, 596, 27092, 65266, 816, 348938, 30061, 3738, 51802, 25769, 189, 26279, 90070, 79570, 9177, 221301, 286256, 10599, 2056, 786, 11255, 3781, 157855, 6512, 10396, 2897, 3779, 2899, 3778, 60482, 1137, 115584, 771, 776, 2892, 57628, 6506, 7783, 6833, 2900, 2260, 1234, 644139, 2563, 255189, 2566, 168507, 10050, 203859, 3249, 22953, 762, 9722, 8614, 3760, 3754, 3752, 6542, 3756, 50636, 157724, 200010, 3270, 84766, 169026, 8912, 8001, 3764, 8911, 283229, 3767, 3768, 57101, 10786	773	1458	16792	1.7879141179414284	1.8672177161116466E-6	1.8672177161116466E-6	6.009098107995214E-7
GOTERM_MF_ALL	GO:0022836~gated channel activity	45	3.0425963488843815	3.469532078470588E-10	22953, 3742, 90134, 3747, 786, 54102, 3746, 441509, 3781, 157855, 3760, 2897, 3779, 3754, 2899, 3778, 3752, 40, 3756, 9635, 9022, 50636, 1137, 776, 27092, 2892, 3738, 51802, 9254, 6833, 2900, 8912, 8001, 3764, 8911, 11280, 3767, 3768, 57101, 2563, 10786, 9177, 2566, 203859, 3249	781	334	16881	2.9121462580600648	4.2467068039897526E-7	4.2467068039897526E-7	5.622904031277187E-7
GOTERM_BP_ALL	GO:0044699~single-organism process	680	45.97701149425287	3.811168489743755E-10	8419, 7494, 374462, 90134, 6774, 8416, 54102, 121214, 162514, 946, 390445, 388336, 118980, 150, 28834, 85320, 59344, 79083, 10612, 6866, 3485, 1826, 80736, 339479, 2203, 10718, 387778, 55224, 222546, 1428, 3488, 131669, 3292, 196051, 391191, 347, 167, 8309, 2940, 6361, 2944, 10720, 2847, 3494, 1811, 55365, 8869, 2844, 7200, 2949, 84084, 2213, 6752, 3598, 222537, 28912, 319, 1432, 146556, 213, 827, 441509, 140873, 27180, 820, 2974, 6886, 149428, 27289, 5346, 389816, 51195, 1440, 8856, 6476, 51297, 1846, 51298, 51481, 57379, 222, 5241, 27092, 816, 348938, 27198, 118430, 23620, 132671, 282763, 189, 25769, 340533, 6898, 10742, 64798, 50604, 22917, 5239, 149628, 8435, 5126, 225689, 255061, 111, 23554, 148327, 157855, 3381, 57580, 2897, 2899, 2249, 342618, 91181, 146852, 10753, 84179, 121355, 84960, 60482, 142827, 55911, 115584, 80070, 2892, 5925, 2264, 2260, 113220, 8825, 9211, 8456, 7380, 2255, 9215, 165679, 339967, 55908, 29949, 57497, 26047, 5121, 255189, 10050, 168507, 3249, 3263, 10974, 55351, 344892, 863, 862, 869, 79861, 28954, 866, 8614, 140730, 157739, 7278, 341359, 7276, 84059, 50636, 131, 5304, 26011, 126410, 157724, 388325, 3270, 8608, 6999, 10840, 79875, 340980, 8912, 219287, 8911, 2867, 120892, 10786, 7365, 7363, 7369, 8471, 8513, 7367, 7366, 283694, 114822, 9452, 114824, 10791, 2747, 282996, 340895, 728441, 2099, 9248, 3681, 6967, 116285, 90342, 885, 29993, 55024, 116337, 2155, 676, 58158, 4036, 255027, 9547, 3884, 80237, 9254, 79153, 158131, 114815, 79698, 9058, 11283, 11005, 3000, 11281, 11280, 6014, 3211, 54828, 23316, 6010, 4935, 9365, 2625, 9369, 9368, 2167, 3212, 100507650, 260434, 9576, 3899, 2078, 9027, 3034, 1501, 54937, 283159, 23329, 9635, 23428, 9022, 387914, 192134, 6004, 124872, 2173, 1641, 9378, 9619, 9376, 3118, 4010, 799, 9370, 353513, 6817, 283463, 653509, 140801, 79570, 259293, 9177, 221301, 3120, 11122, 2914, 431705, 2056, 6725, 786, 431707, 11255, 3781, 56961, 1769, 219793, 100506013, 9283, 10396, 54857, 3779, 123099, 3778, 56159, 393046, 219595, 158763, 54959, 3579, 3577, 2046, 3055, 56955, 771, 776, 221662, 9400, 6258, 6833, 1758, 2900, 6252, 346562, 644139, 80139, 3642, 60401, 3046, 11045, 1740, 6143, 219865, 762, 3169, 6707, 3760, 345275, 1548, 1549, 3754, 56139, 3752, 2528, 3756, 83657, 79933, 654429, 4904, 3670, 2045, 1733, 2925, 56934, 442361, 93426, 3158, 655, 101927581, 54847, 8001, 343930, 3764, 283229, 9844, 3767, 56144, 3768, 56145, 9515, 79473, 91662, 440915, 1191, 5733, 54490, 219487, 4897, 81193, 9865, 126353, 10202, 51778, 440503, 79339, 40, 56914, 11326, 171024, 7069, 116512, 54997, 283310, 117154, 2322, 4889, 1081, 54898, 26, 4886, 55859, 123872, 353345, 2331, 51761, 160762, 388743, 7173, 3742, 284076, 128344, 221692, 3747, 3849, 54886, 3746, 5618, 440107, 3848, 390081, 124274, 18, 729238, 390075, 253559, 150483, 23017, 390072, 89872, 123745, 10216, 10590, 65266, 150084, 64084, 83733, 30061, 3738, 143425, 55530, 4100, 144195, 152573, 1472, 768239, 132112, 286256, 54674, 7054, 284266, 10599, 6101, 56203, 4857, 11226, 222171, 51673, 442117, 55885, 3623, 4246, 2679, 28420, 4761, 2675, 2674, 199920, 4656, 4654, 92747, 124857, 80319, 7783, 196883, 10439, 154664, 2563, 9607, 2566, 116448, 122970, 2359, 4685, 163720, 3502, 3503, 9722, 3805, 51655, 5521, 728695, 4326, 7080, 23040, 4137, 4674, 283847, 152330, 2690, 125981, 9084, 10551, 2494, 4062, 2350, 646643, 89765, 89766, 57578, 22977, 26166, 5167, 1008, 1005, 6557, 8534, 1109, 27334, 1396, 387601, 489, 1101, 90993, 285641, 10924, 27136, 84530, 6414, 170302, 480, 5948, 6564, 7802, 54210, 26154, 26074, 10809, 6549, 1280, 10140, 84941, 51237, 7547, 5174, 8689, 477, 8682, 273, 479, 51816, 64409, 27124, 246778, 25837, 6407, 10912, 6698, 84332, 54328, 4693, 56547, 10143, 51206, 6579, 117245, 51207, 27019, 200162, 1917, 341676, 6677, 8646, 4583, 25803, 58511, 4586, 162466, 108, 389549, 26996, 51705, 389434, 167465, 10413, 27202, 596, 221002, 143241, 4435, 54544, 51802, 5569, 343578, 57687, 64005, 400935, 150000, 91584, 51314, 7434, 26279, 7433, 90070, 147381, 399, 5816, 84525, 6657, 7021, 6658, 64902, 57828, 94160, 7704, 441452, 1048, 57535, 25924, 6512, 27232, 7123, 1050, 142685, 153328, 114770, 388, 55998, 1154, 5267, 247, 5265, 56475, 5075, 51059, 1137, 7032, 5077, 128178, 7033, 401236, 341640, 155465, 57628, 57526, 6506, 57626, 7031, 1234, 5979, 1041, 1237, 374, 81248, 200810, 5596, 26494, 5276, 203859, 22953, 22952, 6445, 1373, 6441, 92086, 85397, 121643, 121549, 27250, 64377, 197257, 6542, 367, 195814, 200010, 6623, 81832, 1016, 84766, 169026, 1960, 124220, 354, 64388, 5470, 57101, 91807, 259, 64241	773	13377	16792	1.1042645168895928	2.298131692612948E-6	1.1490665065005956E-6	7.395871248760955E-7
