Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
1,Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level,64,4.778E-18,7.148E-15,4.778E-18,7.148E-15,56,"Biglycan, Bcl-9, TrkA, RECK, FGFR2, CD44, LYPD6, SFRP2, CRIPTO, ERK1/2, LGR4, Dsh, Tenascin-N, IQGAP, R-spondin 1, FZD2, p38beta (MAPK11), LGR6, Tenascin-C, Glypican-3, WNT7A, Itch, WLS, LRP5, MEK1/2, MESD, Rab8B, DKK2, Stromelysin-1, WNT5B, LRP5/LRP6, GPR37, Tcf(Lef), Porcn, EGFR, MEK3(MAP2K3), R-spondins, MKK7 (MAP2K7), GPR124, JNK1(MAPK8), ELAVL1 (HuR), RNF43, USP19, ZNRF3, WNT7B, WNT, FZD5, LRP6, RAP-2A, LGR5, Filamin A, SFRP1, Caveolin-1, Glypican-4, Formin 2, Frizzled",2.628E-10,1.228E-08,45,"p38alpha (MAPK14), Biglycan, Bcl-9, RECK, FGFR2, CD44, SFRP2, CRIPTO, ERK1/2, LGR4, Dsh, IQGAP, FZD2, LGR6, Tenascin-C, Glypican-3, WNT7A, Itch, WLS, MEK1/2, MESD, Rab8B, Stromelysin-1, WNT5B, GPR37, Tcf(Lef), Porcn, EGFR, MEK3(MAP2K3), R-spondins, GPR124, JNK1(MAPK8), ELAVL1 (HuR), ZNRF3, WNT7B, WNT, FZD5, LRP6, RAP-2A, LGR5, Filamin A, SFRP1, Caveolin-1, Glypican-4, Frizzled",
2,Immune response_IFN-alpha/beta signaling via JAK/STAT,64,3.950E-16,5.755E-13,2.339E-12,2.916E-10,50,"CBP, PML, IP10, ISG15, JAK1, CCL2, Tyk2, P73 dN-Alpha, RIG-G, CrkL, IL1RN, Apo-2L(TNFSF10), IFN-alpha/beta receptor, IRF1, IFNAR1, Caspase-8, ERAP140, IFN-beta, STAT1, USP18, RAP-1A, TAP1 (PSF1), OAS1, Bax, MxB, STAT4, IFN-alpha, ISG54, SOCS3, MHC class I, RSAD2, XAF1, IFI17, IFI27, c-Cbl, PKR, HIF1A, IFI6, I-TAC, ADAR1, IFNAR2, IRF9, GBP4, C3G, GBP1, Caspase-7, PNPase(old-35), IRF7, STAT5, p53",3.950E-16,5.755E-13,52,"MIG, CBP, PML, IP10, ISG15, JAK1, CCL2, Tyk2, P73 dN-Alpha, IFN-gamma, RIG-G, CrkL, IL1RN, Apo-2L(TNFSF10), IFN-alpha/beta receptor, IRF1, IFNAR1, Caspase-8, ERAP140, IFN-beta, STAT1, USP18, RAP-1A, TAP1 (PSF1), OAS1, Bax, MxB, STAT4, IFN-alpha, ISG54, SOCS3, MHC class I, PIG3, RSAD2, XAF1, IFI17, IFI27, c-Cbl, PKR, HIF1A, IFI6, I-TAC, ADAR1, IFNAR2, IRF9, GBP4, STAT3, GBP1, PNPase(old-35), IRF7, STAT5, p53",
3,Macrophage and dendritic cell phenotype shift in cancer,100,7.699E-16,5.755E-13,2.663E-13,5.691E-11,71,"IDO1, TGF-beta 1, MHC class II, NOTCH1 receptor, IP10, c-Rel (NF-kB subunit), IL-4R type I, PLGF, IL-10, MSR1, M-CSF receptor, SOCS1, Gas6, Apo-2L(TNFSF10), IFN-alpha/beta receptor, IFN-beta, STAT1, NF-kB p50/p50, IL-1 beta, I-kB, GSK3 beta, PI3K reg class IA, IFN-alpha, alpha-V/beta-3 integrin, GM-CSF, SOCS3, RIPK1, IL-13, MHC class I, IL-6, IL-10 receptor, NF-kB, SHIP, TLR9, NF-kB p50/p65, RBP-J kappa (CBF1), OSF-2, TNF-R1, ILT3, TNF-alpha, PGE2R2, MFGE8, HPRG, IFNGR1, PGE2R4, IL-12 receptor, RelA (p65 NF-kB subunit), iNOS, Activin A, HIF1A, TRAF6, IL-4R type II, MER, CSF1, Thrombospondin 1, IRF4, DLL4, COX-2 (PTGS2), WNT5A, TLR4, EPAS1, PERC, CD137 ligand(TNFSF9), TLR7, Jagged1, Calcineurin B (regulatory), p38 MAPK, IL-12 beta, CD86, TLR2, TGF-beta receptor type I",7.699E-16,5.755E-13,71,"IDO1, TGF-beta 1, MHC class II, NOTCH1 receptor, IP10, c-Rel (NF-kB subunit), IL-4R type I, PLGF, IL-10, MSR1, M-CSF receptor, IFN-gamma, SOCS1, Gas6, Apo-2L(TNFSF10), IFN-alpha/beta receptor, IFN-beta, STAT1, NF-kB p50/p50, IL-1 beta, I-kB, GSK3 beta, PI3K reg class IA, IFN-alpha, alpha-V/beta-3 integrin, GM-CSF, SOCS3, RIPK1, MHC class I, IL-6, IL-10 receptor, NF-kB, TLR9, NF-kB p50/p65, RBP-J kappa (CBF1), OSF-2, TNF-R1, CD40L(TNFSF5), TNF-alpha, PGE2R2, MFGE8, HPRG, IFNGR1, PGE2R4, CD80, IL-12 receptor, RelA (p65 NF-kB subunit), iNOS, Activin A, HIF1A, TRAF6, IL-4R type II, MER, CSF1, Thrombospondin 1, IRF4, STAT3, COX-2 (PTGS2), WNT5A, TLR4, EPAS1, PERC, CD137 ligand(TNFSF9), TLR7, Jagged1, Calcineurin B (regulatory), p38 MAPK, IL-12 beta, CD86, TLR2, TGF-beta receptor type I",
4,Development_Regulation of epithelial-to-mesenchymal transition (EMT),64,5.395E-15,4.035E-12,5.395E-15,4.035E-12,53,"VE-cadherin, Arkadia, TGF-beta 1, NOTCH1 receptor, Lef-1, Sno-N, Caldesmon, TGIF, PDGF-R-alpha, SMAD2, Fibronectin, Vimentin, Claudin-1, IL-1 beta, Endothelin-1, SIP1 (ZFHX1B), MMP-2, CREB1, NOTCH4, TWIST1, TNF-R1, PDGF-D, ACTB, TNF-alpha, HGF, HEY1, N-cadherin, TGF-beta 2, RelA (p65 NF-kB subunit), TGF-beta receptor type II, EGFR, ZO-1, c-Jun, PDGF-A, FGF2, TCF8, DLL4, ATF-2, WNT, SLUG, Oncostatin M, ACTA2, Tropomyosin-1, SNAIL1, HGF receptor (Met), Jagged1, MMP-9, PAI1, SRF, Frizzled, EDNRA, TGF-beta receptor type I, PDGF-R-beta",2.043E-13,6.107E-11,49,"VE-cadherin, Arkadia, TGF-beta 1, NOTCH1 receptor, Sno-N, Caldesmon, TGIF, PDGF-R-alpha, SMAD2, Fibronectin, Vimentin, Claudin-1, IL-1 beta, Endothelin-1, SIP1 (ZFHX1B), MMP-2, CREB1, NOTCH4, TWIST1, TNF-R1, PDGF-D, ACTB, TNF-alpha, HGF, N-cadherin, TGF-beta 2, RelA (p65 NF-kB subunit), TGF-beta receptor type II, EGFR, ZO-1, PDGF-A, FGF2, TCF8, ATF-2, WNT, SLUG, Oncostatin M, ACTA2, Tropomyosin-1, SNAIL1, HGF receptor (Met), Jagged1, MMP-9, PAI1, SRF, Frizzled, EDNRA, TGF-beta receptor type I, PDGF-R-beta",
5,Chemotaxis_Lysophosphatidic acid signaling via GPCRs,129,1.730E-14,8.627E-12,1.730E-14,8.627E-12,88,"LPAR3, PLD1, alpha-6/beta-1 integrin, PI3K cat class IA (p110-beta), LARG, ROCK1, ERK1/2, PRK1, ARHGEF1 (p115RhoGEF), HB-EGF, PKC-zeta, Beta-catenin, EGR1, CRK, HDAC7, G-protein alpha-q/11, PKC-epsilon, TRIP6, Rac1, IP3 receptor, ATF-2/c-Jun, LPAR2, MLCP (reg), PI3K reg class IA (p85), Bax, GSK3 beta, PLC-beta, FKHR, PLEKHG2, DIA1, HAS2, alpha-V/beta-3 integrin, LPAR5, Caspase-3, Cyr61, CREB1, MEK1/2, G-protein beta/gamma, CDC42, Actin cytoskeletal, N-CoR, TAZ, AKT(PKB), c-Src, PLC-epsilon, RhoA, Tiam1, cPKC (conventional), G-protein alpha-12 family, LPAR1, PKC-delta, Tcf(Lef), IL-8, EGFR, G-protein alpha-i family, TRAF6, F-Actin cytoskeleton, c-Jun, Caspase-9, LIMK, PLD2, Paxillin, G-protein gamma 12, MEK4(MAP2K4), 4E-BP1, p130CAS, ROCK, AP-1, Caspase-7, PAK, PDZ-RhoGEF, PKC, Vinculin, ATF-2, PLC-delta 1, FasR(CD95), Rho GTPase, JNK(MAPK8-10), MKL1, CTGF, p53, PLC-beta3, ADAM17, p38 MAPK, Elk-1, SRF, Cofilin, mTOR",1.263E-12,2.359E-10,80,"LPAR3, PLD1, alpha-6/beta-1 integrin, PI3K cat class IA (p110-beta), ROCK1, ERK1/2, PRK1, ARHGEF1 (p115RhoGEF), HB-EGF, Beta-catenin, CRK, c-Raf-1, HDAC7, G-protein alpha-q/11, PKC-epsilon, TRIP6, IP3 receptor, YAP1 (YAp65), LPAR2, MLCP (reg), PI3K reg class IA (p85), Bax, GSK3 beta, PLC-beta, FKHR, PLEKHG2, DIA1, HAS2, alpha-V/beta-3 integrin, LPAR5, Caspase-3, Cyr61, CREB1, MEK1/2, G-protein beta/gamma, CDC42, Actin cytoskeletal, N-CoR, TAZ, IL13RA2, AKT(PKB), c-Src, PLC-epsilon, RhoA, Tiam1, cPKC (conventional), G-protein alpha-12 family, LPAR1, Tcf(Lef), IL-8, EGFR, G-protein alpha-i family, TRAF6, F-Actin cytoskeleton, Caspase-9, LIMK, PLD2, MEK4(MAP2K4), G-protein gamma 12, p130CAS, ROCK, PAK, PDZ-RhoGEF, PKC, Vinculin, ATF-2, PLC-delta 1, FasR(CD95), Rho GTPase, JNK(MAPK8-10), MKL1, CTGF, p53, PLC-beta3, ADAM17, p38 MAPK, Elk-1, SRF, Cofilin, mTOR",
6,Immune response_IL-1 signaling pathway,82,7.812E-14,2.723E-11,7.812E-14,2.723E-11,62,"SPHK1, JAM2, IL-1 alpha, IP10, ICAM1, CD44, CCL2, RANKL(TNFSF11), ERK1/2, PKC-zeta, EGR1, IRF1, IFN-beta, MEK4/7, STAT1, IL-1 beta, I-kB, PI3K reg class IA (p85), NF-kB2 (p100), GRO-1, GM-CSF, NF-kB p52/RelB, IL-6, MEK1/2, TPL2(MAP3K8), NF-kB, AKT(PKB), NF-kB p50/p65, MYLK1, PPAR-gamma, TAK1(MAP3K7), TNF-alpha, Sequestosome 1(p62), c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), MMP-13, MCPIP, iNOS, NF-kB1 (p105), NF-kB1 (p50), NF-kB2 (p52), IL-8, TRAF6, MEK3(MAP2K3), IL1RAP, FGF2, PGES, NIK(MAP3K14), PLAU (UPA), MEK4(MAP2K4), CCL7, COX-2 (PTGS2), KHSRP, AP-1, RUNX2, MEKK1(MAP3K1), MAP3K3, IRAK1, JNK(MAPK8-10), Elk-1, MMP-9",4.501E-13,1.122E-10,58,"SPHK1, p38alpha (MAPK14), IL-1 alpha, IP10, ICAM1, CD44, CCL2, RANKL(TNFSF11), ERK1/2, IRF1, IFN-beta, MEK4/7, STAT1, IL-1 beta, I-kB, PI3K reg class IA (p85), NF-kB2 (p100), GRO-1, GM-CSF, NF-kB p52/RelB, IL-6, MEK1/2, TPL2(MAP3K8), NF-kB, AKT(PKB), NF-kB p50/p65, MYLK1, PPAR-gamma, TAK1(MAP3K7), TNF-alpha, Sequestosome 1(p62), c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), MMP-13, MCPIP, iNOS, NF-kB1 (p105), NF-kB1 (p50), NF-kB2 (p52), IL-8, TRAF6, MEK3(MAP2K3), IL1RAP, FGF2, PGES, NIK(MAP3K14), PLAU (UPA), MEK4(MAP2K4), CCL7, COX-2 (PTGS2), KHSRP, RUNX2, MAP3K3, IRAK1, JNK(MAPK8-10), Elk-1, MMP-9",
7,Cell cycle_The metaphase checkpoint,36,9.455E-14,2.723E-11,9.455E-14,2.723E-11,34,"Nek2A, CDC20, MAD2a, MAD2b, PMF1, DSN1, CENP-C, CENP-E, BUB1, CENP-F, MAD1 (mitotic checkpoint), Dynein 1, cytoplasmic, heavy chain, Survivin, BUBR1, PLK1, HP1 gamma, NSL1, MIS12, CENP-B, ZW10, CENP-A, SPBC24, CENP-H, INCENP, SPBC25, BUB3, Rod, Aurora-A, CDCA1, Aurora-B, HEC, HP1 alpha, Zwilch, AF15q14",1.454E-12,2.416E-10,32,"Nek2A, CDC20, MAD2a, MAD2b, PMF1, CENP-C, CENP-E, BUB1, CENP-F, MAD1 (mitotic checkpoint), Dynein 1, cytoplasmic, heavy chain, Survivin, BUBR1, PLK1, HP1 gamma, NSL1, MIS12, CENP-B, ZW10, CENP-A, SPBC24, CENP-H, INCENP, SPBC25, BUB3, Rod, CDCA1, Aurora-B, HEC, HP1 alpha, Zwilch, AF15q14",
8,T follicular helper cell dysfunction in SLE,90,9.554E-14,4.761E-11,1.362E-08,2.343E-07,58,"OX40L(TNFSF4), IL-7 receptor, MHC class II, IL-7, JAK1, Tyk2, CD28, OX40(TNFRSF4), SLAM, IFN-alpha/beta receptor, IFN-beta, STAT1, I-kB, PI3K reg class IA (p85), PKC-theta, FKHR, IKK-alpha, IFN-alpha, RIPK1, CD4, CD84, IL-6, CTLA-4, Fyn, NF-kB, IL-23, AKT(PKB), ICOS, IL-2, BAFF(TNFSF13B), IFNGR1, NTB-A, Osteopontin, PI3K cat class IA, IL-12 receptor, DDX6, PI3K reg class IA (p85-alpha), MCPIP, BAFF-R, IL4RA, NIK(MAP3K14), Bcl-6, IRF4, A20, JAK3, CARD11, RC3H2, 4E-BP1, Hedls, c-Maf, MALT1, CXCL13, PD-1, Bcl-10, TLR7, IL-21 receptor, CD86, BLIMP1 (PRDI-BF1)",9.554E-14,4.761E-11,63,"OX40L(TNFSF4), IL-7 receptor, MHC class II, IL-7, JAK1, Tyk2, IFN-gamma, CXCR5, CD28, OX40(TNFRSF4), IL-17, SLAM, IFN-alpha/beta receptor, IFN-beta, STAT1, I-kB, PI3K reg class IA (p85), PKC-theta, FKHR, IFN-alpha, RIPK1, CD4, CD84, IL-6, CTLA-4, Fyn, NF-kB, IL-23, AKT(PKB), IL-2, CD40L(TNFSF5), BAFF(TNFSF13B), IFNGR1, CD80, NTB-A, Osteopontin, PI3K cat class IA, IL-12 receptor, DDX6, PI3K reg class IA (p85-alpha), MCPIP, BAFF-R, IL4RA, NIK(MAP3K14), Bcl-6, IRF4, A20, JAK3, CARD11, STAT3, RC3H2, Hedls, c-Maf, MALT1, CXCL13, SAP, PD-1, Bcl-10, TLR7, IL-21 receptor, IL-21, CD86, BLIMP1 (PRDI-BF1)",
9,FAK1 signaling in melanoma,42,1.092E-13,2.723E-11,1.092E-13,2.723E-11,38,"ERK1/2, VEGF-A, CRK, RhoC, Fibronectin, Rac1, Talin, Shc, alpha-V/beta-3 integrin, N-Ras, MMP-2, MEK1/2, Actin cytoskeletal, NF-kB, CAS-L, NF-kB p50/p65, TIMP2, c-Src, RhoA, ITGB1, ARCGAP22, RelA (p65 NF-kB subunit), B-Raf, Syntenin 1, NF-kB1 (p50), ROCK2, ITGB3, alpha-5/beta-1 integrin, SOS, PLAU (UPA), Paxillin, DOCK3, p130CAS, PKC-alpha, MMP-14, Caveolin-1, ITGA5, WASF2",6.973E-12,7.446E-10,35,"ERK1/2, VEGF-A, CRK, Fibronectin, Talin, Shc, alpha-V/beta-3 integrin, N-Ras, MMP-2, MEK1/2, Actin cytoskeletal, NF-kB, CAS-L, NF-kB p50/p65, TIMP2, c-Src, RhoA, ITGB1, ARCGAP22, RelA (p65 NF-kB subunit), B-Raf, Syntenin 1, NF-kB1 (p50), ROCK2, ITGB3, alpha-5/beta-1 integrin, SOS, PLAU (UPA), DOCK3, p130CAS, PKC-alpha, MMP-14, Caveolin-1, ITGA5, WASF2",
10,Role of stellate cells in progression of pancreatic cancer,60,1.397E-13,5.223E-11,1.299E-12,1.944E-10,48,"COL1A1, GRO-2, TGF-beta 1, RECK, CCL2, ERK1/2, HB-EGF, ID1, SMAD4, PDGF-R-alpha, SMAD2, Fibronectin, Shc, PI3K reg class IA (p85), IKK-alpha, alpha-V/beta-3 integrin, MEK2(MAP2K2), MMP-2, IL-6, COL1A2, AKT(PKB), PDGF receptor, NF-kB p50/p65, OSF-2, Stromelysin-1, PI3K cat class IA, RelA (p65 NF-kB subunit), MMP-13, IL-8, TGF-beta receptor type II, EGFR, c-Jun, PDGF-A, alpha-5/beta-1 integrin, FGF2, SOS, TIMP1, NF-kB p65/p65, Collagen III, NGF, Galectin-1, ACTA2, SMAD3, CTGF, Fibrinogen (fibrin), Collagen I, TGF-beta receptor type I, PDGF-R-beta",1.397E-13,5.223E-11,47,"COL1A1, GRO-2, TGF-beta 1, RECK, CCL2, ERK1/2, HB-EGF, ID1, c-Raf-1, SMAD4, PDGF-R-alpha, SMAD2, Fibronectin, Shc, PI3K reg class IA (p85), alpha-V/beta-3 integrin, MEK2(MAP2K2), MMP-2, IL-6, COL1A2, AKT(PKB), PDGF receptor, NF-kB p50/p65, OSF-2, Stromelysin-1, MEK1(MAP2K1), PI3K cat class IA, RelA (p65 NF-kB subunit), MMP-13, IL-8, TGF-beta receptor type II, EGFR, PDGF-A, alpha-5/beta-1 integrin, FGF2, SOS, TIMP1, NF-kB p65/p65, Collagen III, NGF, Galectin-1, ACTA2, SMAD3, CTGF, Collagen I, TGF-beta receptor type I, PDGF-R-beta",
