Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
1,Development_Regulation of epithelial-to-mesenchymal transition (EMT),64,2.207E-13,3.105E-10,2.207E-13,3.105E-10,28,"HGF, IL-1 beta, HEY1, N-cadherin, TGF-beta 2, WNT, TGF-beta receptor type II, SLUG, EGFR, SIP1 (ZFHX1B), MMP-2, NOTCH4, Caldesmon, ACTA2, FGF2, PDGF-R-alpha, TWIST1, HGF receptor (Met), Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1, MMP-9, Frizzled, EDNRA, PDGF-R-beta, TNF-alpha",
2,Cell adhesion_ECM remodeling,55,1.491E-12,6.993E-10,1.491E-12,6.993E-10,25,"MMP-13, CD44, SERPINE2, Caveolin-2, PLAT (TPA), MSN (moesin), IL-8, EGFR, MMP-14, MMP-2, Versican, Matrilysin (MMP-7), PLAUR (uPAR), alpha-5/beta-1 integrin, Actin cytoskeletal, alpha-1/beta-1 integrin, Collagen IV, Fibronectin, Kallikrein 1, Nidogen, LAMA4, MMP-9, PLAU (UPA), Syndecan-2, Collagen III",
3,"Immune response_T cell co-signaling receptors, schema",55,1.491E-12,6.993E-10,1.491E-12,6.993E-10,25,"TIM-1, Collagen XIII, BPAG2, MHC class II, PD-L2, LAIR1, CD70(TNFSF7), GITRL, Nectin-3, DNAM1, TIM-4, PD-1, CTLA-4, CD137 ligand(TNFSF9), OX40(TNFRSF4), DPP4, Collagen XXIII, Collagen V, CD137(TNFRSF9), LIGHT(TNFSF14), ICOS, Collagen VI, Galectin-9, PD-L1, Collagen III",
4,Putative roles of SETDB1 and PLU-1 in melanoma,23,2.574E-12,9.055E-10,2.574E-12,9.055E-10,16,"HOXA6, HOXA13, HOXA4, p14ARF, HOXA10, HOXA2, LMO2, HOXA9, HOXA7, HOXA3, HOXA5, TSLP, p16INK4, Jagged1, HOXA11, CDK6",
5,Rheumatoid arthritis (general schema),50,8.644E-12,2.433E-09,8.644E-12,2.433E-09,23,"IL-15, IL-1 beta, TNF-R2, HLA-DRB1, MHC class II, VCAM1, alpha-4/beta-1 integrin, IL-18, ICAM1, HLA-DRB, RANKL(TNFSF11), TLR4, IL-6, TGF-beta, FGF2, MMP-8, PTPN22, CSF1, MHC class II beta chain, IL-2R alpha chain, MMP-9, TLR2, TNF-alpha",
6,Role of stellate cells in progression of pancreatic cancer,60,1.150E-10,2.696E-08,1.150E-10,2.696E-08,24,"GRO-2, NGF, PI3K cat class IA, RECK, MMP-13, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-2, IL-6, Galectin-1, ACTA2, alpha-5/beta-1 integrin, FGF2, COL1A2, CTGF, PDGF-R-alpha, AKT(PKB), PDGF receptor, OSF-2, Fibronectin, PDGF-R-beta, Collagen III",
7,Inhibition of remyelination in multiple sclerosis: role of cell-cell and ECM-cell interactions,47,1.388E-10,2.771E-08,1.388E-10,2.771E-08,21,"NGF, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), TrkA, Tetraspanin-2, NCAM1, PKC, Tenascin-R, CD44, Connexin 26, Connexin 32, Connexin 47, Connexin 30, Actin cytoskeletal, Fyn, Connexin 45, Fibronectin, MMP-9, TLR2",
8,Role of osteoblasts in bone lesions formation in multiple myeloma,35,1.575E-10,2.771E-08,1.575E-10,2.771E-08,18,"HGF, VCAM1, RUNX2, alpha-4/beta-1 integrin, RANKL(TNFSF11), SFRP2, WNT, FasR(CD95), ALPL, TAZ, FasL(TNFSF6), Apo-2L(TNFSF10), Osteoprotegerin, TCF7 (TCF1), BMP2, Frizzled, RANK(TNFRSF11A), TNF-alpha",
9,Glomerular injury in Lupus Nephritis,92,2.251E-10,3.520E-08,2.251E-10,3.520E-08,30,"GRO-2, IL-1 beta, VCAM1, GRO-1, iNOS, IP10, Decorin, ICAM1, CCL2, PKC-alpha, IFN-alpha, IL-8, NGAL, GM-CSF, FasR(CD95), IL-6, TGF-beta, FasL(TNFSF6), AKT(PKB), CSF1, TLR3, Fibronectin, C3a, GRO-3, A20, IFN-beta, MMP-9, IFI56, PDGF-R-beta, TNF-alpha",
10,Eosinophil survival in asthma,67,2.774E-10,3.903E-08,2.774E-10,3.903E-08,25,"TRUNDD(TNFRSF10D), Syk, IL-15, PGE2R2, NGF, c-IAP2, TrkA, iNOS, Eotaxin-2, ICAM1, PGD2R, Lyn, GM-CSF, IL-33, Eotaxin-3, STAT5, CRLF2, Apo-2L(TNFSF10), Eotaxin, TrkB, TSLP, Fibronectin, NT-3, TNF-alpha, TSLPR",
