Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
1,Apoptosis and survival_NGF/ TrkA PI3K-mediated signaling,77,5.804E-09,5.339E-06,1.114E-04,2.483E-03,28,"AKT1, Calcineurin A (catalytic), GRB2, GAB1, H-Ras, PAK2, ERK1/2, p190RhoGAP, Myosin II, PAK1, ILK, RhoG, PI3K reg class IA (p85), FOXO4, p70 S6 kinase1, Calmodulin, Kalirin, MRLC, Bcl-2, VAV-2, Tau (MAPT), PARD6A, VAV-3, LIMK2, AKT(PKB), PDK (PDPK1), PREX1, Tubulin (in microtubules)",5.804E-09,5.339E-06,41,"TrkA, AKT1, ELMO2, Calcineurin A (catalytic), GRB2, GAB1, H-Ras, PAK2, ERK1/2, PKC-zeta, Rac1, BAD, RhoG, PI3K reg class IA (p85), Kalirin, VAV-2, Tau (MAPT), LIMK2, AKT(PKB), PDK (PDPK1), Tubulin (in microtubules), BETA-PIX, Destrin, p190RhoGAP, Myosin II, PAK1, ILK, 4E-BP1, MRCKalpha, FOXO4, p70 S6 kinase1, Cofilin, non-muscle, Calmodulin, N-WASP, MRLC, Bcl-2, FOXO3A, PARD6A, VAV-3, Cofilin, PREX1",
2,Development_PIP3 signaling in cardiac myocytes,47,1.163E-08,5.339E-06,8.684E-05,2.127E-03,20,"Tuberin, G-protein alpha-12 family, GRB2, GAB1, Insulin processed, H-Ras, Cyclin D, p90Rsk, GYS1, p70 S6 kinase1, PI3K reg class IA, PTEN, Insulin receptor, GSK3 alpha/beta, Bcl-XL, IGF-1 receptor, AKT(PKB), IGF-1, PDK (PDPK1), PARD6",1.163E-08,5.339E-06,29,"Tuberin, GRB2, GAB1, Insulin processed, IRS-1, H-Ras, 14-3-3, PKC-zeta, BAD, PI3K reg class IA, Insulin receptor, GSK3 alpha/beta, Bcl-XL, IGF-1 receptor, AKT(PKB), PDK (PDPK1), c-Myc, PARD6, G-protein alpha-12 family, Cyclin D, PTP-1B, Hamartin, GYS1, 4E-BP1, p70 S6 kinase1, PTEN, FOXO3A, IGF-1, PI3K reg class IB (p101)",
3,Development_Positive regulation of WNT/Beta-catenin signaling in the cytoplasm,76,1.378E-08,5.339E-06,5.815E-04,7.718E-03,26,"GSKIP, TBL1X, EGF, BIG1, GRB2, SIAH2, Insulin processed, PP1-cat, Alpha-1 catenin, HSP105, PKA-reg type II (cAMP-dependent), Dsh, ILK, YAP1 (YAp65), BIG2, WNT, Insulin receptor, USP7, FAK1, GSK3 alpha/beta, PP2C alpha, IGF-1 receptor, JNK(MAPK8-10), AKT(PKB), Axin, SET7",1.378E-08,5.339E-06,40,"TBL1X, EGF, BIG1, GRB2, Insulin processed, NKD1, IRS-1, UBE2B, PP1-cat, Alpha-1 catenin, 14-3-3, Makorin-1, Dsh, USP47, ZBED3, Rac1, Insulin receptor, GSK3 alpha/beta, IGF-1 receptor, AKT(PKB), Axin, GSKIP, HECTD1, SIAH2, Tcf(Lef), c-Jun, HSP105, PKA-reg type II (cAMP-dependent), ILK, Trabid, Tankyrases, BIG2, WNT, USP7, FAK1, PP2C alpha, JNK(MAPK8-10), Parathyroid hormone, Frizzled, SET7",
4,Signal transduction_mTORC1 downstream signaling,60,1.429E-08,5.339E-06,3.612E-07,1.079E-04,28,"PDK1, eEF2, SREBP1 (nuclear), G6PD, SCD, PDCD4, MAF1, Cyclin D, eIF4B, HMGCS2, Cytochrome c, MVK, SIN1, ULK1, STAT3, RRN3, p70 S6 kinases, GLUT1, p70 S6 kinase1, MTHFD2, eIF4A, ACSL3, MDM2, 4E-BP2, CLIP170, p70 S6 kinase2, p27KIP1, GRB10",1.429E-08,5.339E-06,34,"SREBP1 (nuclear), SCD, IRS-1, eIF4E, ATF-4, HMGCS2, Cytochrome c, SIN1, ULK1, BAD, p70 S6 kinases, ACSL3, MDM2, 4E-BP2, CLIP170, p27KIP1, YY1, eEF2, G6PD, PDCD4, MAF1, Cyclin D, eEF2K, eIF4B, MVK, 4E-BP1, RRN3, GLUT1, p70 S6 kinase1, MTHFD2, eIF4A, ATG13, p70 S6 kinase2, GRB10",
5,Signal transduction_AKT signaling,43,2.177E-08,6.509E-06,8.129E-04,8.613E-03,17,"Tuberin, GAB1, Cyclin D, p21, GYS1, I-kB, p70 S6 kinase1, PI3K reg class IA, PTEN, MDM2, GSK3 alpha/beta, Bcl-XL, IGF-1 receptor, AKT(PKB), HSP90, PDK (PDPK1), p27KIP1",2.177E-08,6.509E-06,27,"Tuberin, Cyclin D3, GAB1, IRS-1, IKK (cat), p21, BAD, I-kB, PI3K reg class IA, IKK-alpha, MDM2, GSK3 alpha/beta, Bcl-XL, IGF-1 receptor, FasL(TNFSF6), AKT(PKB), HSP90, PDK (PDPK1), p27KIP1, c-Myc, Cyclin D, Hamartin, GYS1, 4E-BP1, p70 S6 kinase1, PTEN, FOXO3A",
6,Development_G-CSF-induced myeloid differentiation,30,5.338E-08,4.349E-05,5.338E-08,4.349E-05,19,"PU.1, E2F1, H-Ras, CCR2, ERK1/2, Lactoferrin, c-Raf-1, ITGAM, PERM, STAT3, Rb protein, CalDAG-GEFII, MEK1/2, G-CSF receptor, Myeloblastin, SHP-1, G-CSF, p27KIP1, C/EBPalpha",3.624E-07,5.548E-05,20,"H-Ras, CCR2, ERK1/2, Lactoferrin, Rb protein, CalDAG-GEFII, C/EBPepsilon, G-CSF receptor, SHP-1, p27KIP1, c-Myc, PU.1, E2F1, c-Jun, ITGAM, PERM, SHP-2, Myeloblastin, G-CSF, C/EBPalpha",
7,Development_Ligand-independent activation of ESR1 and ESR2,44,5.822E-08,4.349E-05,5.822E-08,4.349E-05,24,"MEK1(MAP2K1), EGF, GRB2, ESR1 (nuclear), NCOA3 (pCIP/SRC3), Neuregulin 1, H-Ras, ERK1/2, ErbB3, PKA-reg (cAMP-dependent), c-Raf-1, p90RSK1, ESR2 (nuclear), Adenylate cyclase type V, G-protein alpha-s, ErbB2, PI3K reg class IA, IGF-1 receptor, Cyclin D1, AKT(PKB), TFF1, IGF-1, PDK (PDPK1), ERK1 (MAPK3)",2.382E-04,4.178E-03,21,"EGF, GRB2, ESR1 (nuclear), IRS-1, H-Ras, ERK1/2, ErbB3, PKA-reg (cAMP-dependent), ESR2 (nuclear), Adenylate cyclase type V, ErbB2, PI3K reg class IA, IGF-1 receptor, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), NCOA3 (pCIP/SRC3), G-protein alpha-s, Cyclin D1, TFF1, IGF-1",
8,Regulation of lipid metabolism_Insulin signaling: generic cascades,47,6.178E-08,1.539E-05,3.033E-07,1.079E-04,24,"MEK1(MAP2K1), Tuberin, eEF2, IPP-1, GRB2, eIF2B5, Insulin processed, PDE3B, PP1-cat, H-Ras, ERK1/2, eIF4B, PKA-reg (cAMP-dependent), c-Raf-1, p90RSK1, LIPS, PP1G regulatory subunit, ACLY, p70 S6 kinase1, PI3K reg class IA, Insulin receptor, AKT(PKB), PDK (PDPK1), p70 S6 kinase2",6.178E-08,1.539E-05,28,"Tuberin, GRB2, eIF2B5, Insulin processed, PDE3B, IRS-1, PP1-cat, H-Ras, ERK1/2, PKC-zeta, PKA-reg (cAMP-dependent), GLUT4, PP1G regulatory subunit, PI3K reg class IA, Insulin receptor, AKT(PKB), PDK (PDPK1), eEF2, IPP-1, eEF2K, eIF4B, LIPS, PDHA (somatic), 4E-BP1, ACLY, p70 S6 kinase1, AKT2, p70 S6 kinase2",
9,Development_Negative regulation of WNT/Beta-catenin signaling in the nucleus,89,1.048E-07,2.239E-05,1.612E-03,1.392E-02,28,"ZNF703, KDM2, TBL1X, SP7, AKT1, Calcineurin A (catalytic), WWOX, E2F1, PGAM5, Alpha-1 catenin, NF-AT3(NFATC4), TRIM33, CHD8, TLE, Nitrilase 1, Dsh, KLF4, Menin, FHIT, NLK, SOX2, WNT, eNOS, GPX4, TAB2, Plakoglobin, RUVBL2, Axin",1.048E-07,2.239E-05,43,"ZNF703, TBL1X, SP7, Casein kinase I delta, AKT1, Calcineurin A (catalytic), Lef-1, PGAM5, Alpha-1 catenin, 14-3-3, NF-AT3(NFATC4), PAX7, PC1-CTT, TLE, Nitrilase 1, Dsh, KLF4, Menin, FHIT, RANBP3, CtBP, TAB2, PJA2, Axin, KDM2, WWOX, PKC-delta, Tcf(Lef), E2F1, TRIM33, CHD8, SENP2, NLK, RNF43, SOX2, WNT, FOXO3A, eNOS, GPX4, CHIBBY, Plakoglobin, RUVBL2, Frizzled",
10,Adiponectin in pathogenesis of type 2 diabetes,29,1.888E-07,9.404E-05,1.888E-07,9.404E-05,18,"p38alpha (MAPK14), AdipoR2, ACACA, SREBP1 (nuclear), Adiponectin, Insulin processed, SCD, G6PT, AMPK alpha subunit, FASN, CPT-1B, SREBP1 precursor, CPT-1A, ACACB, Insulin receptor, TORC2, ACOX1, AdipoR1",6.339E-04,8.537E-03,15,"SREBP1 (nuclear), Insulin processed, SCD, FASN, SREBP1 precursor, CPT-1A, ACACB, Insulin receptor, TORC2, ACOX1, AdipoR2, Adiponectin, AMPK alpha subunit, CPT-1B, AdipoR1",
