Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
1,G protein-coupled receptors signaling in lung cancer,76,1.430E-06,1.578E-03,1.430E-06,1.578E-03,12,"STAT3, VIP receptor 1, Galpha(i)-specific peptide GPCRs, GRP-R, Amphiregulin, CCR5, VIP receptor 2, Galpha(q)-specific peptide GPCRs, SSTR2, IL8RA, PGE2R3, IL8RB",
2,Immune response_IL-4-responsive genes in type 2 immunity,70,2.696E-05,1.341E-02,2.696E-05,1.341E-02,10,"STAT3, IL-19, GATA-3, IGHG3, IL13RA2, AID, CCL17, IGHG4, TFF3, Mucin 5AC",
3,TMPRSS2-ERG fusion in Prostate Cancer,46,4.070E-05,1.341E-02,4.070E-05,1.341E-02,8,"Androgen receptor, PEP-19, YB-1, DSCAM, IGSF5 (JAM4), ERG, TAL1, Kallikrein 3 (PSA)",
4,Th2-cytokines induced expression of Mucin 5AC and maintenance of mucous cell phenotype in normal airway epithelium,35,4.861E-05,1.341E-02,4.861E-05,1.341E-02,7,"TITF1, p38alpha (MAPK14), IL13RA2, SP-A, HAG-2, Mucin 5AC, PDEF",
5,Breast cancer (general schema),41,1.403E-04,3.096E-02,1.403E-04,3.096E-02,7,"Androgen receptor, ESR1 (membrane), ESR1 (nuclear), PR (membrane), GHR, Prolactin receptor, PR (nuclear)",
6,Development_FGF and BMP signaling in early embryonic hepatogenesis,31,2.069E-04,3.803E-02,2.069E-04,3.803E-02,6,"Albumin, LRH1, HNF3-alpha, Transthyretin, FGFR4, FGFR1",
7,Development_FGF2 signaling during embryonic stem cell differentiation,34,3.516E-04,5.541E-02,3.516E-04,5.541E-02,6,"TITF1, Albumin, SOX2, FGF10, FGFR1, SOX3",
8,Development_Signaling pathways in embryonic hepatocyte maturation,51,5.661E-04,7.439E-02,5.661E-04,7.439E-02,7,"STAT3, TAT, CPSM, LRH1, Epo, PXR, C/EBPalpha",
9,Putative pathways of hormone action in neurofibromatosis type 1,25,6.070E-04,7.439E-02,6.070E-04,7.439E-02,5,"ESR1 (membrane), ESR1 (nuclear), EGR3, GHR, PR (nuclear)",
10,Dysregulation of direct glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes  ,53,7.179E-04,7.636E-02,7.179E-04,7.636E-02,7,"MaxiK alpha subunit, CACNA1H, SUR1, Kir6.2, PC2, Kv3.1, CACNA1D",
11,Th2-cytokines-induced mucous metaplasia in asthma,40,8.692E-04,7.636E-02,8.692E-04,7.636E-02,6,"TITF1, SP-A, PGE2R3, HAG-2, Mucin 5AC, PDEF",
12,Development_FGF signaling in pancreatic and hepatic differentiation of embryonic stem cells,40,8.692E-04,7.636E-02,8.692E-04,7.636E-02,6,"FGF4, Albumin, Alpha 1-antitrypsin, FGFR4, FGF10, FGFR1",
13,c-Myc in multiple myeloma,16,9.000E-04,7.636E-02,9.000E-04,7.636E-02,4,"STAT3, YB-1, p38 MAPK, C/EBPalpha",
14,Development_Muscle progenitor cell migration in hypaxial myogenesis,41,9.942E-04,7.833E-02,9.942E-04,7.833E-02,6,"PAX3, FGF4, FGFR4, FGFR1, MYOG, MYOD",
15,Role of tumor-infiltrating B cells in anti-tumor immunity,91,1.123E-03,8.258E-02,1.123E-03,8.258E-02,9,"STAT3, MHC class II, AID, PASD1, CTAG2, XAGE1, SOX2, GAGE2, MAGE-1 antigen",
16,Development_Transcription factors in segregation of hepatocytic lineage,30,1.449E-03,9.987E-02,1.449E-03,9.987E-02,5,"Albumin, CPSM, Alpha 1-antitrypsin, FGF10, C/EBPalpha",
17,Regulation of relaxation of airway smooth muscle cells,45,1.637E-03,1.062E-01,1.637E-03,1.062E-01,6,"VIP receptor 1, VIP receptor 2, Adenylate cyclase type IV, Adenylate cyclase type II, PGE2R3, MLCK",
18,Development_Schema: FGF signaling in embryonic stem cell self-renewal and differentiation,47,2.057E-03,1.261E-01,2.057E-03,1.261E-01,6,"TITF1, FGF4, Albumin, SOX2, TAL1, FGF10",
19,Development_G-CSF signaling,49,2.555E-03,1.483E-01,2.555E-03,1.483E-01,6,"STAT3, Hck, G-CSF, p38 MAPK, Bcl-2, IL8RB",
20,Action of lithium on synaptic transmission and autophagy,35,2.938E-03,1.620E-01,2.938E-03,1.620E-01,5,"PP2A regulatory, Adenylate cyclase type V, Adenylate cyclase type II, P2X2, Adenylate cyclase",
21,Regulation of Adenylate cyclase and IMPA1 by lithium in major depressive disorder,22,3.161E-03,1.660E-01,3.161E-03,1.660E-01,4,"Adenylate cyclase type II, Alpha-2A adrenergic receptor, P2X2, Adenylate cyclase",
22,PR action in breast cancer: stimulation of cell growth and proliferation,36,3.333E-03,1.671E-01,3.333E-03,1.671E-01,5,"STAT3, ESR1 (membrane), ESR1 (nuclear), PR (membrane), PR (nuclear)",
23,Development_Early embryonal hypaxial myogenesis,37,3.766E-03,1.806E-01,3.766E-03,1.806E-01,5,"PAX3, FGFR4, Adenylate cyclase, MYOG, MYOD",
24,Cell cycle progression in Prostate Cancer,39,4.748E-03,1.917E-01,4.748E-03,1.917E-01,5,"STAT3, Androgen receptor, Rb protein, p38 MAPK, Prolactin receptor",
25,Immune response_TSLP signalling,39,4.748E-03,1.917E-01,4.748E-03,1.917E-01,5,"STAT3, CISH, CCL17, p38 MAPK, Bcl-2",
26,FGF2 signaling in melanoma,39,4.748E-03,1.917E-01,4.748E-03,1.917E-01,5,"STAT3, PAX3, FGFR4, p38 MAPK, FGFR1",
27,Autocrine Somatotropin signaling in breast cancer,39,4.748E-03,1.917E-01,4.748E-03,1.917E-01,5,"p38alpha (MAPK14), CISH, TFF3, Bcl-2, GHR",
28,Immune response_IL-5 signaling via JAK/STAT,56,5.024E-03,1.917E-01,5.024E-03,1.917E-01,6,"STAT3, AID, Amphiregulin, CISH, XBP1, Bcl-2",
