entrez	log2FoldChange
102724344	-11.2278131915302
6317	-9.97764366771234
3854	-9.2577975690672
3426	-8.90301108676224
25818	-8.88241342991081
1830	-8.84042350186644
9290	-8.55445952491993
3620	-8.5318196621179
728264	-8.32091596846703
3671	-8.28557852213509
79192	-8.23182498038648
345557	-8.2270154952251
6591	-8.13736853624974
3852	-7.91683770967681
9071	-7.89377312469963
5743	-7.83625495594467
85352	-7.77569876270918
5737	-7.65557858466621
1825	-7.65534793854051
11096	-7.62103935986801
9242	-7.5940336310813
2487	-7.58663532550984
30012	-7.56444242181564
9182	-7.40734893697311
10562	-7.35843666590014
3861	-7.31029926418378
5646	-7.28896945926363
100873979	-7.27917379683867
388714	-7.26319490062572
389336	-7.23431418897134
2019	-7.168982147982
6318	-7.16292678381507
84935	-7.13858129522544
91133	-7.10402701901643
84109	-7.05873525449434
7130	-7.04513814848959
3205	-7.03717162578623
8038	-7.00665087731278
221416	-6.99331954002064
132884	-6.93061584964623
4316	-6.92276477185596
100132891	-6.89341175842734
339761	-6.88650426856741
9340	-6.87766314176935
100506115	-6.83165663008741
203413	-6.82128709580013
80114	-6.72483087772656
6098	-6.72026709007052
158038	-6.67351471595327
114902	-6.58907874019174
231	-6.56867625053765
26002	-6.55864869163008
1295	-6.54845436272068
7476	-6.5359871246777
1009	-6.52352587927795
1879	-6.51060942191891
4811	-6.51023345819004
54810	-6.49236339708588
1462	-6.48965829021105
54538	-6.48923488010679
100192378	-6.45138762863467
6373	-6.45055720197042
8492	-6.43889700659101
6492	-6.43066853385807
10804	-6.42876862976458
51299	-6.41776971381506
54331	-6.40823409283088
5918	-6.3939191837926
111216284	-6.35864730229304
1749	-6.32419395187358
1750	-6.30967474092242
107985816	-6.30162432009809
132625	-6.27734283631299
401492	-6.27428484242513
100652988	-6.26477348183736
101928710	-6.24458042175639
255738	-6.19866535291141
101927034	-6.19156328065059
23581	-6.17865564523698
100874323	-6.17755350634859
27303	-6.13997962332957
2304	-6.13852569238849
2903	-6.13705839813748
25928	-6.13690632186114
107075158	-6.12647287126845
10406	-6.12055191721827
5069	-6.11989492721827
53405	-6.10644846393059
3910	-6.10313933012329
645553	-6.10071681367629
6372	-6.09348851954747
126242	-6.05989287670685
400841	-6.03404408178963
8190	-6.01088886119642
3569	-6.00210219159289
201516	-5.99226122814137
115273	-5.99019715476993
644100	-5.98776090599232
10319	-5.97355609177425
8793	-5.97148732050493
132332	-5.96017832742085
6530	-5.9357128817974
1310	-5.93476080480013
50509	-5.9095494451017
6354	-5.90751056098592
28513	-5.89451157426076
4837	-5.89269499290634
8549	-5.89020144130689
100507410	-5.88654810687015
80380	-5.88573379212124
285987	-5.86789635704725
84740	-5.85713941900022
285943	-5.8549583085323
285548	-5.83343994644607
5588	-5.82626628137884
137835	-5.81826406399839
718	-5.816341569496
3428	-5.80478043856016
3474	-5.78494032494397
79931	-5.77518059845806
100628315	-5.772462984702
101929484	-5.76832100467297
28	-5.75462852444091
9119	-5.75181647269917
100996609	-5.74383627162288
84628	-5.73034166668621
103752588	-5.69838612887045
9760	-5.6956333993342
10085	-5.69458463445805
91851	-5.6867938686206
6422	-5.67699653765817
4852	-5.66713955818291
5650	-5.65091232841099
389136	-5.65021371525381
51339	-5.62718569257297
116	-5.61334511052359
103695363	-5.60433375949989
111216280	-5.6022571867707
1131	-5.59897894812136
11063	-5.59739120302736
257240	-5.59303096235715
5653	-5.56954466566795
143903	-5.56441409519776
9447	-5.54780916949333
1755	-5.54316070096473
28984	-5.53975412109834
388939	-5.53888050171091
101927070	-5.5354127799314
151112	-5.52423016215486
116159	-5.51907007981154
6374	-5.51451957425137
100505633	-5.51314857847982
3868	-5.51134731861933
7941	-5.50961031434258
2191	-5.50260352592856
22795	-5.50259823018848
5055	-5.50121647023768
207107	-5.47818534940606
9615	-5.47757151329052
2619	-5.46012729947152
116379	-5.4477637603325
56952	-5.44216377007092
387718	-5.43817590555779
1645	-5.43810886536567
9118	-5.41199799073461
387895	-5.40708312851785
9796	-5.39413904406017
2920	-5.3930932977491
3624	-5.39224154882819
120114	-5.36962795570905
3236	-5.36941201954037
1296	-5.36396300744167
