entrez	max_FC_log2
27121	-14.2650035023636
7432	-13.552466688872
5967	-13.4497448925849
3802	-12.9109424801156
283601	-12.5035276297106
28526	-12.3042723326386
344	-11.5702492725619
5995	-11.263738674845
779	-10.7849367909418
6318	-10.6931567835556
6317	-10.4842348233394
642569	-10.4700487260113
11096	-10.37351771565
285888	-10.3648225311161
54596	-10.2506860134061
1463	-10.1590376752909
10875	-10.1345388450611
1240	-10.1161211339854
100190940	-10
100131176	-9.95084746839873
441178	-9.94953493301701
765	-9.91382023595219
101927229	-9.86294724802092
389655	-9.80219321694183
3854	-9.57021098774737
140690	-9.4882418427773
9313	-9.4666271200415
7146	-9.45285896471381
3001	-9.44610581597702
4995	-9.3780780559955
642425	-9.28540221886225
64321	-9.26714680915498
728716	-9.24031432933371
100505832	-9.23935985027747
260436	-9.22439173326567
1830	-9.21366646526333
25818	-9.09129867870841
151121	-9.07823977785838
3426	-9.07711612721354
10086	-9.0639343057541
129868	-9.0639343057541
6570	-9.02989454966334
10203	-9.01908763659852
2006	-9.01701681403704
79192	-9.00834858129046
5133	-8.85975662001742
3620	-8.82245306360217
7044	-8.81977993183848
729384	-8.7912931485922
100130074	-8.72915722707005
6370	-8.70122065230207
646960	-8.70009540676464
58160	-8.69932952567316
3812	-8.67078186918216
54763	-8.64223224421297
114131	-8.63513471902103
102723505	-8.61176256006487
57093	-8.59523083617498
104355288	-8.58625004658161
284661	-8.58496250072116
57369	-8.57591736111815
646201	-8.52075897277605
255480	-8.4846215270986
140902	-8.467605550083
1493	-8.46449005749906
9965	-8.46251239595602
9290	-8.45890267452839
50509	-8.44883902094225
7130	-8.44039005263191
399939	-8.43796008833447
7018	-8.42558151772486
283116	-8.41658643754191
100505929	-8.41616416473313
3852	-8.39079370446656
6591	-8.37611227519799
10630	-8.30801202167781
3762	-8.29951331836533
1116	-8.26555408003759
30012	-8.25512301484779
101929344	-8.25171909260596
3671	-8.22614101100886
728264	-8.21334728173344
11341	-8.21150410519371
100873979	-8.20554891117303
284196	-8.17592374206376
3861	-8.17138443750973
100996609	-8.11149262684286
100505967	-8.09633928557749
114902	-8.0900716937531
388714	-8.06177619758669
5139	-8.03886124568963
85352	-8.02989454966334
54019	-8.02680005934372
2487	-8.01746120384489
101927350	-8.00450139223494
4852	-7.99976269511569
3356	-7.88264304936184
163782	-7.8595712520677
810	-7.84516457456569
642612	-7.82145511910246
147228	-7.81506301719287
5629	-7.81292600740961
1805	-7.80219321694183
27240	-7.77372414417632
146849	-7.77082904603249
419	-7.72653059293453
386746	-7.71768509855696
57611	-7.70102989816196
285205	-7.69951461708927
29851	-7.68800815817602
340970	-7.64500988439109
9182	-7.63415760634343
5737	-7.61601781794994
653192	-7.60407132366886
112488740	-7.59724887404899
2019	-7.5900118836342
7484	-7.57893871309339
9023	-7.56158799234735
125336	-7.5611364869949
1825	-7.55500081485602
100192378	-7.54287709935414
400581	-7.54283391846667
643445	-7.53915881110803
100128254	-7.52606881166759
260429	-7.51927186568829
1621	-7.51138843666138
3290	-7.49916252319221
100628315	-7.49491011738761
3950	-7.49185309632968
1149	-7.47248777146274
166752	-7.47248777146274
151112	-7.47248777146274
5122	-7.46858331700683
353194	-7.44271905085008
1281	-7.42690489982548
4316	-7.40524587522432
646508	-7.40258575823259
258	-7.40053792958373
201516	-7.38887833881199
117156	-7.37881315842901
283303	-7.3775865222019
3205	-7.36817648756887
402381	-7.36560413947434
284366	-7.35654629175694
6492	-7.33046876659032
101929445	-7.25900340281768
112488739	-7.25410865015579
79931	-7.25266543245025
10562	-7.24867593790816
7143	-7.24402305898767
2903	-7.23744899563932
6354	-7.22881869049588
8038	-7.20380267553013
5646	-7.20008820486666
387357	-7.19038910400203
80177	-7.18784690943957
101929027	-7.16188768237689
101928399	-7.16027483140859
53942	-7.15858673893403
101927700	-7.15785216914174
84935	-7.15318173760774
969	-7.13767080243769
9242	-7.13568078814312
132884	-7.13545278418517
50700	-7.13093086982645
441871	-7.12101540096137
5743	-7.1097501560011
219409	-7.10433665981474
55273	-7.10281080558378
9509	-7.06670428108354
107075158	-7.05930582876238
80114	-7.05322420131711
677779	-7.03121873061072
100506115	-7.01851548753285
5100	-7.0135202657588
5968	-7.00760953356112
3888	-7.00450139223494
389336	-6.99950739922219
56751	-6.98079052039859
1828	-6.97805744711932
121391	-6.96962635095648
441521	-6.96496497358662
102723920	-6.96347412397489
53919	-6.96347412397489
101927740	-6.94953493301701
400558	-6.94163454493325
23349	-6.93601431058009
7535	-6.93381095329338
5243	-6.93156300005257
5455	-6.93081124422722
26223	-6.91950287153065
4499	-6.89875252616484
100132891	-6.88752527074159
128674	-6.87479696589867
6285	-6.86310306999303
345557	-6.85404703069461
1462	-6.84274586315538
3885	-6.84027899339411
2554	-6.83490124894327
84109	-6.8348273846988
7101	-6.83289001416474
886	-6.81762325751143
339761	-6.81717178041781
100874323	-6.80865875860445
126767	-6.80219321694183
221303	-6.79701297783615
5159	-6.79227977760432
103752588	-6.78659636189081
9119	-6.77188557851537
8403	-6.77082904603249
158038	-6.76686014382955
89870	-6.76117127588687
101101772	-6.75735154211495
9071	-6.74492601626898
1469	-6.74405553895497
7293	-6.74281466986289
1800	-6.73674663820845
440068	-6.73645025390679
203413	-6.72931079616309
55821	-6.70859384988953
144423	-6.69985551281183
143503	-6.68720069465189
100507410	-6.68481873755322
7476	-6.67978604692275
26082	-6.6724253419715
6098	-6.66709565065038
79097	-6.6667565918848
26002	-6.66655778162618
6332	-6.64673869830785
100421389	-6.63807383718072
3062	-6.62935662007961
100996635	-6.62058641045188
1044	-6.61747826912569
23359	-6.60384885148344
93432	-6.5857882348127
54075	-6.58496250072116
51299	-6.58342907803555
111216280	-6.58025037337184
22801	-6.5730186359298
10107	-6.5668151540109
8492	-6.56128794516483
6932	-6.55461868638292
387597	-6.5452163219284
91133	-6.52577411346599
51716	-6.5254056560407
10659	-6.50793080130879
6530	-6.48628531874029
3273	-6.47248777146274
105371226	-6.46969995409112
1750	-6.46843098132843
1749	-6.46180461849079
100874194	-6.4594316186373
147372	-6.45477849183169
56667	-6.45407720503332
84101	-6.44128427192704
100874351	-6.43629511983936
100506421	-6.43480783166847
54575	-6.42971566816902
647219	-6.42359344980288
255738	-6.42094193230497
105374885	-6.41278152533848
4811	-6.41069849731263
8549	-6.4028622690223
54810	-6.39231742277876
101927034	-6.39231742277876
110806276	-6.37851162325373
101929337	-6.37724997468982
6581	-6.37609707032043
2918	-6.37600066119729
101927070	-6.37542564337999
257240	-6.37155886261196
401492	-6.36457243229586
53940	-6.35895882583233
132332	-6.33938529196391
353133	-6.32912359629157
5456	-6.32912359629157
921	-6.32753806322995
3627	-6.32204831446502
117195	-6.31614574229336
131096	-6.31586536234089
1117	-6.30113521099005
6044	-6.29710508192349
9514	-6.27777225815572
1295	-6.27375018949517
6511	-6.26587672478477
10631	-6.25685042602006
2307	-6.25574436990332
119467	-6.25029841790633
440695	-6.24792751344359
101928710	-6.2460279805281
2	-6.24286985693722
231	-6.23978207407168
2304	-6.23388806017428
10319	-6.22196571957963
150596	-6.21723071622067
645553	-6.21298728444167
136157	-6.20789285164133
23436	-6.20163386116965
81075	-6.20163386116965
5918	-6.19948861257403
3868	-6.17058036394414
1144	-6.16992500144231
105377682	-6.15785216914174
28513	-6.15188082597255
53405	-6.15161312316537
158326	-6.14600345113892
2532	-6.14567745519564
6373	-6.14159627838382
100506737	-6.13750352374994
285943	-6.13570333989929
223117	-6.13561748480078
8190	-6.12135445640678
