Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0071944~cell periphery	271	28.8604898828541	1.5234933042335234E-12	8419, 90134, 54102, 3084, 126755, 5733, 120787, 388336, 4897, 150, 79083, 85320, 3485, 40, 23136, 1826, 80736, 375033, 10718, 56341, 54997, 5745, 933, 2322, 26, 1087, 4886, 164656, 390061, 2849, 390064, 353345, 3497, 3494, 2846, 51761, 7200, 2844, 2215, 7173, 203328, 23533, 3741, 5618, 124274, 353135, 820, 253559, 390073, 4099, 222008, 624, 8447, 55876, 816, 64084, 30061, 23620, 143425, 4100, 6387, 7053, 353132, 185, 22917, 7223, 51284, 420, 5239, 7054, 10599, 111, 83446, 157855, 57580, 2899, 2675, 2674, 10060, 146395, 5320, 50863, 160728, 7783, 196883, 4973, 8825, 7380, 4160, 2563, 57497, 2566, 2567, 10050, 3249, 10268, 51557, 4685, 126129, 140730, 386617, 51655, 162998, 341359, 2558, 2559, 8909, 57194, 5304, 2555, 26011, 958, 157724, 4137, 4671, 152330, 2690, 8912, 340980, 8911, 2867, 10786, 4145, 7369, 8471, 83992, 89766, 387748, 1003, 1293, 26166, 5167, 1008, 6557, 1006, 2099, 489, 59284, 27133, 1524, 6967, 441027, 25823, 116337, 84539, 887, 4923, 6549, 23704, 5174, 4036, 9254, 9543, 6983, 158131, 273, 3351, 3354, 11005, 3687, 3542, 54328, 401190, 6014, 4935, 283160, 9365, 6579, 219429, 9369, 342035, 22997, 219527, 28793, 108, 283159, 10178, 9635, 389434, 23428, 6004, 27202, 27201, 3118, 799, 51802, 9568, 5054, 400935, 91584, 7434, 79570, 644672, 399, 11122, 2914, 431705, 6725, 284254, 786, 1048, 57535, 25924, 56776, 2813, 54857, 3779, 3778, 388, 28874, 54959, 3577, 2046, 247, 246, 771, 341640, 23213, 390275, 57628, 6506, 57526, 778, 2900, 346562, 1234, 441161, 1041, 1237, 26494, 26495, 60401, 26497, 11045, 57451, 219865, 92086, 138881, 56659, 3754, 202374, 56139, 3752, 3757, 6542, 5799, 25849, 2045, 1733, 2925, 1363, 2731, 442361, 1016, 169026, 1012, 8000, 8001, 3764, 9844, 338322, 114784, 3768, 84258, 56144, 57101, 317754, 3565, 259, 84251, 4916	642	4985	16987	1.4384202451591535	8.043805621582578E-10	8.043805621582578E-10	2.2106316777126267E-9
GOTERM_CC_ALL	GO:0005886~plasma membrane	264	28.115015974440894	7.360392150719283E-12	8419, 90134, 54102, 3084, 126755, 5733, 120787, 388336, 4897, 150, 85320, 3485, 40, 23136, 1826, 80736, 375033, 10718, 56341, 54997, 5745, 933, 2322, 26, 1087, 4886, 164656, 390061, 2849, 390064, 353345, 3497, 3494, 2846, 51761, 7200, 2844, 2215, 7173, 203328, 23533, 3741, 5618, 124274, 353135, 253559, 390073, 4099, 222008, 624, 8447, 55876, 816, 64084, 30061, 23620, 143425, 4100, 6387, 7053, 353132, 185, 22917, 7223, 51284, 420, 5239, 7054, 10599, 111, 83446, 157855, 57580, 2899, 2675, 2674, 10060, 146395, 5320, 50863, 160728, 7783, 196883, 4973, 8825, 7380, 4160, 2563, 57497, 2566, 2567, 10050, 3249, 10268, 51557, 4685, 126129, 140730, 386617, 51655, 162998, 341359, 2558, 2559, 8909, 57194, 5304, 2555, 26011, 958, 157724, 4137, 4671, 152330, 2690, 8912, 340980, 8911, 2867, 10786, 4145, 7369, 8471, 89766, 387748, 1003, 1293, 26166, 5167, 1008, 6557, 1006, 2099, 489, 59284, 27133, 1524, 6967, 441027, 25823, 116337, 84539, 887, 4923, 6549, 23704, 5174, 4036, 9254, 9543, 6983, 158131, 273, 3351, 3354, 3687, 3542, 54328, 401190, 6014, 4935, 283160, 9365, 6579, 219429, 9369, 342035, 22997, 219527, 28793, 108, 283159, 10178, 9635, 389434, 23428, 6004, 27202, 27201, 3118, 799, 51802, 9568, 5054, 400935, 91584, 7434, 79570, 644672, 399, 11122, 2914, 431705, 6725, 284254, 786, 1048, 57535, 56776, 2813, 54857, 3779, 3778, 388, 28874, 3577, 2046, 247, 246, 771, 341640, 23213, 390275, 57628, 6506, 57526, 778, 2900, 346562, 1234, 1041, 1237, 26494, 26495, 60401, 26497, 11045, 57451, 219865, 92086, 138881, 56659, 3754, 202374, 56139, 3752, 3757, 6542, 5799, 25849, 2045, 1733, 2925, 1363, 2731, 442361, 1016, 169026, 1012, 8000, 8001, 3764, 9844, 338322, 114784, 3768, 84258, 56144, 57101, 317754, 3565, 259, 84251, 4916	642	4881	16987	1.431122395249939	3.886315269596707E-9	1.9431576347983537E-9	1.0680534234808192E-8
GOTERM_CC_ALL	GO:0031224~intrinsic component of membrane	287	30.564430244941427	3.894846859875071E-11	7494, 374462, 90134, 54102, 3084, 126755, 5733, 79908, 54490, 120787, 388336, 4897, 150, 85320, 40, 1826, 80736, 375033, 10718, 145978, 100505993, 5745, 124912, 1084, 933, 2322, 64478, 54898, 1087, 4886, 164656, 390061, 2849, 390064, 353345, 10720, 2846, 55365, 51761, 2844, 23784, 2215, 138065, 84689, 7173, 203328, 161145, 222537, 10321, 3741, 5618, 27087, 124274, 100271846, 253559, 503497, 390073, 4099, 347741, 89876, 222008, 624, 348938, 83733, 64084, 30061, 63910, 23620, 143425, 144195, 641455, 185, 22917, 58475, 7223, 51284, 420, 10599, 11226, 83445, 442117, 111, 157855, 2899, 2675, 2674, 10060, 146395, 64579, 50863, 160728, 7783, 196883, 4973, 7380, 165679, 4160, 2563, 57497, 2566, 2567, 10050, 3249, 10268, 4685, 126129, 163720, 386617, 9717, 162998, 341359, 730130, 2558, 2559, 57194, 2555, 26011, 958, 157724, 152330, 2690, 125981, 645961, 8912, 340980, 284415, 8911, 2867, 10786, 169693, 7363, 7369, 7367, 89766, 387748, 7366, 1003, 728588, 5167, 1008, 57574, 6557, 1006, 8534, 2099, 489, 59284, 90993, 27133, 1524, 6966, 441027, 6967, 25823, 116337, 84539, 887, 4923, 23302, 6549, 23704, 255027, 4036, 9254, 79153, 9543, 6983, 158131, 114815, 3351, 3354, 11283, 3687, 54328, 4935, 283160, 9365, 6579, 219429, 51207, 9369, 64711, 144110, 342035, 22997, 219527, 9027, 346689, 108, 283159, 10178, 9635, 389434, 23428, 9022, 6004, 124872, 27202, 596, 27201, 3118, 112817, 799, 51802, 9568, 400935, 84620, 150000, 91584, 7434, 79570, 414152, 644672, 11122, 2914, 94160, 284254, 786, 1048, 441452, 57535, 2813, 54857, 3779, 153328, 3778, 123099, 3577, 2046, 7903, 771, 341640, 390275, 57628, 57526, 6506, 219995, 778, 2900, 6252, 79258, 1234, 400500, 1237, 9687, 51338, 26494, 26495, 60401, 26497, 11045, 57451, 219865, 92086, 138881, 56659, 120939, 1549, 3754, 64377, 56139, 3752, 3757, 6542, 5799, 25849, 654429, 195814, 554236, 54587, 2045, 1733, 2925, 442361, 1016, 169026, 1012, 8000, 8001, 54847, 3764, 114784, 3768, 84258, 56144, 57101, 4916	642	5513	16987	1.3774491106549063	2.0564813629775358E-8	6.854937950606654E-9	5.6517057700489204E-8
GOTERM_CC_ALL	GO:0044425~membrane part	326	34.71778487752928	1.0366180125202882E-10	7494, 374462, 90134, 54102, 3084, 126755, 5733, 79908, 54490, 120787, 388336, 4897, 150, 85320, 3485, 40, 23136, 1826, 80736, 375033, 10718, 145978, 54997, 100505993, 5745, 124912, 1084, 933, 2322, 64478, 54898, 1087, 4886, 164656, 390061, 2849, 390064, 3497, 353345, 10720, 3494, 2846, 55365, 51761, 2844, 23784, 2215, 138065, 84689, 7173, 203328, 161145, 23533, 222537, 10321, 3741, 5618, 27087, 124274, 100271846, 729238, 390073, 253559, 503497, 4099, 347741, 89876, 222008, 624, 8447, 816, 348938, 83733, 64084, 30061, 63910, 23620, 143425, 6387, 7053, 144195, 641455, 185, 22917, 58475, 7223, 51284, 420, 5239, 7054, 10599, 11226, 83445, 442117, 111, 157855, 2899, 2675, 2674, 10060, 146395, 5320, 50863, 64579, 160728, 7783, 196883, 4973, 8825, 7380, 165679, 4160, 2563, 57497, 2566, 2567, 10050, 3249, 10268, 4685, 126129, 163720, 140730, 386617, 9717, 162998, 341359, 730130, 2558, 2559, 57194, 5304, 2555, 26011, 126410, 958, 157724, 4671, 152330, 2690, 125981, 645961, 8912, 340980, 284415, 8911, 2867, 10786, 7363, 169693, 4145, 7369, 7367, 89766, 387748, 7366, 1003, 728588, 5167, 1008, 57574, 6557, 1006, 8534, 2099, 489, 59284, 90993, 27133, 1524, 6966, 441027, 6967, 25823, 116337, 887, 84539, 4923, 23302, 6549, 23704, 5174, 255027, 4036, 152789, 9254, 9543, 79153, 6983, 158131, 114815, 273, 3351, 3354, 11283, 11005, 3687, 3542, 54328, 6014, 4935, 283160, 9365, 6579, 219429, 51207, 9369, 64711, 144110, 342035, 22997, 219527, 9027, 346689, 108, 283159, 10178, 9635, 389434, 9022, 23428, 6004, 124872, 27202, 596, 27201, 3118, 112817, 799, 51802, 9568, 400935, 84620, 150000, 91584, 7434, 79570, 644672, 414152, 399, 11122, 2914, 6725, 94160, 284254, 786, 1048, 441452, 57535, 56776, 2813, 54857, 3779, 153328, 3778, 123099, 3577, 2046, 7903, 247, 246, 771, 341640, 23213, 390275, 57628, 57526, 6506, 778, 219995, 2900, 6252, 79258, 346562, 1234, 400500, 1237, 9687, 51338, 1555, 26494, 26495, 60401, 26497, 11045, 57451, 6441, 219865, 92086, 138881, 56659, 120939, 64377, 1549, 3754, 56139, 3752, 3757, 6542, 5799, 25849, 654429, 195814, 554236, 54587, 2045, 1733, 2925, 1363, 442361, 1016, 169026, 1012, 8000, 8001, 54847, 3764, 338322, 114784, 56144, 84258, 3768, 57101, 3565, 84251, 4916	642	6537	16987	1.3195345736252349	5.4733400367545926E-8	1.3683350341686662E-8	1.504205537905534E-7
GOTERM_CC_ALL	GO:0016021~integral component of membrane	279	29.712460063897762	3.055590691591908E-10	7494, 374462, 90134, 54102, 3084, 126755, 5733, 79908, 54490, 120787, 388336, 4897, 150, 85320, 40, 1826, 80736, 375033, 10718, 145978, 100505993, 5745, 124912, 1084, 933, 2322, 64478, 54898, 1087, 4886, 164656, 390061, 2849, 390064, 353345, 10720, 2846, 55365, 51761, 2844, 23784, 2215, 138065, 84689, 7173, 203328, 161145, 222537, 10321, 3741, 5618, 27087, 124274, 100271846, 253559, 503497, 390073, 4099, 347741, 89876, 222008, 624, 348938, 83733, 64084, 30061, 63910, 23620, 143425, 144195, 641455, 185, 22917, 58475, 7223, 51284, 420, 10599, 11226, 83445, 442117, 111, 157855, 2899, 10060, 146395, 64579, 160728, 7783, 196883, 4973, 7380, 165679, 4160, 2563, 57497, 2566, 2567, 10050, 3249, 10268, 4685, 126129, 163720, 386617, 9717, 162998, 341359, 730130, 2558, 2559, 57194, 2555, 26011, 958, 157724, 2690, 125981, 645961, 8912, 340980, 284415, 8911, 2867, 10786, 169693, 7363, 7369, 7367, 89766, 387748, 7366, 1003, 5167, 728588, 1008, 57574, 6557, 1006, 8534, 2099, 489, 59284, 90993, 27133, 1524, 6966, 441027, 6967, 25823, 116337, 84539, 887, 4923, 23302, 6549, 23704, 255027, 4036, 9254, 79153, 9543, 6983, 158131, 114815, 3351, 3354, 11283, 3687, 54328, 4935, 283160, 9365, 6579, 219429, 51207, 9369, 64711, 144110, 342035, 22997, 219527, 9027, 346689, 108, 283159, 10178, 9635, 389434, 23428, 9022, 124872, 27202, 596, 27201, 3118, 112817, 799, 51802, 9568, 400935, 84620, 150000, 91584, 7434, 79570, 414152, 644672, 11122, 2914, 94160, 284254, 786, 1048, 441452, 57535, 2813, 54857, 3779, 153328, 3778, 123099, 3577, 2046, 7903, 771, 341640, 390275, 57628, 6506, 57526, 219995, 778, 2900, 6252, 79258, 1234, 400500, 1237, 9687, 51338, 26494, 26495, 60401, 26497, 11045, 57451, 219865, 138881, 56659, 120939, 1549, 3754, 64377, 56139, 3752, 3757, 6542, 5799, 25849, 654429, 195814, 554236, 54587, 2045, 1733, 2925, 442361, 1016, 169026, 8001, 54847, 3764, 114784, 3768, 84258, 56144, 57101, 4916	642	5411	16987	1.3642951274402955	1.613351509055505E-7	3.226703226832939E-8	4.433878375564859E-7
GOTERM_MF_ALL	GO:0004872~receptor activity	105	11.182108626198083	6.492421719571187E-10	5167, 8416, 5733, 120787, 2099, 150, 27133, 1524, 6967, 40, 887, 84539, 4923, 5745, 4036, 2322, 26, 4886, 158131, 114815, 390061, 10002, 3351, 3354, 3687, 390064, 2849, 353345, 2846, 54328, 2844, 4935, 283160, 219429, 9369, 5618, 124274, 390073, 253559, 283159, 624, 9635, 8856, 27202, 5241, 27201, 3118, 799, 30061, 23620, 51802, 9568, 400935, 91584, 7434, 185, 51284, 2914, 2899, 114770, 2675, 2674, 10060, 3577, 2046, 390275, 6258, 7783, 2900, 4973, 1234, 1237, 4160, 2563, 2566, 26494, 60401, 2567, 26495, 26497, 3249, 10268, 219865, 138881, 3757, 162998, 57115, 2558, 5799, 2559, 8909, 2555, 958, 2045, 2925, 442361, 2690, 340980, 8001, 3764, 2494, 2867, 3768, 387748, 4916	578	1563	15860	1.8433409267511907	6.648238078943436E-7	6.648238078943436E-7	1.0288844887185178E-6
GOTERM_MF_ALL	GO:0060089~molecular transducer activity	105	11.182108626198083	6.492421719571187E-10	5167, 8416, 5733, 120787, 2099, 150, 27133, 1524, 6967, 40, 887, 84539, 4923, 5745, 4036, 2322, 26, 4886, 158131, 114815, 390061, 10002, 3351, 3354, 3687, 390064, 2849, 353345, 2846, 54328, 2844, 4935, 283160, 219429, 9369, 5618, 124274, 390073, 253559, 283159, 624, 9635, 8856, 27202, 5241, 27201, 3118, 799, 30061, 23620, 51802, 9568, 400935, 91584, 7434, 185, 51284, 2914, 2899, 114770, 2675, 2674, 10060, 3577, 2046, 390275, 6258, 7783, 2900, 4973, 1234, 1237, 4160, 2563, 2566, 26494, 60401, 2567, 26495, 26497, 3249, 10268, 219865, 138881, 3757, 162998, 57115, 2558, 5799, 2559, 8909, 2555, 958, 2045, 2925, 442361, 2690, 340980, 8001, 3764, 2494, 2867, 3768, 387748, 4916	578	1563	15860	1.8433409267511907	6.648238078943436E-7	6.648238078943436E-7	1.0288844887185178E-6
GOTERM_MF_ALL	GO:0038023~signaling receptor activity	91	9.691160809371672	2.4583765112568798E-9	2914, 8416, 5733, 120787, 2099, 2899, 150, 27133, 114770, 1524, 2675, 6967, 2674, 10060, 887, 84539, 4923, 3577, 2046, 5745, 390275, 6258, 2322, 7783, 158131, 4886, 2900, 114815, 3351, 390061, 10002, 3354, 1234, 2849, 390064, 353345, 1237, 4160, 2846, 54328, 2563, 2844, 26494, 2566, 26495, 60401, 2567, 26497, 4935, 283160, 10268, 219429, 9369, 5618, 219865, 138881, 124274, 3757, 390073, 162998, 57115, 283159, 2558, 5799, 2559, 624, 8856, 2555, 958, 27202, 5241, 27201, 3118, 2045, 2925, 442361, 799, 23620, 2690, 9568, 400935, 340980, 8001, 91584, 7434, 2867, 2494, 185, 51284, 4916, 387748	578	1310	15860	1.906098946089437	2.5173743729567377E-6	1.258687978622497E-6	3.895904121531402E-6
GOTERM_CC_ALL	GO:0005615~extracellular space	96	10.223642172523961	6.323851679946864E-9	1293, 154150, 5167, 1191, 8532, 119587, 3084, 3381, 7123, 4246, 10924, 3485, 54959, 5267, 5265, 10718, 1280, 7032, 92747, 7033, 5320, 124912, 23213, 6358, 9547, 3883, 6359, 3884, 3885, 3487, 388551, 26, 7031, 347, 167, 164656, 9211, 246778, 3497, 3542, 3494, 2331, 3641, 29949, 7173, 256394, 3263, 9365, 10321, 168667, 6441, 319, 342035, 653269, 866, 8614, 820, 28793, 729238, 4586, 57094, 10631, 727897, 1440, 8909, 119180, 5304, 392255, 1469, 958, 84569, 1363, 9370, 2690, 3375, 1012, 5054, 6387, 284415, 10551, 128821, 354, 128822, 64388, 80341, 712, 50604, 10647, 1472, 10648, 3565, 768239, 1470, 147381, 259, 89766	642	1383	16987	1.836668220920253	3.3389881149981093E-6	5.564987933803778E-7	9.176357473883456E-6
GOTERM_MF_ALL	GO:0022836~gated channel activity	36	3.8338658146964857	1.4272442139654177E-8	3741, 90134, 54102, 786, 56659, 157855, 59284, 3779, 3754, 27133, 2899, 3778, 3752, 3757, 40, 2558, 2559, 9022, 9635, 2555, 23704, 778, 51802, 9254, 2900, 8912, 8001, 3764, 8911, 3768, 57101, 2563, 10786, 2566, 2567, 3249	578	330	15860	2.9933941491034917	1.4614874033869185E-5	4.871648410897933E-6	2.2618203965318884E-5
GOTERM_MF_ALL	GO:0099600~transmembrane receptor activity	85	9.052183173588926	3.0813568650519E-8	2914, 8416, 5733, 120787, 2899, 150, 1524, 2675, 6967, 2674, 40, 10060, 887, 84539, 4923, 3577, 2046, 5745, 390275, 2322, 158131, 4886, 2900, 114815, 3351, 390061, 3354, 1234, 2849, 390064, 353345, 1237, 4160, 2846, 54328, 2563, 2844, 26494, 2566, 60401, 2567, 26495, 26497, 4935, 283160, 219429, 9369, 5618, 219865, 138881, 124274, 3757, 162998, 390073, 283159, 2558, 5799, 2559, 624, 9635, 2555, 958, 27202, 27201, 3118, 2045, 2925, 799, 442361, 23620, 51802, 2690, 9568, 400935, 340980, 8001, 3764, 91584, 7434, 2867, 3768, 185, 51284, 4916, 387748	578	1256	15860	1.8569689022105658	3.1552597037798336E-5	7.888242595566197E-6	4.883169189007219E-5
