Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	31	3.301384451544196	3.36300954405782E-8	2914, 5618, 5733, 150, 2899, 2558, 2559, 84539, 624, 887, 4923, 2555, 5745, 2925, 799, 23620, 2690, 1081, 9568, 4886, 2900, 3351, 8001, 3354, 7434, 185, 2846, 4160, 2563, 2566, 2567	235	275	6532	3.133338491295938	7.802151847036143E-6	7.802151847036143E-6	4.317477189097474E-5
KEGG_PATHWAY	hsa04727:GABAergic synapse	12	1.2779552715654952	2.0218741166754494E-4	108, 111, 2563, 2558, 18, 2559, 778, 2566, 2567, 196883, 9568, 2555	235	85	6532	3.9241051314142674	0.045828851038384966	0.02318315485367728	0.25926057040924766
REACTOME_PATHWAY	R-HSA-375276:R-HSA-375276	12	1.2779552715654952	5.999197410142569E-4	27202, 2925, 185, 4160, 51052, 23620, 7200, 84539, 887, 624, 4923, 4886	300	100	8719	3.4876	0.19574284357730598	0.19574284357730598	0.8217972773164939
REACTOME_PATHWAY	R-HSA-977441:R-HSA-977441	5	0.5324813631522897	7.582979939481523E-4	2558, 2559, 2566, 2567, 2555	300	13	8719	11.178205128205128	0.2407062772640387	0.12862538323866624	1.03770369890962
REACTOME_PATHWAY	R-HSA-156588:R-HSA-156588	5	0.5324813631522897	7.582979939481523E-4	10720, 7363, 54490, 7367, 7366	300	13	8719	11.178205128205128	0.2407062772640387	0.12862538323866624	1.03770369890962
REACTOME_PATHWAY	R-HSA-112314:R-HSA-112314	5	0.5324813631522897	0.0010331520887694027	2558, 2559, 2566, 2567, 2555	300	14	8719	10.379761904761905	0.3128674571475559	0.11757018682515685	1.411359620334407
KEGG_PATHWAY	hsa05032:Morphine addiction	11	1.1714589989350372	0.00121684351290304	5153, 108, 111, 2563, 2558, 2559, 2566, 2567, 196883, 9568, 2555	235	89	6532	3.4354291178579963	0.24608797583118447	0.08986274896795432	1.5509979288956588
REACTOME_PATHWAY	R-HSA-418594:R-HSA-418594	19	2.023429179978701	0.001488103886527221	2914, 26166, 111, 5733, 196883, 9568, 4886, 3351, 346562, 6387, 150, 3354, 1234, 1237, 108, 84539, 624, 3577, 6004	300	240	8719	2.3008472222222225	0.4175919926104097	0.1264116487834761	2.02697932516962
REACTOME_PATHWAY	R-HSA-975298:R-HSA-975298	6	0.6389776357827476	0.001666990016902543	8001, 2558, 2559, 2566, 2567, 2555	300	26	8719	6.706923076923077	0.45426528957734624	0.11407630927151935	2.268061909654273
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	9	0.9584664536741214	0.0016977028234666975	2940, 2944, 10720, 316, 1555, 7363, 54490, 7367, 7366	235	63	6532	3.970820668693009	0.3257819934624604	0.09385001667675663	2.1577663261113877
REACTOME_PATHWAY	R-HSA-418990:R-HSA-418990	6	0.6389776357827476	0.0019892755024149625	1003, 253559, 1008, 1006, 1016, 1012	300	27	8719	6.4585185185185185	0.5146214593080187	0.11349723343516172	2.701014245035638
KEGG_PATHWAY	hsa04925:Aldosterone synthesis and secretion	10	1.0649627263045793	0.0022951458710542432	8912, 90993, 8911, 816, 108, 185, 111, 778, 196883, 1585	235	81	6532	3.4315734173890204	0.41320856635110326	0.10113027520135442	2.9068408541334856
KEGG_PATHWAY	hsa00040:Pentose and glucuronate interconversions	6	0.6389776357827476	0.0023915389343305694	9365, 10720, 7363, 54490, 7367, 7366	235	27	6532	6.1768321513002356	0.42621559234577433	0.08842699207245086	3.02720191926642
REACTOME_PATHWAY	R-HSA-419037:R-HSA-419037	7	0.7454739084132056	0.0028651974289785804	8912, 1280, 1293, 8911, 2675, 2674, 7903	300	42	8719	4.843888888888889	0.647096107071818	0.138253570347864	3.8687426405028758
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	9	0.9584664536741214	0.0030492094350146864	2940, 22977, 2944, 10720, 1555, 7363, 54490, 7367, 7366	235	69	6532	3.625531914893617	0.5076164618338406	0.09626029991525431	3.8447367420113454
KEGG_PATHWAY	hsa04923:Regulation of lipolysis in adipocytes	8	0.8519701810436635	0.0032396207873941494	23533, 108, 5733, 111, 1081, 196883, 8471, 4886	235	55	6532	4.043017408123791	0.5289599209238295	0.08980963757997129	4.0802434618577905
