Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0005578~proteinaceous extracellular matrix	44	6.832298136645963	1.5370958638391014E-16	136227, 2006, 81794, 11173, 83872, 2254, 7476, 2335, 1311, 1310, 7475, 115908, 1805, 5803, 27283, 25903, 90187, 11095, 255631, 1462, 2201, 5266, 2200, 1282, 340706, 4318, 1284, 166752, 4316, 1299, 633, 157869, 6507, 10418, 84467, 1116, 1302, 23767, 57124, 4811, 50509, 9313, 258, 11081	474	348	16987	4.531184829526165	5.184741524999481E-14	5.184741524999481E-14	1.5543122344752192E-13
GOTERM_CC_ALL	GO:0005615~extracellular space	95	14.751552795031056	2.6510968866745556E-16	2919, 4852, 255738, 2254, 2335, 10406, 6347, 151449, 3442, 1311, 25928, 9388, 3624, 8740, 28526, 115908, 6318, 6317, 257240, 340990, 7018, 154754, 5268, 5443, 5225, 2191, 2200, 1755, 4318, 5744, 166752, 4316, 341, 5646, 284340, 5644, 7941, 3857, 2, 8190, 3445, 9313, 5273, 5275, 2160, 72, 731, 5122, 11081, 59, 114902, 646627, 7476, 312, 7475, 10562, 6947, 1805, 27283, 6374, 90865, 6373, 6372, 3078, 721, 9478, 1462, 51299, 11341, 89777, 959, 116379, 7857, 340706, 8710, 3273, 56667, 651, 1401, 4481, 2487, 10418, 650, 5197, 26585, 1116, 118427, 23767, 183, 3426, 56287, 653499, 1356, 375616, 1359	474	1383	16987	2.461726327222359	1.0369483049998962E-13	5.184741524999481E-14	3.219646771412954E-13
GOTERM_CC_ALL	GO:0044421~extracellular region part	177	27.48447204968944	1.1858247286335575E-14	392617, 2006, 29126, 255738, 25797, 83872, 2335, 6347, 10406, 3861, 151449, 3868, 7348, 1311, 1310, 8740, 3676, 28526, 54810, 11095, 255631, 5443, 5225, 2201, 4921, 4311, 2200, 1282, 4318, 8876, 5744, 1284, 166752, 4316, 5646, 341, 8029, 3853, 5644, 3690, 3852, 221357, 3854, 7941, 3857, 8190, 2, 54039, 2160, 731, 2212, 730, 11081, 81618, 23581, 216, 312, 2770, 729, 6947, 5803, 27283, 415, 25903, 389336, 6374, 51806, 54331, 6373, 6372, 3696, 245972, 721, 1462, 11341, 51299, 8857, 91703, 116379, 5243, 9615, 157869, 342897, 10418, 1116, 1302, 810, 491, 23498, 118427, 9182, 4811, 183, 3426, 2919, 5918, 28778, 4852, 3384, 2254, 3442, 25928, 9388, 3624, 115908, 6318, 6317, 257240, 340990, 2894, 8644, 56670, 7018, 154754, 29953, 5268, 2191, 5266, 1755, 221074, 633, 284340, 6507, 3445, 57124, 9313, 5273, 5275, 72, 5122, 83854, 136227, 81794, 114902, 59, 646627, 7476, 11173, 119467, 7475, 10562, 1805, 90187, 90865, 1803, 3078, 57016, 9478, 89777, 3671, 959, 7857, 340706, 3273, 8710, 56667, 1299, 4481, 651, 2487, 1401, 650, 5197, 952, 84467, 1013, 26585, 7462, 23767, 50509, 258, 7364, 56287, 653499, 1356, 375616, 1359	474	3720	16987	1.7051738804954404	5.547673431749445E-12	1.8491874698156607E-12	1.694200335577989E-11
GOTERM_CC_ALL	GO:0005576~extracellular region	197	30.59006211180124	4.9752027336472265E-14	2006, 29126, 25797, 2335, 6347, 151449, 3861, 3868, 1311, 7348, 1310, 8740, 28526, 11095, 5225, 2201, 2200, 8876, 5744, 166752, 8029, 341, 5646, 5644, 3853, 221357, 3852, 4885, 3854, 3857, 28, 2, 731, 2212, 730, 11081, 216, 5617, 312, 404203, 729, 27283, 415, 25903, 6374, 6373, 6372, 721, 1462, 11341, 51299, 8857, 5243, 157869, 342897, 252995, 1302, 810, 9182, 118427, 183, 5918, 4852, 2254, 3384, 3624, 340990, 2894, 8644, 154754, 29953, 221074, 834, 28983, 9313, 72, 5122, 83854, 59, 646627, 414196, 7476, 165257, 7475, 10562, 1805, 1803, 28813, 9478, 387758, 89777, 959, 7857, 340706, 3273, 8710, 1299, 4481, 1401, 2487, 952, 26585, 84467, 7462, 23767, 50509, 7364, 653499, 7092, 143662, 392617, 255738, 83872, 10406, 3676, 643414, 255631, 54810, 5443, 4921, 4311, 8492, 1282, 1284, 4318, 4316, 3690, 7941, 3346, 8190, 54039, 2160, 81618, 23581, 2770, 6947, 5803, 389336, 51806, 54331, 3696, 245972, 4804, 91703, 83539, 116379, 9615, 10418, 1116, 23498, 491, 4811, 3426, 28778, 2919, 3442, 9388, 25928, 115908, 6318, 6317, 257240, 56670, 7018, 5268, 2191, 5266, 1755, 633, 284340, 6507, 57124, 3445, 5273, 5275, 136227, 81794, 114902, 11173, 119467, 132332, 90187, 90865, 3078, 57016, 3671, 56667, 651, 650, 5197, 1013, 391013, 258, 56287, 1356, 375616, 1359	474	4390	16987	1.6081999750103322	2.3227642031997675E-11	5.806910507999419E-12	7.093214904330125E-11
GOTERM_BP_ALL	GO:0044707~single-multicellular organism process	238	36.95652173913043	7.322278336046453E-14	4208, 2006, 29126, 2334, 2335, 6347, 3861, 151449, 3868, 1311, 8128, 1310, 147409, 2201, 5225, 2200, 133396, 2019, 8876, 5744, 1180, 8029, 341, 5646, 90527, 5644, 5362, 4118, 4885, 3857, 92211, 2, 59350, 6876, 55553, 11081, 5617, 140578, 729, 10083, 415, 441376, 1462, 11341, 51299, 8854, 2304, 1302, 912, 118427, 183, 55679, 7225, 388585, 4852, 2254, 3620, 6591, 3624, 10655, 55273, 146850, 340990, 26191, 8644, 4760, 3235, 154754, 3237, 3236, 3239, 4843, 221074, 2672, 834, 28984, 402381, 8633, 9313, 55790, 72, 10763, 83854, 59, 10266, 864, 7476, 731220, 1607, 7475, 3358, 1803, 89777, 84152, 11211, 959, 146, 7857, 3273, 8710, 11213, 1299, 4481, 1401, 2487, 29114, 952, 10842, 26585, 2242, 23767, 50509, 2138, 2139, 7368, 7092, 154796, 9242, 255738, 54510, 80243, 3676, 643414, 255631, 886, 2290, 5443, 4921, 4311, 30812, 3202, 1282, 3205, 4318, 9447, 1284, 4316, 3690, 7941, 3346, 10913, 64405, 64220, 134701, 3400, 2160, 81618, 5455, 286133, 23581, 2169, 9902, 51302, 5803, 1131, 54331, 3696, 10804, 5139, 4804, 83881, 7111, 54549, 9615, 9420, 1116, 491, 4811, 6954, 3428, 137970, 2919, 150572, 55083, 2706, 7125, 2703, 25925, 3442, 190, 55084, 25928, 9388, 3199, 115908, 3198, 128553, 6317, 84628, 7018, 5268, 2191, 132625, 29895, 6663, 79192, 1755, 56956, 5588, 1750, 633, 284340, 6507, 9290, 1240, 3445, 57124, 10100, 1044, 51339, 10107, 2515, 136227, 114902, 660, 11173, 56130, 1749, 5456, 6850, 90865, 3759, 57016, 1543, 6716, 2044, 1879, 56667, 651, 650, 5197, 80114, 6530, 258, 257, 56287, 6913, 375616	445	5724	15776	1.4740568000690961	3.568478845750178E-10	3.568478845750178E-10	1.3905543383430086E-10
GOTERM_BP_ALL	GO:0032501~multicellular organismal process	263	40.838509316770185	1.1174284591381986E-12	4208, 2006, 29126, 2334, 2335, 6347, 3861, 151449, 3868, 1311, 8128, 1310, 147409, 2201, 5225, 2200, 133396, 2019, 8876, 5744, 1180, 8029, 341, 5646, 90527, 5644, 5362, 4118, 6098, 4885, 3857, 92211, 2, 59350, 6876, 55553, 11081, 5617, 140578, 729, 10083, 221391, 415, 441376, 1462, 51299, 11341, 8854, 2304, 1302, 912, 118427, 183, 55679, 7225, 388585, 4852, 2254, 10580, 3620, 6591, 3624, 10655, 55273, 146850, 401994, 340990, 8644, 26191, 4760, 3235, 154754, 3237, 3236, 3239, 29953, 10659, 4843, 221074, 2672, 834, 4543, 28984, 28983, 402381, 8633, 9313, 53904, 55790, 72, 83854, 10763, 59, 10266, 864, 7476, 731220, 1607, 7475, 3358, 1803, 89777, 84152, 959, 11211, 146, 7857, 8710, 3273, 11213, 1299, 4481, 1401, 2487, 952, 29114, 26585, 10842, 2242, 23767, 4995, 50509, 2138, 26188, 2139, 7368, 7092, 154796, 26659, 9242, 255738, 83872, 10406, 54510, 80243, 3676, 63895, 643414, 255631, 886, 2290, 5443, 4921, 4311, 30812, 3202, 1282, 3205, 4318, 53942, 9447, 1284, 4316, 3690, 7941, 3346, 10913, 64405, 64220, 3400, 134701, 343169, 2160, 81618, 5455, 286133, 23581, 2169, 9902, 51302, 5803, 10017, 1131, 54331, 3696, 4948, 5139, 10804, 4804, 83881, 7111, 54549, 9615, 9420, 1116, 491, 4811, 6954, 3428, 137970, 5957, 646, 2919, 150572, 55083, 2706, 7125, 2703, 25925, 3442, 190, 55084, 25928, 9388, 3199, 115908, 3198, 128553, 6317, 84628, 7018, 5268, 6663, 2191, 132625, 29895, 79192, 1755, 56956, 5588, 1750, 633, 284340, 9290, 6507, 1240, 3445, 57124, 10100, 1044, 51339, 10107, 2515, 136227, 114902, 660, 11173, 56130, 1749, 5456, 6850, 90865, 3759, 57016, 1543, 6716, 2044, 11063, 1879, 56667, 651, 650, 5197, 5995, 80114, 6530, 258, 257, 56287, 6913, 375616, 53822, 1359	445	6712	15776	1.3891229526857818	5.441930239769022E-9	2.720965119884511E-9	2.120659203797004E-9
GOTERM_BP_ALL	GO:0048731~system development	185	28.726708074534162	1.3849552616502313E-12	154796, 4208, 2006, 9242, 255738, 2334, 2335, 6347, 151449, 3868, 54510, 1311, 1310, 8128, 80243, 3676, 147409, 886, 255631, 2290, 2201, 4921, 4311, 2200, 30812, 3202, 133396, 2019, 1282, 3205, 4318, 8876, 5744, 1284, 90527, 3690, 5362, 4118, 3857, 3346, 10913, 59350, 64405, 6876, 64220, 55553, 134701, 3400, 11081, 81618, 5455, 23581, 5617, 140578, 729, 5803, 415, 1131, 3696, 10804, 441376, 4804, 1462, 11341, 51299, 83881, 8854, 7111, 54549, 9420, 9615, 2304, 1116, 1302, 912, 491, 118427, 4811, 183, 55679, 7225, 3428, 137970, 388585, 2919, 4852, 150572, 2254, 55083, 2706, 2703, 25925, 3620, 3442, 6591, 190, 55084, 25928, 3624, 3199, 115908, 3198, 10655, 55273, 6317, 146850, 26191, 8644, 4760, 3235, 84628, 3237, 3236, 3239, 5268, 6663, 2191, 132625, 29895, 79192, 56956, 5588, 221074, 1750, 284340, 6507, 2672, 9290, 1240, 28984, 3445, 57124, 402381, 8633, 10100, 1044, 9313, 55790, 51339, 72, 10107, 10763, 83854, 114902, 59, 10266, 864, 7476, 660, 11173, 56130, 731220, 1749, 7475, 5456, 6850, 90865, 1543, 89777, 6716, 11211, 959, 7857, 2044, 3273, 8710, 11213, 1299, 651, 2487, 650, 29114, 10842, 26585, 2242, 23767, 80114, 50509, 2138, 258, 257, 6913, 375616, 7368, 7092	445	4145	15776	1.5822827015085186	6.744965697080829E-9	2.248321862019509E-9	2.6284308063395656E-9
GOTERM_BP_ALL	GO:0030198~extracellular matrix organization	37	5.745341614906832	1.7353832880563322E-12	2006, 10266, 3384, 2335, 1311, 1310, 3676, 1805, 25903, 1803, 3696, 1462, 84290, 5268, 4921, 2201, 2191, 2200, 1282, 4318, 1284, 4316, 1299, 633, 5644, 3690, 26585, 1302, 28984, 2, 59350, 183, 4811, 50509, 9313, 55790, 7092	445	323	15776	4.061028976936725	8.451347399685005E-9	2.1128367944101E-9	3.293387784708557E-9
GOTERM_BP_ALL	GO:0043062~extracellular structure organization	37	5.745341614906832	1.9002949114193554E-12	2006, 10266, 3384, 2335, 1311, 1310, 3676, 1805, 25903, 1803, 3696, 1462, 84290, 5268, 4921, 2201, 2191, 2200, 1282, 4318, 1284, 4316, 1299, 633, 5644, 3690, 26585, 1302, 28984, 2, 59350, 183, 4811, 50509, 9313, 55790, 7092	445	324	15776	4.04849493688445	9.254255139978795E-9	1.850851027995759E-9	3.6062708375084185E-9
GOTERM_CC_ALL	GO:0031012~extracellular matrix	47	7.298136645962733	2.218605321802607E-12	23581, 136227, 2006, 81794, 11173, 83872, 2254, 7476, 2335, 1311, 1310, 7475, 115908, 1805, 5803, 27283, 128553, 25903, 90187, 11095, 255631, 1462, 2201, 5266, 2200, 1282, 340706, 4318, 1284, 166752, 4316, 1299, 633, 157869, 6507, 10418, 84467, 1116, 1302, 23767, 57124, 4811, 50509, 9313, 258, 11081, 10763	474	511	16987	3.2962132659548993	1.0360668989406463E-9	2.0721335758366877E-10	3.164135620181696E-9
