Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1474228:R-HSA-1474228	13	2.018633540372671	9.991012838548167E-7	2, 2006, 4811, 4318, 4316, 9313, 2335, 11095, 84467, 84290, 7092, 2201, 2200	236	78	8719	6.1574858757062145	3.4263319937477554E-4	3.4263319937477554E-4	0.0013623366024062555
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	13	2.018633540372671	4.831508163012902E-6	2006, 1282, 1284, 1299, 5646, 5644, 1302, 9056, 1803, 50509, 255631, 1359, 4311	187	86	6532	5.280189031215023	9.465296455576366E-4	9.465296455576366E-4	0.006035590194275464
REACTOME_PATHWAY	R-HSA-2129379:R-HSA-2129379	9	1.3975155279503106	6.009185717519306E-6	2006, 90187, 3696, 2335, 3690, 650, 84467, 2201, 2200	236	38	8719	8.750111507582515	0.0020590341688386804	0.0010300475834313927	0.008193638286102534
REACTOME_PATHWAY	R-HSA-1442490:R-HSA-1442490	10	1.5527950310559007	4.287112693904044E-5	136227, 1282, 1284, 4318, 50509, 1299, 4316, 9313, 1302, 1310	236	63	8719	5.864272262577347	0.014597519629211408	0.004889710172178652	0.05844198018923885
REACTOME_PATHWAY	R-HSA-216083:R-HSA-216083	11	1.7080745341614907	8.02517574526283E-5	3676, 1282, 1284, 50509, 3696, 1299, 3384, 2335, 3690, 1311, 2200	236	84	8719	4.838024616626312	0.027152029673994882	0.006858238545257467	0.1093734769887722
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	11	1.7080745341614907	1.489095799730066E-4	3676, 1282, 1284, 50509, 3696, 2335, 255631, 3690, 9900, 1302, 1311	187	86	6532	4.467852257181942	0.0287665826394079	0.014488245955132206	0.1858660818557678
KEGG_PATHWAY	hsa05146:Amoebiasis	12	1.8633540372670807	1.6481439233149913E-4	1282, 6318, 6317, 1284, 4843, 50509, 2335, 5273, 255631, 5275, 731, 1302	187	104	6532	4.030440148087207	0.03179000983216118	0.010710985548786134	0.20569936696042124
REACTOME_PATHWAY	R-HSA-2022090:R-HSA-2022090	8	1.2422360248447204	2.0628544527187325E-4	1282, 1284, 4318, 50509, 4316, 9313, 255631, 1302	236	46	8719	6.425202652910833	0.0683175178108294	0.014052963498355386	0.28091848172220324
REACTOME_PATHWAY	R-HSA-1650814:R-HSA-1650814	9	1.3975155279503106	2.9744116036306095E-4	136227, 1282, 1284, 50509, 1299, 255631, 1302, 7092, 1310	236	64	8719	5.1953787076271185	0.09700430573486962	0.01686245898328298	0.40482075377332727
REACTOME_PATHWAY	R-HSA-3000178:R-HSA-3000178	9	1.3975155279503106	8.793872397183914E-4	1282, 1284, 50509, 1299, 633, 2335, 3690, 1462, 1311	236	75	8719	4.433389830508475	0.26048634049878583	0.04219295169086135	1.1924672684925586
REACTOME_PATHWAY	R-HSA-1566948:R-HSA-1566948	5	0.7763975155279503	0.0011686217533820574	2006, 3690, 84467, 2201, 2200	236	18	8719	10.262476459510358	0.3303979227678516	0.04889799099680914	1.5817864155711292
KEGG_PATHWAY	hsa04924:Renin secretion	8	1.2422360248447204	0.0017745389016540207	2770, 5732, 183, 51806, 5139, 3759, 5136, 810	187	62	6532	4.507158875280317	0.2939848558971211	0.08335008141132516	2.1943760393715372
REACTOME_PATHWAY	R-HSA-418594:R-HSA-418594	16	2.484472049689441	0.002077069663144342	2919, 4852, 9290, 4543, 2770, 5995, 221391, 183, 6374, 54331, 6373, 6372, 56670, 2840, 2831, 5443	236	240	8719	2.462994350282486	0.5099146939466104	0.0761834412675636	2.7953627293968553
REACTOME_PATHWAY	R-HSA-3000171:R-HSA-3000171	6	0.9316770186335404	0.004153789852571	1282, 1284, 50509, 2335, 1302, 4921	236	40	8719	5.541737288135593	0.760144158163138	0.13304804547692983	5.51771427593577
