"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rna_count_DAVID","rppa_count_CP","rna_count_CP"
"1","MF","GO:0022803","passive transmembrane transporter activity",36,3.90125196682636e-08,2.08192107266353e-05,42,2.09335605139478e-07,4.28710174406044e-05,0,42,0,36
"2","MF","GO:0015267","channel activity",35,1.13399515212155e-07,2.08192107266353e-05,41,5.34711667622609e-07,6.08364709449027e-05,0,41,0,35
"3","MF","GO:0005216","ion channel activity",31,6.46268003271979e-07,5.17014402617583e-05,39,2.35377715697938e-07,4.01703280162868e-05,0,39,0,31
"4","MF","GO:0022838","substrate-specific channel activity",31,1.16090202108001e-06,8.1263141475601e-05,39,6.07003388268263e-07,6.21552341019127e-05,0,39,0,31
"5","MF","GO:0022836","gated channel activity",29,7.69826527323216e-08,2.08192107266353e-05,36,1.42724421396542e-08,4.87164841089793e-06,0,36,0,29
"6","MF","GO:0046873","metal ion transmembrane transporter activity",27,6.01394909097817e-05,0.00280650957578981,32,0.000139701599291312,0.00712769815872538,0,32,0,27
"7","CC","GO:0034702","ion channel complex",24,1.10456969185178e-05,0.00208211386914061,29,3.15967615517758e-06,0.000151653194545132,0,29,0,24
"8","CC","GO:1902495","transmembrane transporter complex",24,4.5669622220581e-05,0.00573914919238635,29,2.82306358761538e-05,0.00124139434395598,0,29,0,24
"9","CC","GO:1990351","transporter complex",24,6.14294706796566e-05,0.00578972761155764,29,3.98111456973053e-05,0.00161567057828638,0,29,0,24
"10","MF","GO:0005261","cation channel activity",22,9.29762622125087e-05,0.00400513129530807,25,0.000253653819673929,0.0112309978232187,0,25,0,22
"11","MF","GO:0022832","voltage-gated channel activity",18,1.00210394389387e-05,0.000561178208580566,21,1.49133444124836e-05,0.00138734388857875,0,21,0,18
"12","MF","GO:0005244","voltage-gated ion channel activity",18,1.00210394389387e-05,0.000561178208580566,21,1.49133444124836e-05,0.00138734388857875,0,21,0,18
"13","MF","GO:0030414","peptidase inhibitor activity",15,0.000363699251386926,0.0119806812221576,18,0.000195250071966723,0.00904771156689477,0,18,0,15
"14","MF","GO:0061134","peptidase regulator activity",15,0.00252953307341403,0.0378140310041247,18,0.00159973289952123,0.0433418293083958,0,18,0,15
"15","MF","GO:0022843","voltage-gated cation channel activity",14,1.62363046343021e-05,0.000826575508655378,17,1.99685970355851e-05,0.00170255296990907,0,17,0,14
"16","MF","GO:0008528","G protein-coupled peptide receptor activity",17,1.61298065798828e-07,2.08192107266353e-05,17,1.99685970355851e-05,0.00170255296990907,0,17,0,17
"17","MF","GO:0001653","peptide receptor activity",17,1.85885810059244e-07,2.08192107266353e-05,17,2.19965995087e-05,0.00173117406588996,0,17,0,17
"18","MF","GO:0004866","endopeptidase inhibitor activity",14,0.000658973006651775,0.0160445601619563,17,0.000346756553877788,0.0146885668676801,0,17,0,14
"19","MF","GO:0061135","endopeptidase regulator activity",14,0.000863090118351946,0.0198183813840424,17,0.000516558584382046,0.0174818104387303,0,17,0,14
"20","MF","GO:0015079","potassium ion transmembrane transporter activity",11,0.00157698677488883,0.0275972685605545,16,0.000352154333429227,0.0143232145018009,0,16,0,11
"21","MF","GO:0005267","potassium channel activity",11,0.000448984013502555,0.013233213029549,15,8.89186190426818e-05,0.00504593264239006,0,15,0,11
"22","MF","GO:0022834","ligand-gated channel activity",11,0.00226804936268669,0.036288789802987,15,0.000725340911222175,0.0222641280932201,0,15,0,11
"23","MF","GO:0015276","ligand-gated ion channel activity",11,0.00226804936268669,0.036288789802987,15,0.000725340911222175,0.0222641280932201,0,15,0,11
"24","MF","GO:0005253","anion channel activity",9,0.000978420735893511,0.0210736773884756,12,0.000548964916855834,0.0179750169523428,0,12,0,9
"25","MF","GO:0005254","chloride channel activity",8,0.00135170159404533,0.0270340318809067,11,0.000691176563085124,0.0218823279771098,0,11,0,8
"26","MF","GO:0005249","voltage-gated potassium channel activity",8,0.00121135164847619,0.0251243304869136,11,0.00110819027067878,0.031047158647136,0,11,0,8
"27","CC","GO:0034707","chloride channel complex",10,7.41128502182271e-06,0.00208211386914061,10,0.000107876548004571,0.00406044044471654,0,10,0,10
