"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rna_count_DAVID","rppa_count_CP","rna_count_CP"
"1","CC","GO:0031012","extracellular matrix",47,2.3273940797445e-15,7.95968775272621e-13,47,2.21860532180261e-12,2.07213357583669e-10,0,47,0,47
"2","BP","GO:0001501","skeletal system development",40,1.59663243058457e-10,1.94310166802142e-07,43,3.96658844495465e-11,2.41466390216161e-08,0,43,0,40
"3","BP","GO:0030198","extracellular matrix organization",34,1.75640252747509e-11,3.20631281390577e-08,37,1.73538328805633e-12,2.1128367944101e-09,0,37,0,34
"4","BP","GO:0043062","extracellular structure organization",37,1.65987835259653e-11,3.20631281390577e-08,37,1.90029491141936e-12,1.85085102799576e-09,0,37,0,37
"5","MF","GO:0004175","endopeptidase activity",26,4.47688938244957e-07,0.000112146079030362,29,9.89214734331897e-05,0.00862850859424946,0,29,0,26
"6","BP","GO:0048568","embryonic organ development",27,2.47566678933017e-05,0.003750035510137,27,0.000119909269938137,0.010958254890962,0,27,0,27
"7","MF","GO:0004857","enzyme inhibitor activity",18,0.00304420087795456,0.0391062728168009,26,3.00040634655685e-05,0.00328010290862613,0,26,0,18
"8","BP","GO:0061448","connective tissue development",23,1.10787310614934e-07,0.000101121117763781,25,2.27797786667123e-08,8.53361921449025e-06,0,25,0,23
"9","BP","GO:0001655","urogenital system development",26,8.16211939830039e-07,0.000496664965386578,25,1.02691727703125e-05,0.00172303552826159,0,25,0,26
"10","BP","GO:0048562","embryonic organ morphogenesis",24,5.94466496292331e-07,0.00043407943559266,23,1.95702531609365e-05,0.00271938334574751,0,23,0,24
"11","BP","GO:0072001","renal system development",22,1.4301954790328e-05,0.00274823352313093,21,0.000122685566346379,0.0110041062590909,0,21,0,22
"12","MF","GO:0061134","peptidase regulator activity",16,4.57363639530436e-05,0.00572847958511871,20,4.42918015072311e-06,0.00193810464729305,0,20,0,16
"13","BP","GO:0001822","kidney development",21,1.99633470830546e-05,0.00345982609736793,20,0.000162723756063744,0.0133428818097386,0,20,0,21
"14","BP","GO:0050678","regulation of epithelial cell proliferation",23,5.09014855075311e-05,0.00511454493018093,20,0.000558223605551643,0.0326184523418063,0,20,0,23
"15","BP","GO:0051216","cartilage development",18,1.54198237319705e-06,0.000670432699102179,19,1.90124545724915e-06,0.000420778456035942,0,19,0,18
"16","MF","GO:0005539","glycosaminoglycan binding",16,5.91983967887257e-05,0.00593167935823032,19,6.82046397937252e-06,0.00198960038967921,0,19,0,16
"17","BP","GO:0006959","humoral immune response",21,1.42301011158119e-05,0.00274823352313093,19,0.000135423716385771,0.0117087372060459,0,19,0,21
"18","BP","GO:0048705","skeletal system morphogenesis",17,4.03634490870654e-05,0.00446566523081442,18,7.08417154040859e-05,0.00716196697240923,0,18,0,17
"19","BP","GO:0016485","protein processing",22,9.67319920680759e-06,0.00235445668693697,18,0.000270301815168223,0.0186320619217986,0,18,0,22
"20","MF","GO:0004252","serine-type endopeptidase activity",12,0.000219647378396103,0.00786023832688912,18,0.000398863890148307,0.0230289881165467,0,18,0,12
"21","BP","GO:0090596","sensory organ morphogenesis",19,5.41601485908203e-05,0.00520365006592329,18,0.000676275438447559,0.0359444820447526,0,18,0,19
