Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0044459~plasma membrane part	167	19.085714285714285	1.348615947249393E-13	10791, 90134, 5167, 6557, 338557, 55040, 728441, 5733, 10893, 2335, 388336, 4897, 489, 150, 1524, 6967, 85320, 441027, 480, 3485, 40, 25823, 23136, 1826, 29993, 6563, 6564, 84539, 10718, 54997, 23704, 5745, 5174, 4036, 2322, 1902, 9254, 196051, 9543, 6983, 4886, 27328, 3354, 3497, 25837, 2847, 3494, 1811, 8869, 80031, 4935, 6579, 9369, 79820, 54886, 9368, 22997, 81031, 4584, 253559, 623, 23017, 389816, 108, 9635, 23428, 57419, 7043, 27202, 9619, 27092, 3118, 150084, 64084, 30061, 799, 23620, 64005, 400935, 7053, 152273, 7434, 7433, 399, 5239, 7054, 2914, 6725, 57828, 786, 11255, 2705, 1048, 57535, 3781, 157855, 2679, 3779, 2899, 3778, 2046, 2902, 1137, 776, 301, 6506, 160728, 2264, 6833, 2900, 8825, 1234, 7380, 1237, 2563, 26047, 57497, 255189, 2566, 2567, 60401, 168507, 11045, 3249, 22953, 10268, 2359, 1740, 1956, 92086, 3503, 869, 140730, 3760, 1499, 3754, 56139, 3752, 6542, 5799, 1365, 5304, 4326, 9120, 157724, 2045, 4671, 2925, 2346, 1363, 2690, 56141, 857, 1012, 8912, 8911, 6531, 357, 2867, 120892, 3767, 3768, 56144, 56145, 10786, 7369, 89766	655	2552	17449	1.7432715547153557	7.594425088797152E-11	7.594425088797152E-11	1.9748647162032285E-10
GOTERM_CC_ALL	GO:0071944~cell periphery	271	30.97142857142857	6.425914271999462E-12	8419, 90134, 54102, 10893, 5733, 2335, 388336, 4897, 126353, 150, 79083, 85320, 3485, 40, 23136, 1826, 80736, 64881, 10718, 56341, 54997, 5745, 23647, 2322, 196051, 26, 1087, 4886, 164656, 123872, 3497, 353345, 2847, 3494, 1811, 8869, 51761, 7200, 2844, 203328, 23533, 54886, 5618, 79820, 124274, 100128927, 820, 2974, 623, 253559, 27289, 389816, 23017, 222008, 7043, 27092, 816, 150084, 27198, 64084, 30061, 23620, 143425, 4100, 7053, 22917, 5239, 7054, 111, 157855, 7455, 57580, 2679, 2899, 2675, 2674, 56106, 146395, 147719, 55911, 5320, 301, 50863, 160728, 7783, 2264, 196883, 8825, 7380, 2563, 255189, 57497, 26047, 2566, 2567, 168507, 3249, 2359, 10268, 3503, 869, 140730, 51655, 1499, 341359, 84059, 8909, 5304, 4326, 157724, 4137, 4671, 2346, 152330, 2690, 857, 27151, 8912, 8911, 2867, 120892, 10786, 7369, 83992, 89766, 9452, 26166, 10791, 5167, 1008, 1005, 6557, 1006, 55040, 728441, 338557, 2099, 489, 1524, 441027, 6967, 480, 29850, 25823, 9651, 29993, 6563, 116337, 92714, 84539, 6564, 2155, 26154, 6549, 23704, 5174, 4036, 1902, 9254, 9543, 6983, 27328, 3354, 27124, 25837, 54328, 80031, 4935, 6579, 9369, 9368, 22997, 81031, 5801, 4584, 108, 23329, 26996, 9635, 389434, 23428, 57419, 6004, 2173, 9619, 27202, 29760, 27201, 3118, 799, 51802, 64005, 400935, 152273, 7434, 7433, 79570, 644672, 399, 11122, 2914, 431705, 6725, 57828, 786, 5578, 11255, 1048, 2705, 57535, 25924, 3781, 9283, 2813, 10396, 54857, 3779, 3778, 388, 202915, 1154, 3577, 2046, 247, 2902, 1137, 771, 776, 341640, 390275, 57628, 6506, 6833, 2900, 1234, 1041, 1237, 594855, 60401, 91828, 11045, 22953, 1740, 1956, 92086, 3760, 3754, 56139, 3752, 6542, 5799, 25849, 1365, 9120, 2045, 1733, 2925, 1363, 56141, 1012, 8000, 357, 6531, 9844, 3767, 56144, 3768, 56145, 57101, 259, 9515	655	5068	17449	1.4244982738572212	3.6177590923003322E-9	1.8088794906390149E-9	9.407818968298898E-9
GOTERM_CC_ALL	GO:0005886~plasma membrane	265	30.28571428571429	1.3764356874958586E-11	8419, 90134, 54102, 10893, 5733, 2335, 388336, 4897, 126353, 150, 85320, 3485, 40, 23136, 1826, 80736, 64881, 10718, 56341, 54997, 5745, 23647, 2322, 196051, 26, 1087, 4886, 164656, 123872, 3497, 353345, 2847, 3494, 1811, 8869, 51761, 7200, 2844, 203328, 23533, 54886, 5618, 79820, 124274, 100128927, 2974, 623, 253559, 27289, 389816, 23017, 222008, 7043, 27092, 816, 150084, 27198, 64084, 30061, 23620, 143425, 4100, 7053, 22917, 5239, 7054, 111, 157855, 7455, 57580, 2679, 2899, 2675, 2674, 56106, 146395, 147719, 55911, 5320, 301, 50863, 160728, 7783, 2264, 196883, 8825, 7380, 2563, 255189, 57497, 26047, 2566, 2567, 168507, 3249, 2359, 10268, 3503, 869, 140730, 51655, 1499, 341359, 84059, 8909, 5304, 4326, 157724, 4137, 4671, 2346, 152330, 2690, 857, 27151, 8912, 8911, 2867, 120892, 10786, 7369, 89766, 9452, 26166, 10791, 5167, 1008, 1005, 6557, 1006, 55040, 728441, 338557, 2099, 489, 1524, 441027, 6967, 480, 29850, 25823, 9651, 29993, 6563, 116337, 84539, 6564, 92714, 2155, 26154, 6549, 23704, 5174, 4036, 1902, 9254, 9543, 6983, 27328, 3354, 27124, 25837, 54328, 80031, 4935, 6579, 9369, 9368, 22997, 81031, 5801, 4584, 108, 23329, 26996, 9635, 389434, 23428, 57419, 6004, 9619, 27202, 29760, 27201, 3118, 799, 51802, 64005, 400935, 152273, 7434, 7433, 79570, 644672, 399, 11122, 2914, 431705, 6725, 57828, 786, 5578, 11255, 1048, 2705, 57535, 3781, 9283, 2813, 10396, 54857, 3779, 3778, 388, 202915, 1154, 3577, 2046, 247, 2902, 1137, 771, 776, 341640, 390275, 57628, 6506, 6833, 2900, 1234, 1041, 1237, 594855, 60401, 11045, 22953, 1740, 1956, 92086, 3760, 3754, 56139, 3752, 6542, 5799, 25849, 1365, 9120, 2045, 1733, 2925, 1363, 56141, 1012, 8000, 357, 6531, 9844, 3767, 3768, 56144, 57101, 56145, 259, 9515	655	4955	17449	1.4247263539797104	7.749313857274842E-9	2.583104619091614E-9	2.015173583558294E-8
GOTERM_CC_ALL	GO:0044425~membrane part	332	37.94285714285714	1.817886895418064E-10	7494, 90134, 54102, 64090, 5733, 10893, 2335, 54490, 388336, 4897, 150, 85320, 3485, 388633, 40, 23136, 1826, 80736, 64881, 10718, 54997, 100505993, 5745, 1084, 2322, 196051, 64478, 54898, 1087, 4886, 164656, 3497, 353345, 2847, 3494, 1811, 55365, 8869, 51761, 2844, 138065, 84689, 203328, 161145, 23533, 10321, 5618, 54886, 79820, 124274, 100271846, 729238, 623, 253559, 5346, 389816, 23017, 347741, 89876, 57613, 222008, 7043, 27092, 816, 150084, 83733, 27198, 64084, 30061, 23620, 143425, 7053, 641455, 22917, 5239, 8435, 7054, 11226, 442117, 111, 4753, 148327, 157855, 7455, 2679, 2899, 2675, 56106, 146852, 2674, 146395, 84179, 147719, 5320, 301, 50863, 64579, 160728, 7783, 2264, 196883, 8825, 7380, 9215, 165679, 2563, 255189, 57497, 26047, 220441, 2566, 2567, 168507, 3249, 388588, 2359, 10268, 163720, 3503, 869, 140730, 1499, 9717, 341359, 643008, 285368, 84059, 5304, 4326, 126410, 157724, 4671, 2346, 152330, 266722, 8608, 2690, 857, 125981, 8912, 8911, 2867, 120892, 10786, 7363, 7369, 7367, 89766, 7366, 9452, 728588, 5167, 10791, 1008, 1005, 6557, 340895, 1006, 55040, 728441, 338557, 8534, 196446, 2099, 489, 90993, 1524, 6966, 441027, 6967, 480, 29850, 116285, 25823, 6563, 29993, 116337, 84539, 6564, 23302, 26154, 6549, 23704, 5174, 255027, 4036, 1902, 9254, 9543, 79153, 6983, 114815, 64409, 27328, 3354, 11283, 25837, 54328, 80031, 4935, 10815, 6579, 51207, 9369, 9368, 64711, 144110, 92840, 1917, 81031, 22997, 9027, 5801, 4584, 346689, 108, 26996, 9635, 389434, 9022, 23428, 387914, 57419, 6004, 124872, 9619, 27202, 596, 27201, 3118, 100127206, 112817, 799, 51802, 6817, 64005, 400935, 150000, 152273, 283987, 7434, 7433, 79570, 644672, 399, 11122, 2914, 56967, 1572, 6725, 57828, 94160, 786, 11255, 1048, 2705, 57535, 3781, 9283, 2813, 10396, 3779, 54857, 153328, 3778, 123099, 202915, 3577, 2046, 1345, 247, 2902, 1137, 771, 776, 341640, 390275, 57628, 6506, 8778, 6833, 2900, 6252, 79258, 1234, 400500, 1237, 9687, 51338, 1555, 60401, 388021, 11045, 22953, 57452, 1740, 6441, 1956, 92086, 56654, 3760, 1548, 64377, 1549, 3754, 56139, 3752, 6542, 5799, 25849, 654429, 1365, 9120, 195814, 554236, 11264, 2045, 1733, 2925, 1363, 56141, 1012, 8000, 54847, 357, 6531, 3767, 56144, 3768, 56145, 57101, 9515	655	6748	17449	1.310666660633402	1.0234703018419111E-7	2.558675848973735E-8	2.661487363830872E-7
GOTERM_CC_ALL	GO:0031224~intrinsic component of membrane	290	33.14285714285714	2.6505857440558437E-10	7494, 90134, 54102, 64090, 10893, 5733, 54490, 388336, 4897, 150, 85320, 388633, 40, 1826, 80736, 64881, 10718, 100505993, 5745, 1084, 2322, 196051, 64478, 54898, 1087, 4886, 164656, 353345, 2847, 1811, 55365, 8869, 51761, 2844, 138065, 84689, 203328, 161145, 10321, 5618, 54886, 79820, 124274, 100271846, 623, 253559, 5346, 389816, 23017, 347741, 89876, 57613, 222008, 27092, 150084, 83733, 27198, 64084, 30061, 23620, 143425, 641455, 22917, 8435, 11226, 442117, 111, 4753, 148327, 157855, 7455, 2679, 2899, 2675, 146852, 2674, 56106, 146395, 84179, 147719, 50863, 64579, 160728, 7783, 2264, 196883, 7380, 9215, 165679, 2563, 57497, 26047, 220441, 2566, 2567, 168507, 3249, 388588, 2359, 10268, 163720, 9717, 341359, 643008, 285368, 84059, 4326, 157724, 2346, 152330, 266722, 8608, 2690, 857, 125981, 8912, 8911, 2867, 10786, 7363, 7369, 7367, 89766, 7366, 9452, 728588, 5167, 10791, 1008, 1005, 340895, 6557, 1006, 728441, 338557, 8534, 196446, 2099, 489, 90993, 1524, 6966, 441027, 6967, 480, 29850, 116285, 25823, 6563, 116337, 6564, 84539, 23302, 26154, 6549, 23704, 255027, 4036, 1902, 9254, 9543, 79153, 6983, 114815, 64409, 27328, 3354, 11283, 25837, 54328, 80031, 4935, 6579, 51207, 9369, 64711, 144110, 92840, 22997, 81031, 9027, 5801, 4584, 346689, 108, 26996, 9635, 389434, 9022, 23428, 387914, 57419, 6004, 124872, 9619, 27202, 596, 27201, 3118, 100127206, 112817, 799, 51802, 6817, 400935, 150000, 7434, 7433, 79570, 644672, 11122, 2914, 56967, 57828, 94160, 786, 11255, 1048, 2705, 57535, 3781, 9283, 2813, 10396, 54857, 3779, 153328, 3778, 123099, 202915, 3577, 2046, 1345, 2902, 1137, 771, 776, 341640, 390275, 57628, 6506, 8778, 6833, 2900, 6252, 79258, 1234, 400500, 1237, 9687, 51338, 60401, 388021, 11045, 22953, 57452, 1740, 1956, 92086, 56654, 3760, 1548, 1549, 3754, 64377, 56139, 3752, 6542, 5799, 25849, 654429, 1365, 9120, 195814, 554236, 11264, 2045, 1733, 2925, 56141, 1012, 8000, 54847, 6531, 3767, 56144, 3768, 56145, 57101, 9515	655	5703	17449	1.3546399176541608	1.4922794167038234E-7	2.9845590110433307E-8	3.880603949291128E-7
GOTERM_CC_ALL	GO:0031226~intrinsic component of plasma membrane	110	12.571428571428573	2.4672181438957176E-9	5167, 90134, 10791, 338557, 5733, 728441, 10893, 4897, 388336, 489, 150, 1524, 85320, 441027, 6967, 480, 40, 25823, 1826, 6563, 84539, 6564, 10718, 5745, 2322, 1902, 196051, 9543, 6983, 4886, 27328, 3354, 25837, 2847, 1811, 8869, 80031, 6579, 9369, 54886, 81031, 623, 253559, 389816, 108, 23428, 9635, 57419, 27202, 9619, 27092, 3118, 799, 30061, 23620, 400935, 7434, 7433, 2914, 11255, 1048, 57535, 157855, 3779, 2679, 2899, 3778, 2046, 2902, 1137, 160728, 2264, 6833, 2900, 1234, 1237, 2563, 26047, 2566, 60401, 3249, 11045, 22953, 2359, 10268, 1740, 92086, 3760, 3754, 56139, 3752, 6542, 5799, 1365, 4326, 9120, 157724, 2045, 2346, 2925, 56141, 2690, 857, 6531, 3767, 2867, 56144, 3768, 56145, 10786	655	1648	17449	1.778134958867561	1.389042825317155E-6	2.3150727157528195E-7	3.6121440949443695E-6
GOTERM_CC_ALL	GO:0005887~integral component of plasma membrane	106	12.114285714285716	4.340935392185203E-9	5167, 90134, 10791, 5733, 10893, 338557, 4897, 388336, 489, 150, 1524, 85320, 441027, 6967, 480, 40, 25823, 1826, 6563, 84539, 6564, 10718, 5745, 2322, 1902, 9543, 196051, 6983, 4886, 27328, 3354, 2847, 1811, 8869, 80031, 6579, 9369, 54886, 81031, 623, 253559, 389816, 108, 23428, 9635, 57419, 27202, 9619, 27092, 3118, 799, 30061, 23620, 400935, 7434, 7433, 2914, 11255, 1048, 57535, 157855, 3779, 2899, 3778, 2046, 2902, 1137, 160728, 2264, 6833, 2900, 1234, 1237, 2563, 26047, 2566, 60401, 3249, 11045, 22953, 2359, 10268, 1740, 3760, 3754, 56139, 3752, 6542, 5799, 1365, 4326, 9120, 157724, 2045, 2346, 2925, 56141, 2690, 857, 6531, 3767, 2867, 56144, 3768, 56145, 10786	655	1584	17449	1.7827068393862289	2.4439436427936556E-6	3.491351717732627E-7	6.355370019139883E-6
GOTERM_CC_ALL	GO:0016021~integral component of membrane	279	31.885714285714283	7.794336210332083E-9	7494, 90134, 54102, 64090, 10893, 5733, 54490, 388336, 4897, 150, 85320, 388633, 40, 1826, 80736, 64881, 10718, 100505993, 5745, 1084, 2322, 196051, 64478, 54898, 1087, 4886, 164656, 353345, 2847, 1811, 55365, 8869, 51761, 2844, 138065, 84689, 203328, 161145, 10321, 5618, 54886, 79820, 124274, 100271846, 253559, 623, 5346, 389816, 23017, 347741, 89876, 57613, 222008, 27092, 150084, 83733, 27198, 64084, 30061, 23620, 143425, 641455, 22917, 8435, 11226, 442117, 111, 4753, 148327, 157855, 7455, 2679, 2899, 146852, 56106, 146395, 84179, 64579, 160728, 7783, 2264, 196883, 7380, 9215, 165679, 2563, 57497, 26047, 220441, 2566, 2567, 168507, 3249, 388588, 2359, 10268, 163720, 9717, 341359, 643008, 285368, 84059, 4326, 157724, 2346, 266722, 8608, 2690, 857, 125981, 8912, 8911, 2867, 10786, 7363, 7369, 7367, 89766, 7366, 9452, 728588, 5167, 10791, 1008, 1005, 340895, 6557, 1006, 338557, 8534, 196446, 2099, 489, 90993, 1524, 6966, 441027, 6967, 480, 29850, 116285, 25823, 6563, 116337, 6564, 84539, 23302, 26154, 6549, 23704, 255027, 4036, 1902, 9254, 9543, 79153, 6983, 114815, 64409, 27328, 3354, 11283, 54328, 80031, 4935, 6579, 51207, 9369, 64711, 144110, 92840, 22997, 81031, 9027, 5801, 4584, 346689, 108, 26996, 9635, 389434, 9022, 23428, 387914, 57419, 124872, 9619, 27202, 596, 27201, 3118, 100127206, 112817, 799, 51802, 6817, 400935, 150000, 7434, 7433, 79570, 644672, 11122, 2914, 56967, 57828, 94160, 786, 11255, 1048, 2705, 57535, 3781, 9283, 2813, 10396, 54857, 3779, 153328, 3778, 123099, 202915, 3577, 2046, 1345, 2902, 1137, 771, 776, 341640, 390275, 57628, 6506, 8778, 6833, 2900, 6252, 79258, 1234, 400500, 1237, 9687, 51338, 60401, 388021, 11045, 22953, 57452, 1740, 1956, 56654, 3760, 1548, 1549, 3754, 64377, 56139, 3752, 6542, 5799, 25849, 654429, 1365, 9120, 195814, 554236, 11264, 2045, 1733, 2925, 56141, 54847, 6531, 3767, 56144, 3768, 56145, 57101, 9515	655	5599	17449	1.3274646917592972	4.388201656269075E-6	5.485262600801732E-7	1.1411339917444252E-5
GOTERM_MF_ALL	GO:0022803~passive transmembrane transporter activity	45	5.142857142857142	1.737252873890464E-8	22953, 90134, 54102, 786, 2705, 3781, 157855, 3760, 3779, 3754, 2899, 3778, 3752, 29850, 40, 6563, 9635, 9022, 116337, 57419, 1137, 2902, 596, 23704, 776, 27092, 30061, 51802, 160728, 9254, 6833, 2900, 8912, 8911, 357, 3767, 3768, 1811, 57101, 2563, 10786, 2566, 2567, 168507, 3249	602	471	16222	2.574539221702605	2.0030325211806144E-5	2.0030325211806144E-5	2.7945955716202064E-5
GOTERM_MF_ALL	GO:0022836~gated channel activity	36	4.114285714285714	2.464222466393325E-8	22953, 90134, 54102, 786, 3781, 157855, 3760, 3779, 3754, 2899, 3778, 3752, 29850, 40, 9022, 9635, 1137, 2902, 23704, 776, 27092, 51802, 9254, 6833, 2900, 8912, 8911, 357, 3767, 3768, 57101, 2563, 10786, 2566, 2567, 3249	602	331	16222	2.930774558119461	2.8412081804374267E-5	1.4206141809358641E-5	3.964019817948028E-5
