Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	28	3.2	1.7562510726896756E-6	22953, 2914, 2359, 5618, 11255, 5733, 150, 2899, 623, 84539, 1137, 2902, 5745, 2925, 799, 23620, 2690, 1902, 1081, 4886, 2900, 3354, 7434, 7433, 2847, 2563, 2566, 2567	243	271	6596	2.8045495269767513	4.372112963821895E-4	4.372112963821895E-4	0.002280075709293339
KEGG_PATHWAY	hsa04911:Insulin secretion	15	1.7142857142857144	2.0427832689220005E-6	776, 816, 5578, 111, 3781, 157855, 148327, 6833, 196883, 3779, 90993, 3778, 3767, 480, 108	243	85	6596	4.790123456790123	5.085242111966259E-4	2.542944384290591E-4	0.002652065292485517
REACTOME_PATHWAY	R-HSA-913709:R-HSA-913709	10	1.1428571428571428	1.1797065622184569E-4	4583, 64409, 4584, 11226, 4586, 57452, 442117, 727897, 4588, 283463	318	54	8780	5.112974609829956	0.04845526303244674	0.04845526303244674	0.16564348624695802
REACTOME_PATHWAY	R-HSA-418594:R-HSA-418594	21	2.4	3.1531243170324227E-4	2914, 2359, 26166, 301, 11255, 111, 5733, 27198, 1902, 196883, 4886, 150, 1234, 3354, 623, 1237, 2847, 108, 84539, 3577, 6004	318	235	8780	2.467282215977519	0.12433130922651459	0.06422829131593999	0.44216294225104535
KEGG_PATHWAY	hsa04725:Cholinergic synapse	13	1.4857142857142858	6.022960841893773E-4	90993, 23533, 1137, 596, 776, 816, 3768, 5578, 108, 111, 148327, 196883, 3760	243	109	6596	3.2373617246196247	0.13930657526722523	0.048775936231870154	0.7791314118768988
KEGG_PATHWAY	hsa04918:Thyroid hormone synthesis	10	1.1428571428571428	6.173730999200754E-4	90993, 480, 5578, 108, 4036, 111, 1081, 148327, 389434, 196883	243	66	6596	4.112732260880409	0.14253367730494126	0.03771377716470725	0.798562988808349
KEGG_PATHWAY	hsa04925:Aldosterone synthesis and secretion	11	1.2571428571428571	6.303308417101306E-4	8912, 90993, 8911, 776, 816, 5578, 108, 111, 148327, 196883, 1585	243	80	6596	3.732304526748971	0.14529753635350906	0.030912501335895848	0.8152603940524528
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	10	1.1428571428571428	6.907946531491192E-4	2940, 1548, 1572, 222, 22977, 1555, 7363, 54490, 7367, 7366	243	67	6596	4.051348197285179	0.15807749607285837	0.028270576842344575	0.8931400505198028
KEGG_PATHWAY	hsa04970:Salivary secretion	11	1.2571428571428571	9.296971766201079E-4	1469, 3778, 480, 5578, 108, 111, 727897, 1472, 1470, 196883, 820	243	84	6596	3.5545757397609252	0.20673843840737327	0.03254468297093349	1.2003037146822937
REACTOME_PATHWAY	R-HSA-211935:R-HSA-211935	5	0.5714285714285714	0.001252228729908555	126410, 1549, 1572, 11283, 1555	318	14	8780	9.8607367475292	0.4099326825821211	0.16124744996792784	1.7453103543315862
