Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1650814:R-HSA-1650814	31	1.8822100789313905	3.009730151277103E-16	1292, 136227, 1293, 1290, 55214, 1291, 1296, 283208, 1295, 649, 84570, 1310, 26577, 169044, 9509, 9508, 1289, 64175, 1307, 1281, 1282, 5118, 1284, 1299, 1286, 1301, 1302, 140766, 50509, 23127, 7092	699	67	8780	5.811713962376957	2.4580337765200966E-13	2.4580337765200966E-13	5.10702591327572E-13
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	34	2.0643594414086217	5.681312061735968E-15	1292, 1293, 1290, 1291, 284217, 3680, 2335, 960, 9900, 1311, 3909, 3908, 3676, 3678, 3696, 1289, 22801, 22987, 1281, 1282, 3672, 1284, 1286, 3690, 1301, 10319, 1302, 5649, 3918, 3688, 3914, 3915, 50509, 3910	541	86	6596	4.820186562352233	1.4834800055041342E-12	1.4834800055041342E-12	7.405187574249794E-12
REACTOME_PATHWAY	R-HSA-1474228:R-HSA-1474228	32	1.9429265330904677	6.3208760113342835E-15	2006, 682, 649, 2335, 170690, 960, 3909, 5654, 1520, 11095, 11096, 84290, 9507, 4323, 2201, 2200, 4313, 4318, 4317, 4316, 56999, 84467, 2, 3918, 4811, 3914, 5650, 3915, 9313, 4322, 7092, 1515	699	78	8780	5.153149187483952	4.6702641753881835E-12	2.3351320876940918E-12	9.614531393253856E-12
KEGG_PATHWAY	hsa05146:Amoebiasis	37	2.2465088038858534	1.9481119195606524E-14	1290, 284217, 5578, 2769, 2335, 3909, 3908, 7042, 6318, 6317, 1289, 3553, 3576, 1281, 1282, 1284, 4843, 1286, 1301, 10319, 1302, 2774, 5055, 929, 3918, 5293, 7099, 3689, 3914, 3915, 50509, 5272, 5273, 3910, 5275, 7097, 3569	541	105	6596	4.296311944371094	5.090372567906343E-12	2.5451862839531714E-12	2.5424107263916085E-11
KEGG_PATHWAY	hsa04510:Focal adhesion	53	3.217972070431087	4.8955218986066656E-14	1292, 1293, 1290, 1291, 284217, 5578, 3082, 3680, 2335, 330, 1311, 3676, 3678, 1289, 22801, 5228, 29895, 64098, 5159, 2064, 5880, 1281, 1282, 1284, 1286, 3690, 5649, 3918, 3688, 10000, 3914, 3915, 3910, 2318, 1956, 56034, 3909, 3908, 4638, 3696, 4233, 57144, 5728, 3672, 5156, 858, 1301, 857, 10319, 1302, 5293, 50509, 2534	541	206	6596	3.13683757155932	1.2827738871123984E-11	4.275912957041328E-12	6.407097075111778E-11
REACTOME_PATHWAY	R-HSA-2022090:R-HSA-2022090	23	1.3964784456587735	5.919498124596533E-13	1292, 1293, 1281, 1290, 1282, 1291, 1296, 1284, 4318, 1286, 1295, 4316, 1301, 1302, 3909, 3918, 3914, 50509, 1520, 9313, 1289, 4322, 1515	699	46	8780	6.280400572246066	4.368745365468385E-10	1.4562484551561283E-10	8.990475031112055E-10
REACTOME_PATHWAY	R-HSA-216083:R-HSA-216083	31	1.8822100789313905	7.014566724091641E-13	1292, 1293, 1290, 1291, 1296, 682, 1295, 3384, 3680, 2335, 960, 1311, 3383, 3676, 3678, 3696, 1289, 22801, 2200, 1307, 1281, 1282, 3672, 1284, 1299, 1286, 3690, 3688, 3689, 4060, 50509	699	85	8780	4.580998064461836	5.176619133351323E-10	1.2941547833378308E-10	1.0652922988185765E-9
REACTOME_PATHWAY	R-HSA-3000178:R-HSA-3000178	29	1.7607771706132362	8.329548657550139E-13	1292, 1293, 1290, 1291, 284217, 4684, 3680, 2335, 1311, 3909, 6678, 3908, 7042, 1289, 4038, 1462, 1281, 1282, 1284, 1299, 1286, 633, 3690, 3688, 4060, 3915, 50509, 3910, 4146	699	75	8780	4.856843109203624	6.147542475076762E-10	1.2295087170599572E-10	1.2650991365603659E-9
REACTOME_PATHWAY	R-HSA-3000171:R-HSA-3000171	21	1.2750455373406193	1.271423518137043E-12	1756, 1281, 1290, 1282, 1284, 284217, 1286, 2335, 1301, 10319, 1302, 3909, 3908, 3918, 2247, 3914, 3915, 50509, 3910, 1289, 4921	699	39	8780	6.763508308572686	9.383134269569382E-10	1.563855711594897E-10	1.9309553955793035E-9
REACTOME_PATHWAY	R-HSA-1442490:R-HSA-1442490	26	1.5786278081360048	2.85927190975353E-12	1292, 1293, 136227, 1290, 1291, 1296, 1295, 84570, 1310, 1289, 4323, 1307, 4313, 1281, 1282, 1284, 4318, 4317, 1299, 1286, 4316, 1301, 1302, 50509, 9313, 4322	699	63	8780	5.183822694552308	2.1101400626832856E-9	3.0144853280233974E-10	4.34245972513736E-9
