"","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"1","R-HSA-418594","G alpha (i) signalling events",28,0.000531541713182005,0.0251343295804634,21,0.000827892848246736,0.189045753346182,0,0,21,28
"2","R-HSA-5673001","RAF/MAP kinase cascade",12,0.193002393910075,0.769684245593191,12,0.0047578327611977,0.382849123428307,1,0,11,12
"3","R-HSA-913709","O-linked glycosylation of mucins",9,0.000316780734137536,0.0175697636102076,10,0.00020945779889052,0.100572426584603,0,0,10,9
"4","R-HSA-375276","Peptide ligand-binding receptors",16,0.00110516589319909,0.0406455456276554,10,0.0166754102786423,0.572965346937791,0,2,10,14
"5","R-HSA-2672351","Stimuli-sensing channels",8,0.0415301274465731,0.366572591595085,8,0.0357980952969332,0.662118252363292,0,1,8,7
"6","R-HSA-977068","Termination of O-glycan biosynthesis",5,0.00157018628255007,0.0472483326840066,6,0.0024301575045589,0.264929645496844,0,1,6,4
"7","R-HSA-418990","Adherens junctions interactions",6,0.00096262597930633,0.0386686804679061,6,0.0064201567773463,0.372230222988886,1,0,5,6
"8","R-HSA-419037","NCAM1 interactions",6,0.00408970816280072,0.0773539086792593,6,0.0227177186267628,0.591164442994911,0,0,6,6
"9","R-HSA-418597","G alpha (z) signalling events",6,0.00717787429116482,0.115896409286612,6,0.0323018358596537,0.669660983622877,0,0,6,6
"10","R-HSA-5576892","Phase 0 - rapid depolarisation",6,0.00645682497957132,0.106860453411905,6,0.0323018358596537,0.669660983622877,0,0,6,6
"11","R-HSA-211935","Fatty acids",5,0.000100237431323565,0.0140652809101822,5,0.00165987596082459,0.244366158700997,0,0,5,5
"12","R-HSA-982772","Growth hormone receptor signaling",3,0.0565694538807863,0.402677187839576,5,0.012962664761184,0.519800947598509,0,1,5,2
"13","R-HSA-5576893","Phase 2 - plateau phase",5,0.00272384655531536,0.0601062139872923,5,0.019542572967113,0.596612839097008,0,0,5,5
"14","R-HSA-211999","CYP2E1 reactions",4,0.000318485140970531,0.0175697636102076,4,0.00573144099826729,0.384143926718662,1,0,3,4
"15","R-HSA-156588","Glucuronidation",4,0.00451872885894126,0.0830944029060865,4,0.00991631339504461,0.467587824956561,0,0,4,4
"16","R-HSA-211981","Xenobiotics",4,0.00781748274357887,0.120352873866261,4,0.030958714857752,0.679099064273079,0,2,4,2
"17","R-HSA-3371571","HSF1-dependent transactivation",2,0.220642222795945,0.798170226726314,4,0.0357303982236078,0.683570617371066,0,0,4,2
