Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
1,Protein folding and maturation_POMC processing,30,2.188E-16,1.886E-13,4.055E-16,1.886E-13,19,"PAM, proACTH, POMC, N-POMC, beta-MSH, beta-Endorphin extracellular region, N-POC, gamma-LPH, ACTH 1-17, gamma3-MSH, ACTH, alpha-MSH, Joining peptide (JP), DA-alphaMSH, CLIP, PC1, gamma-MSH, beta-LPH, gamma2-MSH",2.188E-16,2.981E-13,19,"PAM, proACTH, POMC, N-POMC, beta-MSH, beta-Endorphin extracellular region, N-POC, gamma-LPH, ACTH 1-17, gamma3-MSH, ACTH, alpha-MSH, Joining peptide (JP), DA-alphaMSH, CLIP, PC1, gamma-MSH, beta-LPH, gamma2-MSH",
2,Development_Regulation of epithelial-to-mesenchymal transition (EMT),64,2.706E-16,1.886E-13,2.706E-16,1.886E-13,27,"HGF, IL-1 beta, N-cadherin, TGF-beta 2, NOTCH4, Caldesmon, ACTA2, FGF2, SNAIL1, PDGF-R-alpha, HGF receptor (Met), Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1, WNT, TGF-beta receptor type II, SLUG, EGFR, MMP-9, Frizzled, EDNRA, ACTB, SIP1 (ZFHX1B), PDGF-R-beta, MMP-2",1.401E-14,6.361E-12,25,"HGF, IL-1 beta, N-cadherin, TGF-beta 2, NOTCH4, ACTA2, Caldesmon, FGF2, PDGF-R-alpha, HGF receptor (Met), Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1, WNT, TGF-beta receptor type II, SLUG, EGFR, MMP-9, Frizzled, EDNRA, SIP1 (ZFHX1B), PDGF-R-beta, MMP-2",
3,Cell adhesion_ECM remodeling,55,4.000E-16,1.886E-13,4.000E-16,1.886E-13,25,"Matrilysin (MMP-7), Laminin 5, PLAUR (uPAR), alpha-5/beta-1 integrin, Actin cytoskeletal, alpha-1/beta-1 integrin, MMP-13, Collagen IV, CD44, SERPINE2, Caveolin-2, PLAT (TPA), MSN (moesin), Fibronectin, Nidogen, Osteonectin, IL-8, EGFR, LAMA4, MMP-9, PLAU (UPA), MMP-14, MMP-2, Versican, Collagen III",2.340E-15,1.593E-12,24,"Matrilysin (MMP-7), Laminin 5, PLAUR (uPAR), alpha-5/beta-1 integrin, alpha-1/beta-1 integrin, MMP-13, Collagen IV, CD44, SERPINE2, Caveolin-2, PLAT (TPA), MSN (moesin), Fibronectin, Nidogen, Osteonectin, IL-8, EGFR, LAMA4, MMP-9, PLAU (UPA), MMP-14, MMP-2, Versican, Collagen III",
4,Role of stellate cells in progression of pancreatic cancer,60,4.962E-15,1.730E-12,4.962E-15,1.730E-12,25,"GRO-2, IL-6, Galectin-1, NGF, ACTA2, alpha-5/beta-1 integrin, PI3K cat class IA, RECK, FGF2, MMP-13, SMAD3, CTGF, PDGF-R-alpha, AKT(PKB), PDGF receptor, OSF-2, CCL2, Fibronectin, IL-8, TGF-beta receptor type II, EGFR, ERK1/2, PDGF-R-beta, MMP-2, Collagen III",2.595E-13,8.834E-11,23,"GRO-2, IL-6, Galectin-1, NGF, ACTA2, alpha-5/beta-1 integrin, PI3K cat class IA, RECK, FGF2, MMP-13, CTGF, PDGF-R-alpha, AKT(PKB), PDGF receptor, OSF-2, CCL2, Fibronectin, IL-8, TGF-beta receptor type II, EGFR, PDGF-R-beta, MMP-2, Collagen III",
5,TGF-beta signaling via SMADs in breast cancer,47,1.700E-12,4.742E-10,1.700E-12,4.742E-10,20,"TGF-beta 2, PTHrP, HMGA2, SNAIL1, MMP-13, SMAD3, CTGF, RUNX2, CD44, p53, IL-8, ETS1, FOXQ1 (HFH1), TGF-beta receptor type II, SLUG, MMP-9, CD44 soluble, Fascin, GLI-2, MMP-14",1.008E-09,1.526E-07,17,"TGF-beta 2, PTHrP, HMGA2, MMP-13, CTGF, RUNX2, CD44, IL-8, ETS1, FOXQ1 (HFH1), TGF-beta receptor type II, SLUG, MMP-9, CD44 soluble, Fascin, GLI-2, MMP-14",
6,Putative roles of SETDB1 and PLU-1 in melanoma,23,4.696E-12,1.279E-09,7.375E-12,1.715E-09,14,"HOXA6, HOXA4, HOXA9, p14ARF, HOXA10, HOXA7, HOXA3, HOXA2, HOXA5, p16INK4, Jagged1, HOXA11, LMO2, CDK6",4.696E-12,1.279E-09,14,"HOXA6, HOXA4, HOXA9, p14ARF, HOXA10, HOXA7, HOXA3, HOXA2, HOXA5, p16INK4, Jagged1, HOXA11, LMO2, CDK6",
7,Stromal-epithelial interaction in Prostate Cancer,42,1.927E-11,3.793E-09,1.927E-11,3.793E-09,18,"HGF, Keratin 17, IL-6, TGF-beta 2, ACTA2, FGF2, SNAIL1, SMAD3, PDGF-R-alpha, HIC5, HGF receptor (Met), Fibronectin, Vimentin, TGF-beta receptor type II, MMP-9, PDGF-R-beta, MMP-2, Versican",1.290E-09,1.757E-07,16,"HGF, Keratin 17, IL-6, TGF-beta 2, ACTA2, FGF2, PDGF-R-alpha, HIC5, HGF receptor (Met), Fibronectin, Vimentin, TGF-beta receptor type II, MMP-9, PDGF-R-beta, MMP-2, Versican",
8,Stellate cells activation and liver fibrosis,70,2.175E-11,3.793E-09,2.175E-11,3.793E-09,23,"GRO-2, IL-1 beta, Biglycan, Beta-catenin, ACTA2, TNF-R2, PI3K cat class IA, GLI-1, SMAD3, PDGF-R-alpha, ERK2 (MAPK1), AKT(PKB), PTCH1, PDGF receptor, ICAM1, CCL2, Tcf(Lef), Dsh, TGF-beta receptor type II, Frizzled, TLR2, PDGF-R-beta, MMP-2",2.454E-08,1.990E-06,19,"GRO-2, IL-1 beta, Biglycan, ACTA2, TNF-R2, PI3K cat class IA, GLI-1, PDGF-R-alpha, AKT(PKB), PTCH1, PDGF receptor, ICAM1, CCL2, Tcf(Lef), TGF-beta receptor type II, Frizzled, TLR2, PDGF-R-beta, MMP-2",
9,Stimulation of TGF-beta signaling in lung cancer,48,2.877E-11,4.460E-09,2.877E-11,4.460E-09,19,"COX-2 (PTGS2), IL-1 beta, N-cadherin, TGF-beta 2, ITGB1, ACTA2, TGF-beta, Fyn, SNAIL1, SMAD3, AKT(PKB), Fibronectin, Vimentin, TGF-beta receptor type II, SLUG, MMP-9, IRAKM, Tropomyosin-2, MMP-2",1.473E-09,1.824E-07,17,"COX-2 (PTGS2), IL-1 beta, N-cadherin, TGF-beta 2, ITGB1, ACTA2, TGF-beta, Fyn, AKT(PKB), Fibronectin, Vimentin, TGF-beta receptor type II, SLUG, MMP-9, IRAKM, Tropomyosin-2, MMP-2",
10,TGF-beta 1-mediated induction of EMT in normal and asthmatic airway epithelium,44,4.971E-11,6.935E-09,4.971E-11,6.935E-09,18,"IL-1 beta, N-cadherin, ACTA2, HMGA2, SNAIL1, SMAD3, CTGF, CD44, Fibronectin, Jagged1, Vimentin, ITGB3, ETS1, TGF-beta receptor type II, BMP4, SLUG, MMP-9, MMP-2",2.874E-09,3.262E-07,16,"IL-1 beta, N-cadherin, ACTA2, HMGA2, CTGF, CD44, Fibronectin, Jagged1, Vimentin, ITGB3, ETS1, TGF-beta receptor type II, BMP4, SLUG, MMP-9, MMP-2",
11,Development_TGF-beta-dependent induction of EMT via SMADs ,35,7.776E-11,9.861E-09,7.776E-11,9.861E-09,16,"N-cadherin, TGF-beta 2, TGF-beta, HMGA2, SNAIL1, SMAD3, Fibronectin, Jagged1, Vimentin, TCF8, ETS1, Claudin-1, TGF-beta receptor type II, SLUG, SIP1 (ZFHX1B), MMP-2",6.665E-09,6.484E-07,14,"N-cadherin, TGF-beta 2, TGF-beta, HMGA2, Fibronectin, Jagged1, Vimentin, TCF8, ETS1, Claudin-1, TGF-beta receptor type II, SLUG, SIP1 (ZFHX1B), MMP-2",
12,Beta-catenin-dependent transcription regulation in colorectal cancer,36,1.318E-10,1.532E-08,1.318E-10,1.532E-08,16,"COX-2 (PTGS2), Beta-catenin, PLAUR (uPAR), LAMC2, LAMC2 (80kDa), LAMC2 (100kDa), CD44, IL-8, Claudin-1, CDX2, CD44 soluble, PLAU (UPA), MDR1, Fascin, MMP-14, CD44 (EXT)",9.608E-10,1.526E-07,15,"COX-2 (PTGS2), PLAUR (uPAR), LAMC2, LAMC2 (80kDa), LAMC2 (100kDa), CD44, IL-8, Claudin-1, CDX2, CD44 soluble, PLAU (UPA), MDR1, Fascin, MMP-14, CD44 (EXT)",
13,Inhibition of remyelination in multiple sclerosis: role of cell-cell and ECM-cell interactions,47,1.840E-10,1.975E-08,1.840E-10,1.975E-08,18,"Connexin 30, NGF, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Actin cytoskeletal, Fyn, Caspr1, Tetraspanin-2, NCAM1, PKC, Connexin 45, CD44, Fibronectin, Connexin 26, MMP-9, TLR2",1.008E-09,1.526E-07,17,"Connexin 30, NGF, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Fyn, Caspr1, Tetraspanin-2, NCAM1, PKC, Connexin 45, CD44, Fibronectin, Connexin 26, MMP-9, TLR2",
14,Immune response_CCL2 signaling,54,3.184E-10,3.173E-08,3.184E-10,3.173E-08,19,"IL-1 beta, IL-6, alpha-5/beta-1 integrin, Actin cytoskeletal, iNOS, Caveolin-1, alpha-4/beta-1 integrin, ICAM1, CCL2, PKC-alpha, p53, ITGB3, ETS1, CDH19, G-protein alpha-i family, PI3K cat class IA (p110-delta), ERK1/2, MMP-14, MMP-2",8.147E-08,5.284E-06,16,"IL-1 beta, IL-6, alpha-5/beta-1 integrin, iNOS, Caveolin-1, alpha-4/beta-1 integrin, ICAM1, CCL2, PKC-alpha, ITGB3, ETS1, CDH19, G-protein alpha-i family, PI3K cat class IA (p110-delta), MMP-14, MMP-2",
15,Rheumatoid arthritis (general schema),50,3.538E-10,5.641E-08,6.066E-10,5.641E-08,18,"IL-15, IL-1 beta, IL-6, TNF-R2, HLA-DRB1, TGF-beta, MHC class II, FGF2, MMP-8, PTPN22, CSF1, alpha-4/beta-1 integrin, ICAM1, MHC class II beta chain, HLA-DRB, MMP-9, TLR4, TLR2",3.538E-10,8.032E-08,18,"IL-15, IL-1 beta, IL-6, TNF-R2, HLA-DRB1, TGF-beta, MHC class II, FGF2, MMP-8, PTPN22, CSF1, alpha-4/beta-1 integrin, ICAM1, MHC class II beta chain, HLA-DRB, MMP-9, TLR4, TLR2",
16,Inflammatory mechanisms of pancreatic cancerogenesis,67,3.002E-09,2.617E-07,3.002E-09,2.617E-07,20,"STAT3, COX-2 (PTGS2), IL-32 (NK4), IL-1 beta, IL-6, TNF-R2, CCL20, TGF-alpha, GRO-1, iNOS, ICAM1, CCL2, IL-8, EGFR, MMP-9, G-protein alpha-i family, TLR4, PLAU (UPA), ENA-78, MMP-2",1.112E-08,1.010E-06,19,"COX-2 (PTGS2), IL-32 (NK4), IL-1 beta, IL-6, TNF-R2, CCL20, TGF-alpha, GRO-1, iNOS, ICAM1, CCL2, IL-8, EGFR, MMP-9, G-protein alpha-i family, TLR4, PLAU (UPA), ENA-78, MMP-2",
17,Cell adhesion_Tight junctions,38,3.753E-09,3.080E-07,3.753E-09,3.080E-07,15,"Claudin-16, Myosin II, ITGB1, Claudin-18, Claudin-11, Actomyosin, SNAIL1, F-Actin, Caveolin-1, Claudin-8, Tcf(Lef), Claudin-1, CDX2, Actin, CDX1",1.134E-05,2.117E-04,11,"Claudin-16, ITGB1, Claudin-18, Claudin-11, Caveolin-1, Claudin-8, Tcf(Lef), Claudin-1, CDX2, Actin, CDX1",
18,Hedgehog signaling in gastric cancer,29,4.325E-09,4.515E-07,6.474E-09,4.515E-07,13,"N-cadherin, GLI-1, SFRP1, PTCH1, CDX2, BMP4, SLUG, EDNRA, TWIST2, GLI-2, SIP1 (ZFHX1B), MEF2C, PDGF-R-beta",4.325E-09,4.531E-07,13,"N-cadherin, GLI-1, SFRP1, PTCH1, CDX2, BMP4, SLUG, EDNRA, TWIST2, GLI-2, SIP1 (ZFHX1B), MEF2C, PDGF-R-beta",
19,Airway smooth muscle contraction in asthma,56,4.966E-09,3.695E-07,4.966E-09,3.695E-07,18,"PGF2aR, PGE2R2, Histamine H1 receptor, Myosin II, Beta-2 adrenergic receptor, TRPC6, CPI-17, TRPC3, G-protein alpha-q/11, MELC, PKC-alpha, MyHC, G-protein alpha-i family, Adenylate cyclase, MLCK, MRLC, ACM3, Telokin",1.433E-07,8.343E-06,16,"PGF2aR, PGE2R2, Histamine H1 receptor, Beta-2 adrenergic receptor, TRPC6, CPI-17, TRPC3, G-protein alpha-q/11, MELC, PKC-alpha, G-protein alpha-i family, Adenylate cyclase, MLCK, MRLC, ACM3, Telokin",
20,TGF-beta 1-induced transactivation of membrane receptors signaling in HCC,50,5.032E-09,3.695E-07,5.032E-09,3.695E-07,17,"Beta-catenin, ITGB1, Laminin 5, alpha-5/beta-1 integrin, TGF-beta, PI3K cat class IA, SNAIL1, PDGF-R-alpha, AKT(PKB), PDGF receptor, ITGA5, Fibronectin, Cyclin E, Actin, TGF-beta receptor type II, SLUG, PDGF-R-beta",1.728E-07,9.415E-06,15,"ITGB1, Laminin 5, alpha-5/beta-1 integrin, TGF-beta, PI3K cat class IA, PDGF-R-alpha, AKT(PKB), PDGF receptor, ITGA5, Fibronectin, Cyclin E, Actin, TGF-beta receptor type II, SLUG, PDGF-R-beta",
