Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
1,Cell adhesion_ECM remodeling,55,2.37E-18,3.44E-15,2.37E-18,3.44E-15,31,"Laminin 5, MMP-13, CD44, SERPINE2, Caveolin-2, PLAT (TPA), MSN (moesin), IL-8, EGFR, MMP-14, MMP-2, Versican, MMP-12, Matrilysin (MMP-7), PLAUR (uPAR), alpha-5/beta-1 integrin, Actin cytoskeletal, alpha-1/beta-1 integrin, Collagen II, Collagen IV, IBP4, IL8RA, Fibronectin, Kallikrein 1, Nidogen, Osteonectin, LAMA4, MMP-9, PLAU (UPA), Kallikrein 3 (PSA), Collagen III",1.12E-17,1.61E-14,30,"Laminin 5, MMP-13, CD44, SERPINE2, Caveolin-2, PLAT (TPA), MSN (moesin), IL-8, EGFR, MMP-14, MMP-2, Versican, MMP-12, Matrilysin (MMP-7), PLAUR (uPAR), alpha-5/beta-1 integrin, alpha-1/beta-1 integrin, Collagen II, Collagen IV, IBP4, IL8RA, Fibronectin, Kallikrein 1, Nidogen, Osteonectin, LAMA4, MMP-9, PLAU (UPA), Kallikrein 3 (PSA), Collagen III"
2,Protein folding and maturation_POMC processing,30,2.59E-17,1.85E-14,5.41E-17,3.93E-14,22,"PAM, proACTH, POMC, NAT-1, N-POMC, beta-Endorphin extracellular region, gamma-LPH, ACTH 1-17, Joining peptide (JP), DA-alphaMSH, PC1, gamma-MSH, beta-LPH, gamma2-MSH, beta-MSH, N-POC, gamma3-MSH, ACTH, PC2, alpha-MSH, Carboxypeptidase H, CLIP",2.59E-17,1.85E-14,22,"PAM, proACTH, POMC, NAT-1, N-POMC, beta-Endorphin extracellular region, gamma-LPH, ACTH 1-17, Joining peptide (JP), DA-alphaMSH, PC1, gamma-MSH, beta-LPH, gamma2-MSH, beta-MSH, N-POC, gamma3-MSH, ACTH, PC2, alpha-MSH, Carboxypeptidase H, CLIP"
3,Development_Regulation of epithelial-to-mesenchymal transition (EMT),64,6.71E-15,2.49E-12,6.71E-15,2.49E-12,30,"HGF, IL-1 beta, N-cadherin, TGF-beta 2, RelA (p65 NF-kB subunit), TGF-beta 3, WNT, TGF-beta receptor type II, SLUG, EGFR, Bcl-2, SIP1 (ZFHX1B), MMP-2, NOTCH4, Caldesmon, ACTA2, FGF2, SNAIL1, PDGF-R-alpha, HGF receptor (Met), Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1, MMP-9, Frizzled, EDNRA, ACTB, PDGF-R-beta",1.97E-13,9.40E-11,28,"HGF, IL-1 beta, N-cadherin, TGF-beta 2, RelA (p65 NF-kB subunit), TGF-beta 3, WNT, TGF-beta receptor type II, SLUG, EGFR, Bcl-2, SIP1 (ZFHX1B), MMP-2, NOTCH4, ACTA2, Caldesmon, FGF2, PDGF-R-alpha, HGF receptor (Met), Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1, MMP-9, Frizzled, EDNRA, PDGF-R-beta"
4,Role of stellate cells in progression of pancreatic cancer,60,6.85E-15,2.49E-12,6.85E-15,2.49E-12,29,"GRO-2, NGF, PI3K cat class IA, RECK, RelA (p65 NF-kB subunit), MMP-13, CCL2, IL-8, TGF-beta receptor type II, EGFR, ERK1/2, MMP-2, IL-6, Galectin-1, ACTA2, alpha-5/beta-1 integrin, FGF2, SOS, SMAD3, CTGF, PDGF-R-alpha, AKT(PKB), PDGF receptor, OSF-2, PDK (PDPK1), Fibronectin, PDGF-R-beta, NF-kB p65/p65, Collagen III",1.89E-12,6.75E-10,26,"GRO-2, NGF, PI3K cat class IA, RECK, RelA (p65 NF-kB subunit), MMP-13, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-2, IL-6, Galectin-1, ACTA2, alpha-5/beta-1 integrin, FGF2, SOS, CTGF, PDGF-R-alpha, AKT(PKB), PDGF receptor, OSF-2, Fibronectin, PDGF-R-beta, NF-kB p65/p65, Collagen III"
5,Signal transduction_PDGF signaling via PI3K/AKT and NFkB pathways,70,4.32E-11,1.01E-08,4.32E-11,1.01E-08,27,"PDK1, RelA (p65 NF-kB subunit), MYH11, PTEN, CCL2, ETS1, ERK1/2, MMP-2, PDGF-C, Transgelin, Beta-catenin, YB-1, ACTA2, SGK1, PDGFR-ab, NF-kB, MKL1, PDGF-R-alpha, AKT(PKB), SOS1, PDGF receptor, p53, PDK (PDPK1), p27KIP1, MMP-9, Phox1 (PRRX1), PDGF-R-beta",3.50E-05,5.81E-04,18,"RelA (p65 NF-kB subunit), CCL2, ETS1, MMP-2, PDGF-C, Transgelin, ACTA2, SGK1, PDGFR-ab, NF-kB, MKL1, PDGF-R-alpha, AKT(PKB), SOS1, PDGF receptor, MMP-9, Phox1 (PRRX1), PDGF-R-beta"
6,Beta-catenin-dependent transcription regulation in colorectal cancer,36,4.48E-11,1.01E-08,4.48E-11,1.01E-08,19,"COX-2 (PTGS2), LAMC2, LAMC2 (80kDa), CD44, Mucin 2, IL-8, CDX2, CD44 soluble, TCF7L2 (TCF4), Fascin, MMP-14, CD44 (EXT), Beta-catenin, PLAUR (uPAR), LAMC2 (100kDa), Claudin-1, NRCAM, PLAU (UPA), MDR1",2.68E-10,7.66E-08,18,"COX-2 (PTGS2), LAMC2, LAMC2 (80kDa), CD44, Mucin 2, IL-8, CDX2, CD44 soluble, TCF7L2 (TCF4), Fascin, MMP-14, CD44 (EXT), PLAUR (uPAR), LAMC2 (100kDa), Claudin-1, NRCAM, PLAU (UPA), MDR1"
7,Stimulation of TGF-beta signaling in lung cancer,48,4.84E-11,1.01E-08,4.84E-11,1.01E-08,22,"COX-2 (PTGS2), IL-1 beta, N-cadherin, TGF-beta 2, ITGB1, RelA (p65 NF-kB subunit), TGF-beta 3, TGF-beta receptor type II, SLUG, IRAKM, MMP-2, ACTA2, TGF-beta, Fyn, SNAIL1, SMAD3, AKT(PKB), MMP-28, Fibronectin, Vimentin, MMP-9, Tropomyosin-2",1.61E-09,2.56E-07,20,"COX-2 (PTGS2), IL-1 beta, N-cadherin, TGF-beta 2, ITGB1, RelA (p65 NF-kB subunit), TGF-beta 3, TGF-beta receptor type II, SLUG, IRAKM, MMP-2, ACTA2, TGF-beta, Fyn, AKT(PKB), MMP-28, Fibronectin, Vimentin, MMP-9, Tropomyosin-2"
8,Regulation of IGF family activity in colorectal cancer,30,1.06E-10,1.79E-08,1.06E-10,1.79E-08,17,"COX-2 (PTGS2), IL-1 beta, IBP2, Cystatin SN, IL-6, CEACAM5, Matrilysin (MMP-7), PLAUR (uPAR), PCSK5, IBP4, IBP6, IBP5, p53, MMP-9, IBP, PLAU (UPA), IBP3",7.71E-10,1.73E-07,16,"COX-2 (PTGS2), IL-1 beta, IBP2, Cystatin SN, IL-6, CEACAM5, Matrilysin (MMP-7), PLAUR (uPAR), PCSK5, IBP4, IBP6, IBP5, MMP-9, IBP, PLAU (UPA), IBP3"
9,ERBB family and HGF signaling in gastric cancer,54,1.11E-10,1.79E-08,1.11E-10,1.79E-08,23,"BAD, STAT3, HGF, COX-2 (PTGS2), PI3K cat class IA, Amphiregulin, Neuregulin 1, IL-8, Epiregulin, EGFR, TCF7L2 (TCF4), Neuropilin-1, ERK1/2, ErbB3, Beta-catenin, TGF-alpha, SOS, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), HGF receptor (Met), p27KIP1, ERK1 (MAPK3)",2.32E-04,2.46E-03,14,"HGF, COX-2 (PTGS2), PI3K cat class IA, Amphiregulin, Neuregulin 1, IL-8, Epiregulin, EGFR, TCF7L2 (TCF4), Neuropilin-1, TGF-alpha, SOS, AKT(PKB), HGF receptor (Met)"
10,Stromal-epithelial interaction in Prostate Cancer,42,1.56E-10,2.26E-08,1.56E-10,2.26E-08,20,"HGF, Keratin 17, Androgen receptor, TGF-beta 2, TGF-beta 3, TGF-beta receptor type II, MMP-2, Versican, IL-6, ACTA2, FGF2, SNAIL1, SMAD3, PDGF-R-alpha, HIC5, HGF receptor (Met), Fibronectin, Vimentin, MMP-9, PDGF-R-beta",6.16E-09,8.82E-07,18,"HGF, Keratin 17, Androgen receptor, TGF-beta 2, TGF-beta 3, TGF-beta receptor type II, MMP-2, Versican, IL-6, ACTA2, FGF2, PDGF-R-alpha, HIC5, HGF receptor (Met), Fibronectin, Vimentin, MMP-9, PDGF-R-beta"
