Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_int_061520_genelist,,,,up_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
1,Breast cancer (general schema),41,2.198E-08,2.101E-05,2.198E-08,2.101E-05,10,"PTHR1, ESR1 (nuclear), Androgen receptor, ESR1 (membrane), TGF-beta, PR (membrane), GHR, Prolactin receptor, PR (nuclear), ErbB3",2.216E-07,1.890E-04,9,"PTHR1, ESR1 (nuclear), Androgen receptor, ESR1 (membrane), TGF-beta, PR (membrane), GHR, Prolactin receptor, PR (nuclear)",
2,Regulation of IGF family activity in colorectal cancer,30,4.373E-05,1.297E-02,5.365E-05,1.932E-02,6,"IBP4, IBP5, CEACAM5, IBP2, Cystatin SN, IBP",4.373E-05,1.297E-02,6,"IBP4, IBP5, CEACAM5, IBP2, Cystatin SN, IBP",
3,G protein-coupled receptors signaling in lung cancer,76,4.562E-05,1.297E-02,6.061E-05,1.932E-02,9,"VIP receptor 1, IL8RA, PGE2R3, Galpha(i)-specific peptide GPCRs, GRP-R, BDKRB2, CCR5, VIP receptor 2, Galpha(q)-specific peptide GPCRs",4.562E-05,1.297E-02,9,"VIP receptor 1, IL8RA, PGE2R3, Galpha(i)-specific peptide GPCRs, GRP-R, BDKRB2, CCR5, VIP receptor 2, Galpha(q)-specific peptide GPCRs",
4,Action of lithium on synaptic transmission and autophagy,35,9.920E-04,1.755E-01,1.168E-03,1.755E-01,5,"P2X2, PP2A regulatory, Adenylate cyclase, Adenylate cyclase type V, Adenylate cyclase type II",9.920E-04,1.824E-01,5,"P2X2, PP2A regulatory, Adenylate cyclase, Adenylate cyclase type V, Adenylate cyclase type II",
5,Dysregulation of direct glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes  ,53,1.102E-03,1.755E-01,1.330E-03,1.755E-01,6,"Kir6.2, PC2, MaxiK alpha subunit, CACNA1H, SUR1, CACNA1D",1.102E-03,1.824E-01,6,"Kir6.2, PC2, MaxiK alpha subunit, CACNA1H, SUR1, CACNA1D",
6,Pro-oncogenic action of Androgen receptor in breast cancer,35,1.168E-03,1.755E-01,1.168E-03,1.755E-01,5,"Androgen receptor, FASN, HNF3-alpha, PIP, ErbB3",4.236E-02,6.339E-01,3,"Androgen receptor, HNF3-alpha, PIP",
7,Regulation of Adenylate cyclase and IMPA1 by lithium in major depressive disorder,22,1.283E-03,1.755E-01,1.469E-03,1.755E-01,4,"P2X2, Adenylate cyclase, Adenylate cyclase type II, Alpha-2A adrenergic receptor",1.283E-03,1.824E-01,4,"P2X2, Adenylate cyclase, Adenylate cyclase type II, Alpha-2A adrenergic receptor",
8,PR action in breast cancer: stimulation of cell growth and proliferation,36,1.332E-03,1.755E-01,1.332E-03,1.755E-01,5,"ESR1 (nuclear), ESR1 (membrane), PR (membrane), PR (nuclear), ErbB3",8.097E-03,3.453E-01,4,"ESR1 (nuclear), ESR1 (membrane), PR (membrane), PR (nuclear)",
9,Putative pathways of hormone action in neurofibromatosis type 1,25,2.105E-03,2.304E-01,2.406E-03,2.304E-01,4,"ESR1 (nuclear), ESR1 (membrane), GHR, PR (nuclear)",2.105E-03,2.565E-01,4,"ESR1 (nuclear), ESR1 (membrane), GHR, PR (nuclear)",
10,Regulation of metabolism_Bile acids regulation of glucose and lipid metabolism via FXR,41,2.410E-03,2.304E-01,2.410E-03,2.304E-01,5,"FASN, ACACB, HNF3-alpha, HNF3, F16P",1.277E-02,4.241E-01,4,"ACACB, HNF3-alpha, HNF3, F16P",
11,Signal transduction_Modulation of calcium and potassium channels by Adenosine A1 receptor,43,2.545E-03,2.591E-01,2.982E-03,2.591E-01,5,"Kir6.2, MaxiK alpha subunit, SK2, Adenylate cyclase, SUR1",2.545E-03,2.714E-01,5,"Kir6.2, MaxiK alpha subunit, SK2, Adenylate cyclase, SUR1",
12,Regulation of relaxation of airway smooth muscle cells,45,3.116E-03,2.741E-01,3.646E-03,2.741E-01,5,"VIP receptor 1, PGE2R3, VIP receptor 2, Adenylate cyclase type IV, Adenylate cyclase type II",3.116E-03,2.927E-01,5,"VIP receptor 1, PGE2R3, VIP receptor 2, Adenylate cyclase type IV, Adenylate cyclase type II",
13,TMPRSS2-ERG fusion in Prostate Cancer,46,3.434E-03,2.741E-01,4.014E-03,2.741E-01,5,"Androgen receptor, PEP-19, ERG, DSCAM, IGSF5 (JAM4)",3.434E-03,2.927E-01,5,"Androgen receptor, PEP-19, ERG, DSCAM, IGSF5 (JAM4)",
14,Neurophysiological process_Dopamine D2 receptor signaling in CNS,47,3.774E-03,2.810E-01,4.409E-03,2.810E-01,5,"TY3H, Kir3.1, Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",3.774E-03,2.927E-01,5,"TY3H, Kir3.1, Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
15,EGFR signaling in Prostate Cancer,46,4.014E-03,2.741E-01,4.014E-03,2.741E-01,5,"Androgen receptor, Tuberin, p27KIP1, N-Ras, ErbB3",6.459E-01,8.219E-01,1,Androgen receptor,
16,Retinoic acid maintains mucocilliary differentiation and mucins expression in normal and asthmatic airway epithelium,30,4.180E-03,2.845E-01,4.761E-03,2.845E-01,4,"Mucin 5B, Mucin 2, Mucin 5AC, Mucin 6",4.180E-03,2.971E-01,4,"Mucin 5B, Mucin 2, Mucin 5AC, Mucin 6",
17,Immune response_IL-4-responsive genes in type 2 immunity,70,4.597E-03,2.989E-01,5.485E-03,2.989E-01,6,"IL-19, GATA-3, TFF3, Mucin 5AC, IGHG4, IGHE",4.597E-03,3.017E-01,6,"IL-19, GATA-3, TFF3, Mucin 5AC, IGHG4, IGHE",
18,Proteases and EGFR-activated mucin production in airway epithelium in COPD,50,5.759E-03,2.989E-01,5.759E-03,2.989E-01,5,"PTEN, Mucin 5B, Mucin 5AC, Bcl-2, ErbB3",9.992E-02,7.672E-01,3,"Mucin 5B, Mucin 5AC, Bcl-2",
19,Development_Self-renewal and pluripotency maintenance of human embryonic stem cells,33,5.925E-03,2.989E-01,6.735E-03,2.989E-01,4,"SOX2, PBX1, CG alpha, LIN-28",5.925E-03,3.218E-01,4,"SOX2, PBX1, CG alpha, LIN-28",
20,LRRK2 in neurons in Parkinson's disease,33,5.925E-03,2.989E-01,6.735E-03,2.989E-01,4,"eEF1A2, Tau (MAPT), eEF1A, LRRK2",5.925E-03,3.218E-01,4,"eEF1A2, Tau (MAPT), eEF1A, LRRK2",
21,Putative pathways for stimulation of fat cell differentiation by Bisphenol A,32,6.026E-03,2.989E-01,6.026E-03,2.989E-01,4,"ESR1 (nuclear), Androgen receptor, FASN, C/EBPalpha",3.369E-02,6.115E-01,3,"ESR1 (nuclear), Androgen receptor, C/EBPalpha",
22,Neurophysiological process_Regulation of intrinsic membrane properties and excitability of cortical pyramidal neurons,74,6.035E-03,2.989E-01,7.181E-03,2.989E-01,6,"MaxiK alpha subunit, SK2, Kir2.2, Adenylate cyclase, CACNA1D, Alpha-2A adrenergic receptor",6.035E-03,3.218E-01,6,"MaxiK alpha subunit, SK2, Kir2.2, Adenylate cyclase, CACNA1D, Alpha-2A adrenergic receptor",
23,Development_Schema: Methods of somatic cell reprogramming into induced pluripotent stem cells,6,6.988E-03,2.989E-01,7.504E-03,2.989E-01,2,"SOX2, LIN-28",6.988E-03,3.288E-01,2,"SOX2, LIN-28",
24,Neurophysiological process_Thyroliberin in cell hyperpolarization and excitability,35,7.323E-03,3.057E-01,8.313E-03,3.057E-01,4,"Kir3.1, MaxiK alpha subunit, Thyroliberin, KCNH7",7.323E-03,3.288E-01,4,"Kir3.1, MaxiK alpha subunit, Thyroliberin, KCNH7",
25,Development_Extraembryonic differentiation of embryonic stem cells,35,7.323E-03,3.057E-01,8.313E-03,3.057E-01,4,"SOX2, GATA-3, MSX-2, HNF3-alpha",7.323E-03,3.288E-01,4,"SOX2, GATA-3, MSX-2, HNF3-alpha",
26,"Development_Insulin, IGF-1 and TNF-alpha in brown adipocyte differentiation",53,7.376E-03,2.989E-01,7.376E-03,2.989E-01,5,"Adiponectin, FASN, p27KIP1, Perilipin, C/EBPalpha",1.139E-01,7.672E-01,3,"Adiponectin, Perilipin, C/EBPalpha",
27,Higher ESR1 / ESR2 ratio in breast cancer,36,9.186E-03,3.253E-01,9.186E-03,3.253E-01,4,"ESR1 (nuclear), PTEN, p27KIP1, ErbB3",5.561E-01,8.219E-01,1,ESR1 (nuclear),
28,Tinnitus-associated changes in auditory pathway ,82,9.852E-03,3.320E-01,1.166E-02,3.320E-01,6,"GABA-A receptor gamma-2 subunit, mGluR4A, GRIK4, NR1, GABA-A receptor delta subunit, GABA-A receptor gamma-3 subunit",9.852E-03,4.002E-01,6,"GABA-A receptor gamma-2 subunit, mGluR4A, GRIK4, NR1, GABA-A receptor delta subunit, GABA-A receptor gamma-3 subunit",
29,Main pathways of Schwann cells transformation in neurofibromatosis type 1 ,80,1.039E-02,3.310E-01,1.039E-02,3.310E-01,6,"PTEN, Tuberin, N-Ras, B-FABP, Bcl-2, ErbB3",5.352E-01,8.219E-01,2,"B-FABP, Bcl-2",
30,CCL2 in Prostate Cancer,20,1.040E-02,3.310E-01,1.040E-02,3.310E-01,3,"PTEN, Tuberin, PI3K reg class IB (p101)",3.629E-01,8.219E-01,1,PI3K reg class IB (p101),
31,Signal transduction_Leptin signaling in non-neuronal cells,58,1.073E-02,3.310E-01,1.073E-02,3.310E-01,5,"Kir6.2, PTEN, ACACB, Bcl-2, SUR1",3.999E-02,6.339E-01,4,"Kir6.2, ACACB, Bcl-2, SUR1",
32,Putative role of Estrogen receptor and Androgen receptor signaling in progression of lung cancer,58,1.073E-02,3.310E-01,1.073E-02,3.310E-01,5,"ESR1 (nuclear), Androgen receptor, ESR1 (membrane), Tuberin, Bcl-2",3.999E-02,6.339E-01,4,"ESR1 (nuclear), Androgen receptor, ESR1 (membrane), Bcl-2",
33,Autocrine Somatotropin signaling in breast cancer,39,1.073E-02,3.320E-01,1.216E-02,3.320E-01,4,"TFF3, CISH, Bcl-2, GHR",1.073E-02,4.006E-01,4,"TFF3, CISH, Bcl-2, GHR",
34,Role of ZNF202 in regulation of expression of genes involved in atherosclerosis,21,1.080E-02,3.320E-01,1.193E-02,3.320E-01,3,"ABCG1, IA-1, HDL proteins",1.080E-02,4.006E-01,3,"ABCG1, IA-1, HDL proteins",
35,Th2-cytokines-induced mucous metaplasia in asthma,40,1.172E-02,3.523E-01,1.327E-02,3.523E-01,4,"PGE2R3, HAG-2, Mucin 5AC, PDEF",1.172E-02,4.167E-01,4,"PGE2R3, HAG-2, Mucin 5AC, PDEF",
36,Cell cycle progression in Prostate Cancer,39,1.216E-02,3.320E-01,1.216E-02,3.320E-01,4,"Androgen receptor, Tuberin, p27KIP1, Prolactin receptor",2.154E-01,8.219E-01,2,"Androgen receptor, Prolactin receptor",
