gene	log2FC
PTEN	2.12977819166667
LCK	-0.919900083333334
FASN	1.638187625
ERBB3	0.949251191666667
INPP4B	0.576615508333334
PCNA	-0.459755925
BECN1	0.207914291666667
MRE11A	0.179183025
SMAD3	-0.283957
STAT3	-0.551857433333333
MAPK1	-0.558585741666667
NF2	-0.528100508333333
CTNNB1	-1.48826015
CASP8	-0.465505241666667
SNAI1	-0.611640725
MYH11	-0.479903266666667
BAD	-0.275224883333333
ANXA7	0.306407525
YBX1	-0.303628758333333
TP53	-0.723842283333333
ACTB	-0.6484999
NRAS	0.226342125
ARAF	0.373301525
DVL3	-0.304168541666667
TSC2	0.396447075
PDK1	1.43022281355609
CDKN1B	0.45350399480143
ISG15	-2.33749346267645
GABRD	2.43770069288595
PLCH2	2.39496077312017
AL139246.1	3.33542587435899
AL139246.4	2.15204739903453
HES5	-4.43733459198023
TNFRSF14-AS1	-2.18424088092276
MMEL1	3.71109175943903
AL590438.1	-6.26760252399228
SMIM1	2.36165425849856
HES2	-3.00024215605219
AL031848.1	3.19839947295348
TNFRSF9	-4.01759145096645
PIK3CD	-2.84402602382274
PIK3CD-AS2	-3.47840799209451
C1orf127	2.71182651411925
LINC01647	2.4743644252704
FBXO2	-2.21597686563046
TNFRSF8	-2.04396841835824
TNFRSF1B	-2.81559199138772
AC254633.1	-3.37772799008233
FBLIM1	-3.01447826910429
SRARP	3.5958288058085
CLCNKB	-2.29220299907045
EPHA2	-2.52221484824036
AL451042.1	-2.46537835235389
LINC01783	-4.01987477804431
ESPNP	-2.34687187834639
BX284668.2	-3.78788911120674
BX284668.4	-3.19307267034075
MFAP2	-2.53464959949526
PADI1	-2.3857442926636
PADI3	2.24559483383008
IGSF21	4.17027872969386
AKR7A3	3.81522224504985
PLA2G2A	3.40200163199024
CDA	-3.27377108512719
KIF17	-2.34978013075424
SH2D5	-2.37320916060251
ALPL	-3.67715306308469
EPHA8	3.27969112954627
EPHB2	-2.89218104720755
LACTBL1	-2.13718462232475
HTR1D	-2.28648239405643
IL22RA1	-3.31010044911043
RUNX3	-3.6708314458424
AL445471.1	-4.28675488568461
LIN28A	2.56937525577304
GPR3	-2.05964833820335
IFI6	-2.79443663541737
AL445490.1	-2.28619813065069
THEMIS2	-2.58521839182399
RAB42	-5.99019715476993
TMEM200B	-4.07459594310176
MATN1	-2.17700286828414
NKAIN1	3.74164185416441
AC114488.1	-2.52997172178657
TINAGL1	-2.31131968727061
COL16A1	-3.98600350083138
AL136115.1	2.16089720737962
FNDC5	-3.10037533886596
AZIN2	-2.00566381949162
GJB5	-2.26639725181328
GJB4	-2.29390082354529
GJB3	-3.85376223054322
TEKT2	-2.04291797065848
COL8A2	-5.36396300744167
GRIK3	3.14618746012459
FHL3	-2.25918561848516
RHBDL2	-2.60205203424024
OXCT2P1	-2.04598112575656
NT5C1A	-2.6794089443545
HPCAL4	-2.04649817209371
RIMKLA	2.43901287763045
P3H1	-2.09634932598612
KLF17	-2.59444965326508
MRPS17P1	-2.19480912136491
CYP4Z2P	5.22013219118118
AL731892.1	2.74716310478325
PDZK1IP1	-3.83029134254962
DMRTA2	-3.97617359866905
TTC39A	2.58173487849667
TTC39A-AS1	4.09613776293881
GPX7	-4.80070693030489
SHISAL2A	-2.65597333070125
PODN	-2.85296547793041
GLIS1	-3.49508869936802
DIO1	5.93664368431026
LDLRAD1	3.17867538246675
ACOT11	-2.27667682065366
TTC22	-3.11854642979363
PCSK9	-6.19866535291141
AL603840.1	-3.81686395561772
AC119674.1	-2.5797326583001
FYB2	3.7912222212811
AC093425.1	-3.16880203424344
AC093424.1	-2.68079394560389
KANK4	-4.34275980366976
ROR1	-4.43477372177223
ROR1-AS1	-6.19156328065059
CACHD1	-3.81006474807262
WLS	-2.08991232177814
HHLA3	-2.05740679901893
PTGER3	6.53435883001543
AL031429.2	5.5382365575108
NEGR1	-2.65341115617568
AL583808.1	6.34339273783905
LHX8	3.40232040218906
ST6GALNAC3	-2.70476511744251
ST6GALNAC5	-3.53580170201499
AL035409.1	-2.95848183394247
AK5	-4.1523846013727
NEXN	-4.16625648656808
GIPC2	-6.49236339708588
AC096531.2	-4.91922482739883
PTGFR	-7.65557858466621
IFI44L	-4.3903499430971
IFI44	-3.20732097280889
PSAT1P3	-2.21442821250651
ADGRL2	-2.60846286585125
ST13P20	-2.64829072375152
AL359504.1	-2.23904404651477
CLCA2	4.04534235532544
GBP5	-4.19994224758274
GBP6	-4.00147518825668
GBP1P1	-4.0821575174896
LRRC8C-DT	-2.9289840004346
LRRC8C	-2.34695750314418
LINC02609	-3.24366971339905
LINC01763	-2.54492653582702
AC091614.1	-2.46744051400195
HFM1	-4.84621458082847
BRDT	2.83303620669412
GFI1	-2.65357032550655
AC097059.1	-3.1256083080953
F3	-3.22188028501918
AC092802.2	-2.19000867542704
LINC02607	-3.48906169419282
DPYD	-4.03003794903173
AC114878.2	-2.66219964748883
BX005019.1	-3.8331137603043
LINC01776	-4.23390263793077
PLPPR4	-2.08619358277211
S1PR1	-3.34093727368075
OLFM3	-4.26817250957226
COL11A1	-2.20071209419762
NTNG1	-2.66269389653874
C1orf194	2.28469559285097
KIAA1324	5.01538419035629
AL158847.1	4.21600795627815
EPS8L3	-3.21775289121666
CSF1	-3.35218602006521
ALX3	-3.23965259906787
CHI3L2	-3.83893248756114
PIFO	2.43900107765097
KCND3	4.6384043782133
LINC01750	4.36812256808427
TAFA3	-2.92037758506529
LINC01356	-2.3313049292673
LINC01357	-4.14339378414292
SLC16A1	-2.2062880663639
SLC16A1-AS1	-2.64256716786534
PTPN22	-3.00193773576427
DENND2C	-2.00365978856368
TSPAN2	-4.44694004422713
NGF	-4.82169684374749
MAB21L3	-2.38370211821998
LINC01762	3.01507218735033
TBX15	-4.25116216648008
HMGCS2	6.35435084055564
H3P4	-3.29879320392872
PDZK1	4.69471259731498
AC241585.1	-2.09891504676043
SV2A	-2.9520544656659
HORMAD1	-3.9688393122369
CTSS	-2.82576747157525
AL356292.1	-2.00579737854873
ANXA9	2.99568183155796
BNIPL	2.50453335374775
SELENBP1	2.07889276279654
CELF3	2.36732083592938
RORC	2.01204297069189
AL589986.2	-3.05035303593611
HRNR	-2.15744267919953
KPRP	2.7074454875087
SPRR2D	-2.89431124382433
SPRR2A	-4.10023282174641
S100A3	-3.82741905622561
S100A2	-4.50441968010408
CREB3L4	2.50732608773886
SHE	-2.10839245348483
TDRD10	-2.8282015249109
SYT11	-2.43926958165082
C1orf61	-2.54562389576282
NES	-2.1071919900026
KIRREL1	-4.97469652764948
KIRREL1-IT1	-4.86983762005803
CD1D	-2.95966030060981
IFI16	-5.80478043856016
AIM2	-5.54780916949333
FCRL6	-2.05665702155639
LINC01133	-5.51314857847982
AL121987.1	-3.67018744201063
ATP1A4	2.87460503809178
VANGL2	-2.49793330267939
ADAMTS4	-2.42673661907709
FCGR2A	-3.80290234053331
OLFML2B	-3.93561649277725
DDR2	-3.87687464519067
RGS4	-2.5954483148395
RGS5	-2.04911900318657
PBX1	2.174735581595
PBX1-AS1	3.24220433009693
AL357568.1	2.22464831260496
ILDR2	-2.31589518183531
AL031733.1	-3.26954016212503
GPR161	-2.02608006858274
DPT	-4.7283691902425
LINC00626	-4.53775918482246
AL021068.1	2.46482683596116
PRRX1	-4.83226704686916
FMO3	-5.23968776958018
FMO6P	-7.26319490062572
FMO2	-3.7764534829109
DNM3OS	-5.772462984702
TNFSF18	-3.76762766097408
AL136114.1	2.84880723049609
SEC16B	-2.13357547120899
RASAL2-AS1	-2.01515025334258
SETP10	2.5734236327837
RGS16	2.69668014754148
LAMC1	-2.69125918648666
LAMC1-AS1	-2.18936974017882
LAMC2	-4.44967067719225
COLGALT2	-2.57787029674769
AL133383.3	-4.49018411084273
HMCN1	-4.80318624043748
PTGS2	-7.83625495594467
PACERR	-5.69838612887045
PLA2G4A	-2.67807857814672
BRINP3	6.19027733321389
LINC01351	3.94637452281877
RGS2	-2.91829778686883
B3GALT2	-4.89967188371947
CFHR1	-4.8971506734075
CFHR5	3.05473116302462
ATP6V1G3	-5.14624456171468
AL157402.2	-5.9681817980038
LINC00862	-2.02772984136684
AC104461.1	-3.48733782517248
KIF21B	-2.12938295711337
AL358473.1	-2.50243445296084
IGFN1	-2.17444805127583
GPR37L1	2.35319515315511
LGR6	-3.5845314735258
AC098934.4	2.98769380730597
MGAT4EP	2.95331316114143
CHI3L1	-3.58263377726672
LINC01136	2.22629254562688
FMOD	8.51979428533721
KRT8P29	2.02185414080451
CBX1P3	3.28515169206528
ETNK2	2.30473662304554
