"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"1","CC","GO:0031012","extracellular matrix",133,1.14089752521114e-45,5.75012352706414e-43,137,8.9937424394613e-39,3.27821911918364e-36,0,0,137,133
"2","BP","GO:0030198","extracellular matrix organization",105,6.39602104125307e-40,3.41803364444564e-36,106,1.02880483682961e-37,1.19106205680959e-34,0,0,106,105
"3","BP","GO:0043062","extracellular structure organization",108,1.03359071591728e-35,2.76175439293097e-32,106,1.39786733261569e-37,1.4160396079397e-34,0,0,106,108
"4","BP","GO:0001501","skeletal system development",96,4.17187654601077e-20,7.43150275396051e-17,104,8.13583344599167e-22,2.27354462918333e-19,0,1,104,95
"5","MF","GO:0070011","peptidase activity, acting on L-amino acid peptides",78,2.52770211242005e-10,2.20471795361083e-08,83,1.06897745464114e-05,0.000671096143844863,0,0,83,78
"6","BP","GO:0001503","ossification",83,2.50526992031673e-19,3.34704061354315e-16,81,1.75060187985289e-18,3.01848460304848e-16,0,0,81,83
"7","MF","GO:0004175","endopeptidase activity",65,2.94435603698821e-14,7.70439829678582e-12,73,8.85001581321339e-09,1.54383491013377e-06,1,2,72,63
"8","BP","GO:0002521","leukocyte differentiation",72,6.3894302659163e-09,5.69085255684278e-07,73,1.70324900926974e-08,7.50169831809089e-07,0,4,73,68
"9","BP","GO:0007159","leukocyte cell-cell adhesion",57,8.12498270277772e-10,1.17351101523363e-07,73,4.86878636906487e-08,1.8969523226664e-06,0,4,73,53
"10","BP","GO:0002694","regulation of leukocyte activation",76,2.8794278668694e-10,4.96376210340324e-08,72,1.40935652578307e-08,6.27550644893837e-07,0,0,72,76
"11","BP","GO:0045785","positive regulation of cell adhesion",68,8.5763479624235e-12,2.57347915620229e-09,71,4.08646590337292e-12,3.21524917801241e-10,0,1,71,67
"12","BP","GO:0048568","embryonic organ development",71,1.02756372244242e-11,2.89015817512226e-09,71,4.43180631020102e-10,2.68025042160502e-08,0,0,71,71
"13","BP","GO:0043410","positive regulation of MAPK cascade",65,2.51318665415377e-06,7.94702336082707e-05,69,8.62266342038393e-07,2.50455983544784e-05,0,0,69,65
"14","BP","GO:0050673","epithelial cell proliferation",73,1.00833527328223e-12,6.73567962552531e-10,68,1.13702514324577e-12,9.49905709646259e-11,0,0,68,73
"15","BP","GO:0048732","gland development",65,5.51529866070377e-09,5.08168207634499e-07,68,6.68662185077997e-09,3.150486906911e-07,0,0,68,65
"16","BP","GO:0007389","pattern specification process",61,3.99681705548552e-08,2.32162938527333e-06,68,2.17197252883264e-08,9.26403019629873e-07,0,0,68,61
"17","BP","GO:0052547","regulation of peptidase activity",59,7.29380971628578e-08,3.82138422782659e-06,67,2.04399411143022e-09,1.0686791740433e-07,4,4,63,55
"18","BP","GO:0031349","positive regulation of defense response",75,2.59212346668542e-09,2.77046156119337e-07,67,2.51490691878463e-09,1.26588848736731e-07,4,1,63,74
"19","BP","GO:0048667","cell morphogenesis involved in neuron differentiation",65,4.09182866565763e-06,0.000116934397803606,67,8.23469758564096e-06,0.000186913241034148,0,1,67,64
"20","BP","GO:0002683","negative regulation of immune system process",67,1.04840635012849e-08,8.36221423147264e-07,66,8.87234778567963e-10,4.99315977453563e-08,0,1,66,66
"21","BP","GO:0070486","leukocyte aggregation",4,0.00936957522356499,0.0490892254850307,66,5.28426307105398e-07,1.63447821655005e-05,1,1,65,3
"22","BP","GO:0098542","defense response to other organism",62,5.03726712391304e-06,0.000138758533557687,66,6.05451708463259e-06,0.000143039200375061,4,0,62,62
"23","CC","GO:0098797","plasma membrane protein complex",59,5.90374378070685e-06,0.000175028639145662,66,6.55375279392862e-05,0.00149196165211052,3,2,63,57
"24","BP","GO:0050900","leukocyte migration",64,5.58543946214791e-07,2.22750660341182e-05,65,7.34663915588427e-10,4.22249362141969e-08,2,2,63,62
"25","BP","GO:0042110","T cell activation",62,6.20016431284293e-07,2.45434652502464e-05,65,5.76703492302157e-07,1.76360952339749e-05,2,0,63,62
"26","BP","GO:0050878","regulation of body fluid levels",61,4.36048635734911e-05,0.000801879843302458,64,6.90756395128578e-05,0.00125158371540135,1,1,63,60
"27","BP","GO:0022604","regulation of cell morphogenesis",48,0.00223749780684165,0.0167467622965852,64,0.00179189865009424,0.0212713518352433,0,1,64,47
"28","BP","GO:0051249","regulation of lymphocyte activation",62,1.36912573013063e-08,9.62711566028698e-07,63,1.46806216359736e-07,5.10607136350316e-06,1,2,62,60
"29","BP","GO:0001655","urogenital system development",62,1.58344235585549e-12,9.40212883299084e-10,62,2.86951372124998e-11,2.07629957671429e-09,1,0,61,62
"30","BP","GO:0002237","response to molecule of bacterial origin",59,2.79719508686956e-12,1.35892823129372e-09,61,2.10782093930228e-11,1.56713886312332e-09,0,2,61,57
"31","BP","GO:0050727","regulation of inflammatory response",69,1.8766530234527e-08,1.26947262751028e-06,61,4.26072612506276e-11,3.00251445928268e-09,1,3,60,66
"32","BP","GO:0052548","regulation of endopeptidase activity",53,9.90367796327454e-07,3.57603074565805e-05,61,4.06479958778201e-08,1.63074800263452e-06,0,3,61,50
