"","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"1","hsa04151","PI3K-Akt signaling pathway",62,6.64220897090522e-10,4.86541807118808e-08,74,1.52385273543139e-14,1.00386365886607e-12,1,0,73,62
"2","hsa04510","Focal adhesion",48,1.0604148837785e-12,1.03567186982366e-10,57,5.75624458242689e-16,1.46549439250521e-13,0,0,57,48
"3","hsa05205","Proteoglycans in cancer",39,1.61479754070598e-07,4.30123344933503e-06,45,1.53447713945759e-09,6.7516990220895e-08,0,2,45,37
"4","hsa04060","Cytokine-cytokine receptor interaction",50,7.70167951429198e-08,2.29861848443057e-06,40,3.41033545090912e-05,0.000600049172778117,1,2,39,48
"5","hsa05206","MicroRNAs in cancer",39,0.000354735298735417,0.00433072677206155,39,0.000362912425190466,0.00477985344645693,0,0,39,39
"6","hsa05146","Amoebiasis",35,1.08594696233563e-14,3.18182459964340e-12,38,8.73562689912323e-15,7.71827046719409e-13,1,0,37,35
"7","hsa04512","ECM-receptor interaction",31,2.13649335713978e-13,3.12996276820977e-11,35,1.96694229847698e-15,2.63788990650937e-13,0,0,35,31
"8","hsa04015","Rap1 signaling pathway",31,0.000470100742317161,0.00510146361107142,35,0.000124454618570333,0.00193096058712761,0,0,35,31
"9","hsa05166","Human T-cell leukemia virus 1 infection",26,0.019607585720486,0.0873138411007235,34,0.00567072203278151,0.035114644540998,0,0,34,26
"10","hsa04514","Cell adhesion molecules (CAMs)",33,1.05396653253285e-08,6.17624388064249e-07,33,7.26168767798004e-08,2.39635414800432e-06,0,3,33,30
"11","hsa04145","Phagosome",32,7.84511428133299e-08,2.29861848443057e-06,33,2.49297877676236e-07,6.58144313314679e-06,1,0,32,32
"12","hsa04810","Regulation of actin cytoskeleton",25,0.0259083516742546,0.105432597785508,31,0.0024852559224068,0.0216594645681077,0,0,31,25
"13","hsa04014","Ras signaling pathway",30,0.00368185993022191,0.0215756991911004,31,0.00614282765134499,0.0371237853632504,0,0,31,30
"14","hsa04020","Calcium signaling pathway",29,0.000398359308409839,0.00466877109456331,28,0.00150168524349087,0.015744454381053,0,1,28,28
"15","hsa05222","Small cell lung cancer",22,1.7177472556834e-06,3.35533297276825e-05,26,1.54676077951132e-08,5.83349612393036e-07,0,0,26,22
"16","hsa05164","Influenza A",25,0.00106844716421731,0.00823828997672818,26,0.00364410171970727,0.0279490510395461,0,0,26,25
"17","hsa05152","Tuberculosis",25,0.00230359544983974,0.0160703206381677,26,0.0042699416098762,0.0317611905361491,0,0,26,25
"18","hsa04974","Protein digestion and absorption",25,4.50860822030365e-08,1.65127776068621e-06,25,1.17319709771404e-07,3.44137243224463e-06,1,0,24,25
"19","hsa04668","TNF signaling pathway",26,4.63865597029018e-07,1.0454816917654e-05,25,6.785095646241e-06,0.000127939766980112,1,0,24,26
"20","hsa05145","Toxoplasmosis",23,1.18210741762318e-05,0.000216473420852245,23,6.80147265282521e-05,0.00112165163200029,0,0,23,23
"21","hsa05323","Rheumatoid arthritis",25,1.35313030796447e-08,6.60778633722647e-07,22,5.12065173796847e-06,0.00010398347949836,0,3,22,22
"22","hsa05133","Pertussis",21,2.68809411442334e-07,6.56342979605032e-06,21,2.40618378352278e-06,5.77468128706293e-05,0,1,21,20
