"","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"1","R-HSA-1474228","Degradation of the extracellular matrix",53,8.14842700995295e-24,4.04161979693666e-21,32,1.27341379191374e-14,5.04951636060014e-12,0,0,32,53
"2","R-HSA-216083","Integrin cell surface interactions",31,6.98848602387041e-14,1.15542968927991e-11,32,2.04793615566697e-13,5.40084643674277e-11,0,0,32,31
"3","R-HSA-1650814","Collagen biosynthesis and modifying enzymes",31,3.27315063721754e-17,8.11741358029949e-15,31,7.15453629823127e-16,5.26911847487099e-13,0,0,31,31
"4","R-HSA-3000178","ECM proteoglycans",29,1.65267916600571e-13,2.34208247525381e-11,30,2.14799034340014e-13,4.24822399480718e-11,0,0,30,29
"5","R-HSA-1442490","Collagen degradation",26,3.41317421073512e-13,4.23233602131155e-11,26,5.03886470097995e-12,5.69390978810702e-10,0,0,26,26
"6","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures",29,1.38785680462353e-16,2.75350790037309e-14,23,9.93429486098319e-13,1.57160284786073e-10,0,0,23,29
"7","R-HSA-3000171","Non-integrin membrane-ECM interactions",24,2.6071704499647e-12,2.58631308636498e-10,21,2.04679352839054e-12,2.69837374666793e-10,0,0,21,24
"8","R-HSA-2129379","Molecules associated with elastic fibres",17,3.34484948307149e-10,2.55237745169763e-08,17,5.03020797263501e-09,4.42099297837117e-07,0,0,17,17
"9","R-HSA-909733","Interferon alpha/beta signaling",17,1.54929950801544e-05,0.000548894682839755,17,4.70889566342907e-05,0.00265705246325276,0,0,17,17
"10","R-HSA-877300","Interferon gamma signaling",17,0.000538783793562831,0.0102783369848909,17,0.00107629183229753,0.0416960405129825,0,0,17,17
"11","R-HSA-3000157","Laminin interactions",15,1.3573159448292e-09,8.9763827818038e-08,16,1.97749763053472e-09,1.95525057256063e-07,0,0,16,15
"12","R-HSA-186797","Signaling by PDGF",15,2.52762424188986e-05,0.000811012234916594,15,5.97618115045641e-08,4.7271482578326e-06,0,0,15,15
"13","R-HSA-5173214","O-glycosylation of TSR domain-containing proteins",14,5.53628391865e-07,2.7459968236504e-05,14,6.99126080447043e-06,0.000460736047500632,0,0,14,14
"14","R-HSA-419037","NCAM1 interactions",14,2.24205416631172e-06,9.67007709991836e-05,14,1.74561288530672e-05,0.00106158369319731,0,0,14,14
"15","R-HSA-202733","Cell surface interactions at the vascular wall",22,0.000726588261105418,0.0132817936167277,13,0.000928227421716934,0.0379237017071274,0,0,13,22
"16","R-HSA-1566948","Elastic fibre formation",20,1.27848765496436e-11,1.15296341247695e-09,11,2.92785801855346e-07,2.10537422893342e-05,0,0,11,20
"17","R-HSA-3000170","Syndecan interactions",9,0.000150187355904264,0.00331079682348956,10,0.000185616251566899,0.00913527270679471,0,0,10,9
"18","R-HSA-1474244","Extracellular matrix organization",104,3.89928385024351e-42,3.86808957944156e-39,8,8.37511132664157e-05,0.00440692122476694,0,0,8,104
"19","R-HSA-2214320","Anchoring fibril formation",8,5.86804946747809e-06,0.000232844202869531,8,8.37511132664157e-05,0.00440692122476694,0,0,8,8
"20","R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol",7,4.01099805138631e-05,0.00113683144770721,7,0.000488985002363228,0.0225007448074773,0,0,7,7
"21","R-HSA-193807","Synthesis of bile acids and bile salts via 27-hydroxycholesterol",7,7.00716701794498e-05,0.00187867829237876,7,0.000759140928426181,0.0328219702458247,0,0,7,7
"22","R-HSA-5602498","MyD88 deficiency (TLR2/4)",6,3.87812884390654e-05,0.00113150112151626,6,0.0010837617060123,0.0400209593495718,0,0,6,6
"23","R-HSA-1236977","Endosomal/Vacuolar pathway",6,7.95940446981569e-05,0.00197393230851429,6,0.0010837617060123,0.0400209593495718,0,0,6,6
"24","R-HSA-5603041","IRAK4 deficiency (TLR2/4)",6,7.95940446981569e-05,0.00197393230851429,6,0.0010837617060123,0.0400209593495718,0,0,6,6
