Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0003008~system process	139	9.43652410047522	1.6666623087770743E-10	79473, 8419, 374462, 5733, 390445, 219487, 4897, 81193, 489, 150, 84530, 79339, 59344, 480, 40, 885, 56914, 1280, 283310, 152789, 1428, 3488, 9254, 1081, 388551, 391191, 9543, 477, 158131, 27129, 4886, 3000, 11281, 11280, 3494, 1811, 51761, 2844, 4693, 23316, 6010, 4935, 6752, 2625, 9369, 9368, 3212, 390081, 18, 4583, 11036, 390075, 108, 283159, 390072, 6004, 2173, 9378, 596, 27092, 65266, 816, 9370, 23620, 282763, 25769, 7433, 1472, 1470, 259293, 132112, 8435, 7054, 84525, 6101, 7021, 56203, 2056, 255061, 786, 431707, 11255, 111, 150677, 3781, 3623, 10396, 3779, 3778, 393046, 4761, 3579, 4656, 4654, 1137, 5077, 776, 196883, 7031, 2260, 346562, 2255, 81248, 26047, 9607, 26494, 3249, 22953, 6445, 1740, 4685, 344892, 1373, 219865, 9722, 121643, 3760, 3752, 341359, 3756, 367, 84059, 5304, 26011, 195814, 3270, 81832, 442361, 340980, 8912, 3764, 8911, 5470, 3767, 3768, 91807, 64241, 7369, 283694	767	1649	15562	1.7102680855134833	9.883302933832994E-7	9.883302933832994E-7	3.2287069684500125E-7
GOTERM_BP_ALL	GO:0044699~single-organism process	674	45.75695858791582	1.2910740432989702E-9	8419, 7494, 374462, 90134, 8416, 54102, 121214, 162514, 946, 390445, 388336, 118980, 150, 28834, 85320, 59344, 79083, 10612, 6866, 3485, 1826, 80736, 339479, 2203, 10718, 387778, 55224, 222546, 1428, 3488, 3292, 131669, 196051, 391191, 347, 167, 8309, 2940, 6361, 2944, 10720, 2847, 3494, 1811, 55365, 8869, 2844, 7200, 2949, 84084, 2213, 6752, 3598, 222537, 28912, 319, 146556, 213, 827, 441509, 140873, 27180, 820, 2974, 6886, 149428, 27289, 5346, 389816, 51195, 1440, 8856, 6476, 51297, 1846, 51298, 51481, 57379, 222, 5241, 27092, 816, 348938, 27198, 118430, 23620, 132671, 282763, 189, 25769, 340533, 6898, 10742, 64798, 50604, 22917, 5239, 149628, 8435, 5126, 225689, 255061, 111, 23554, 148327, 157855, 3381, 57580, 2897, 2899, 2249, 342618, 91181, 146852, 10753, 84179, 121355, 84960, 60482, 142827, 55911, 115584, 80070, 2892, 2264, 2260, 113220, 8825, 9211, 8456, 7380, 2255, 9215, 165679, 339967, 55908, 29949, 57497, 26047, 5121, 255189, 10050, 168507, 3249, 3263, 10974, 55351, 344892, 863, 862, 869, 79861, 28954, 866, 8614, 140730, 157739, 7278, 341359, 7276, 84059, 50636, 131, 5304, 26011, 126410, 157724, 388325, 3270, 8608, 6999, 10840, 79875, 340980, 8912, 219287, 8911, 2867, 120892, 10786, 7365, 7363, 7369, 8471, 8513, 7367, 7366, 283694, 114822, 9452, 114824, 10791, 2747, 282996, 340895, 728441, 2099, 9248, 3681, 6967, 116285, 90342, 885, 29993, 55024, 116337, 2155, 676, 58158, 4036, 255027, 9547, 3884, 80237, 9254, 79153, 158131, 114815, 79698, 9058, 11283, 11005, 3000, 11281, 11280, 6014, 3211, 54828, 23316, 6010, 4935, 9365, 2625, 9369, 9368, 2167, 3212, 100507650, 260434, 9576, 3899, 2078, 9027, 3034, 1501, 54937, 283159, 23329, 9635, 23428, 9022, 387914, 192134, 6004, 124872, 2173, 1641, 9378, 9619, 9376, 3118, 4010, 799, 9370, 353513, 6817, 283463, 653509, 140801, 79570, 259293, 9177, 221301, 3120, 11122, 2914, 431705, 2056, 6725, 786, 431707, 11255, 3781, 56961, 1769, 219793, 100506013, 9283, 10396, 54857, 3779, 123099, 3778, 56159, 393046, 219595, 158763, 54959, 3579, 3577, 2046, 3055, 56955, 771, 776, 221662, 9400, 6258, 6833, 1758, 2900, 6252, 346562, 644139, 80139, 3642, 60401, 3046, 11045, 1740, 6143, 219865, 762, 3169, 6707, 3760, 345275, 1548, 1549, 3754, 56139, 3752, 2528, 3756, 83657, 79933, 654429, 3670, 2045, 1733, 2925, 56934, 442361, 93426, 3158, 655, 101927581, 54847, 8001, 343930, 3764, 283229, 9844, 3767, 56144, 3768, 56145, 9515, 79473, 91662, 440915, 1191, 5733, 54490, 219487, 4897, 81193, 9865, 126353, 10202, 51778, 440503, 79339, 40, 56914, 11326, 171024, 7069, 116512, 54997, 283310, 117154, 2322, 4889, 1081, 54898, 26, 4886, 55859, 123872, 353345, 2331, 51761, 160762, 388743, 7173, 3742, 284076, 128344, 221692, 3747, 3849, 54886, 5618, 440107, 3746, 3848, 390081, 124274, 18, 729238, 390075, 253559, 150483, 23017, 390072, 89872, 123745, 10216, 10590, 65266, 150084, 64084, 83733, 30061, 3738, 143425, 55530, 4100, 144195, 152573, 1472, 768239, 132112, 286256, 54674, 7054, 284266, 10599, 6101, 56203, 4857, 11226, 222171, 51673, 442117, 55885, 3623, 4246, 2679, 28420, 4761, 2675, 2674, 199920, 4656, 4654, 92747, 124857, 80319, 7783, 196883, 10439, 154664, 2563, 9607, 2566, 116448, 122970, 2359, 4685, 163720, 3502, 3503, 9722, 3805, 51655, 5521, 728695, 4326, 7080, 23040, 4137, 4674, 283847, 152330, 2690, 125981, 9084, 10551, 2494, 4062, 2350, 646643, 89765, 89766, 57578, 22977, 26166, 5167, 1008, 1005, 6557, 8534, 1109, 27334, 1396, 387601, 489, 1101, 90993, 285641, 10924, 27136, 84530, 6414, 170302, 480, 5948, 6564, 7802, 54210, 26154, 26074, 10809, 6549, 1280, 10140, 84941, 51237, 7547, 5174, 8689, 477, 273, 479, 51816, 64409, 27124, 246778, 25837, 6407, 10912, 6698, 84332, 54328, 4693, 56547, 10143, 51206, 6579, 117245, 51207, 27019, 200162, 1917, 341676, 6677, 8646, 4583, 25803, 58511, 4586, 162466, 108, 389549, 26996, 51705, 389434, 167465, 27202, 596, 221002, 143241, 4435, 54544, 51802, 5569, 343578, 57687, 64005, 400935, 150000, 91584, 51314, 7434, 26279, 7433, 90070, 147381, 399, 5816, 84525, 6657, 7021, 6658, 64902, 57828, 94160, 7704, 441452, 1048, 57535, 25924, 6512, 27232, 7123, 1050, 142685, 153328, 114770, 388, 55998, 1154, 5267, 247, 5265, 56475, 5075, 51059, 1137, 7032, 5077, 128178, 7033, 401236, 341640, 155465, 57628, 57526, 6506, 57626, 7031, 1234, 5979, 1041, 1237, 374, 81248, 200810, 5596, 26494, 5276, 203859, 22953, 22952, 6445, 1373, 6441, 92086, 85397, 121643, 121549, 27250, 64377, 197257, 6542, 367, 195814, 200010, 6623, 81832, 1016, 84766, 169026, 1960, 124220, 354, 64388, 5470, 57101, 91807, 259, 64241	767	12422	15562	1.1008760375302515	7.656039668346715E-6	3.828027161034697E-6	2.501106288743671E-6
GOTERM_BP_ALL	GO:0006811~ion transport	120	8.146639511201629	2.0340857888101003E-9	57578, 90134, 5167, 54102, 6557, 1109, 162514, 387601, 489, 285641, 118980, 150, 85320, 480, 40, 885, 80736, 6564, 116337, 54997, 10809, 6549, 5174, 4889, 9254, 477, 479, 9058, 11280, 1811, 7200, 3742, 6579, 3747, 3746, 9368, 213, 18, 441509, 389816, 9022, 23428, 9635, 89872, 51297, 9378, 9376, 596, 27092, 65266, 816, 348938, 30061, 3738, 51802, 25769, 189, 26279, 90070, 79570, 9177, 221301, 286256, 10599, 2056, 786, 11255, 3781, 157855, 6512, 10396, 2897, 3779, 2899, 3778, 60482, 1137, 115584, 771, 776, 2892, 57628, 6506, 7783, 6833, 2900, 2260, 1234, 644139, 2563, 255189, 2566, 168507, 10050, 203859, 3249, 22953, 762, 9722, 8614, 3760, 3754, 3752, 6542, 3756, 50636, 157724, 200010, 3270, 84766, 169026, 8912, 8001, 3764, 8911, 283229, 3767, 3768, 57101, 10786	767	1406	15562	1.731673346303141	1.2062055992023701E-5	4.020701496743051E-6	3.9404903451334405E-6
GOTERM_BP_ALL	GO:0050877~neurological system process	87	5.906313645621181	2.0761102386020505E-8	79473, 8419, 374462, 431707, 111, 11255, 150677, 390445, 219487, 4897, 81193, 10396, 84530, 59344, 79339, 4761, 393046, 40, 885, 56914, 1280, 1137, 5077, 283310, 776, 152789, 1428, 388551, 9543, 391191, 477, 158131, 4886, 2260, 346562, 3000, 11281, 11280, 81248, 51761, 2844, 4693, 9607, 26047, 26494, 3249, 4935, 23316, 6010, 22953, 1740, 4685, 9369, 344892, 9368, 219865, 390081, 11036, 390075, 341359, 3756, 283159, 390072, 84059, 5304, 6004, 2173, 26011, 9378, 195814, 27092, 442361, 81832, 23620, 282763, 25769, 340980, 8911, 5470, 3767, 1472, 1470, 259293, 132112, 7054, 283694, 6101	767	947	15562	1.86397172708987	1.2310576033125464E-4	3.077786096872259E-5	4.021900643635945E-5
GOTERM_BP_ALL	GO:0032501~multicellular organismal process	390	26.476578411405292	2.526624724084295E-8	79473, 91662, 8419, 7494, 374462, 1191, 5733, 162514, 219487, 390445, 4897, 81193, 9865, 10202, 150, 79339, 59344, 10612, 6866, 3485, 40, 1826, 339479, 10718, 56914, 11326, 54997, 55224, 283310, 222546, 117154, 1428, 4889, 2322, 3488, 388551, 3292, 1081, 391191, 347, 4886, 55859, 167, 6361, 123872, 3494, 2331, 1811, 55365, 51761, 160762, 388743, 2844, 7200, 7173, 6752, 222537, 3747, 3849, 54886, 3746, 5618, 3848, 146556, 213, 390081, 18, 820, 729238, 390075, 6886, 27289, 23017, 390072, 51195, 1440, 6476, 51297, 1846, 51298, 51481, 57379, 27092, 816, 65266, 64084, 30061, 23620, 282763, 25769, 340533, 10742, 144195, 152573, 50604, 1472, 768239, 1470, 132112, 8435, 54674, 7054, 284266, 6101, 56203, 5126, 222171, 255061, 111, 23554, 148327, 3381, 57580, 3623, 2897, 2249, 4761, 2675, 2674, 146852, 91181, 4656, 10753, 4654, 121355, 124857, 80319, 196883, 2260, 8825, 9211, 8456, 10439, 7380, 2255, 9215, 29949, 9607, 57497, 26047, 5121, 2566, 168507, 3249, 116448, 4685, 344892, 863, 3502, 869, 9722, 8614, 341359, 728695, 84059, 8909, 4326, 5304, 26011, 7080, 23040, 4137, 4674, 3270, 152330, 2690, 125981, 9084, 340980, 8912, 10551, 8911, 2867, 120892, 2494, 4062, 7369, 89765, 283694, 89766, 57578, 9452, 10791, 5167, 282996, 1396, 2099, 489, 1101, 90993, 27136, 84530, 6414, 170302, 480, 885, 29993, 55024, 6564, 54210, 2155, 26154, 1280, 10140, 676, 7547, 58158, 4036, 152789, 8689, 9547, 3884, 9254, 80237, 9543, 477, 158131, 27129, 51816, 27124, 246778, 11005, 3000, 11281, 11280, 25837, 6407, 10912, 6698, 54328, 4693, 6014, 56547, 3211, 54828, 4935, 6010, 23316, 10143, 9365, 51206, 51207, 27019, 2625, 9369, 9368, 2167, 3212, 260434, 9576, 3899, 2078, 6677, 8646, 4583, 25803, 11036, 4586, 54937, 1501, 162466, 108, 283159, 389549, 51705, 387914, 6004, 1641, 2173, 9378, 9619, 27202, 596, 4010, 799, 9370, 353513, 4435, 54544, 653509, 140801, 91584, 51314, 26279, 7433, 90070, 147381, 259293, 399, 84525, 6657, 7021, 6658, 2056, 57828, 7704, 786, 431707, 11255, 441452, 3781, 150677, 9283, 219793, 100506013, 7123, 10396, 5678, 54857, 3779, 1050, 114770, 3778, 56159, 393046, 388, 55998, 54959, 3579, 2046, 247, 5265, 5075, 1137, 7032, 5077, 56955, 128178, 7033, 776, 341640, 57526, 6506, 57626, 7031, 1758, 6252, 346562, 5979, 644139, 1041, 374, 80139, 81248, 3642, 26494, 60401, 3046, 22953, 6445, 1740, 6441, 1373, 6143, 219865, 3169, 6707, 3760, 121643, 121549, 64377, 56139, 3752, 6542, 3756, 367, 654429, 195814, 3670, 2045, 6623, 56934, 81832, 442361, 655, 1960, 101927581, 124220, 343930, 3764, 354, 64388, 5470, 3767, 56144, 3768, 56145, 91807, 64241, 259	767	6411	15562	1.2342663166326941	1.49817624040538E-4	2.99653205951822E-5	4.894650089681818E-5
GOTERM_BP_ALL	GO:0055085~transmembrane transport	108	7.3319755600814664	2.884931800068884E-8	57578, 90134, 54102, 6557, 162514, 387601, 489, 285641, 118980, 150, 85320, 480, 40, 80736, 6564, 116337, 54997, 26154, 6549, 5174, 9254, 477, 479, 9058, 11280, 1811, 3742, 3747, 3746, 9368, 441509, 9022, 23428, 9635, 89872, 51297, 9378, 9619, 9376, 596, 27092, 65266, 348938, 83733, 3738, 30061, 51802, 25769, 55530, 150000, 144195, 90070, 9177, 221301, 2056, 94160, 786, 3781, 157855, 6512, 10396, 2897, 3779, 153328, 2899, 3778, 84179, 60482, 1137, 115584, 776, 2892, 57628, 6506, 6833, 2900, 1234, 644139, 154664, 2563, 2566, 168507, 10050, 203859, 3249, 22953, 9722, 3760, 3754, 3752, 6542, 3756, 50636, 5304, 157724, 200010, 3270, 84766, 169026, 8912, 8001, 3764, 8911, 3767, 3768, 57101, 10786, 64241	767	1280	15562	1.711921447196871	1.7106182573523032E-4	2.8512336595287735E-5	5.5887726957415396E-5
GOTERM_BP_ALL	GO:0007600~sensory perception	64	4.344874405974202	6.418659309279535E-8	79473, 8419, 374462, 150677, 219487, 390445, 81193, 84530, 59344, 393046, 79339, 40, 885, 56914, 1137, 1280, 5077, 283310, 776, 1428, 388551, 391191, 158131, 4886, 2260, 346562, 3000, 11281, 11280, 81248, 51761, 4693, 26494, 3249, 6010, 4935, 22953, 1740, 4685, 9368, 344892, 219865, 390081, 390075, 341359, 390072, 283159, 84059, 5304, 6004, 195814, 442361, 23620, 282763, 25769, 340980, 5470, 1472, 1470, 259293, 132112, 7054, 283694, 6101	767	631	15562	2.0578829159236904	3.8055407986670176E-4	5.4373737258583965E-5	1.243440699738585E-4
GOTERM_BP_ALL	GO:0007186~G-protein coupled receptor signaling pathway	81	5.4989816700611	7.898944407532652E-8	79473, 2914, 255061, 111, 11255, 5733, 27334, 390445, 219487, 2099, 100506013, 9283, 9248, 81193, 57580, 2899, 150, 79339, 393046, 6866, 885, 1154, 3579, 3577, 116512, 776, 4889, 196883, 391191, 158131, 4886, 114815, 6361, 346562, 1234, 3000, 374, 353345, 1237, 2847, 81248, 54328, 2844, 9607, 2566, 26494, 4935, 6010, 6752, 2359, 9368, 219865, 390081, 441509, 124274, 85397, 51655, 390075, 108, 283159, 51195, 390072, 84059, 26996, 6004, 27202, 2925, 27198, 799, 442361, 23620, 282763, 340980, 8001, 7434, 2867, 120892, 7433, 768239, 259293, 283694	767	885	15562	1.8569995359423686	4.682977363629215E-4	5.854921367698385E-5	1.5302054778842944E-4
GOTERM_BP_ALL	GO:0034220~ion transmembrane transport	84	5.7026476578411405	8.068736084117943E-8	57578, 2056, 90134, 54102, 786, 6557, 162514, 3781, 157855, 489, 6512, 10396, 2897, 285641, 3779, 118980, 2899, 150, 3778, 85320, 480, 40, 54997, 6549, 1137, 776, 5174, 2892, 57628, 6506, 9254, 6833, 477, 2900, 479, 1234, 644139, 11280, 1811, 2563, 2566, 10050, 203859, 168507, 3249, 22953, 3742, 3747, 3746, 9368, 441509, 9722, 3760, 3754, 3752, 6542, 3756, 9022, 9635, 89872, 50636, 51297, 9378, 9376, 27092, 65266, 3270, 3738, 30061, 84766, 51802, 169026, 25769, 8912, 8001, 3764, 8911, 3767, 3768, 57101, 10786, 90070, 9177, 221301	767	930	15562	1.8325945241199477	4.783616173854588E-4	5.316259446419558E-5	1.5630979679492896E-4
GOTERM_BP_ALL	GO:0043269~regulation of ion transport	55	3.73387644263408	3.899759206559709E-7	2056, 90134, 786, 54102, 11255, 162514, 3781, 157855, 3779, 150, 3778, 40, 885, 54997, 776, 5174, 57628, 4889, 9254, 6833, 477, 644139, 11280, 7200, 22953, 3742, 3747, 9368, 3746, 18, 9722, 8614, 3760, 3754, 3752, 3756, 9022, 51297, 9378, 596, 27092, 65266, 816, 3270, 3738, 84766, 8912, 3764, 8911, 283229, 3767, 3768, 90070, 10786, 79570	767	534	15562	2.089736265131428	0.002309885759049446	2.3122902849415095E-4	7.554700405032477E-4
