cell_line,ERsign
HCC38_BREAST,neg
DU4475_BREAST,neg
MDAMB175VII_BREAST,pos
T47D_BREAST,pos
KPL1_BREAST,pos
MDAMB231_BREAST,pos
HCC2218_BREAST,pos
HCC1954_BREAST,neg
CAMA1_BREAST,pos
HMC18_BREAST,pos
AU565_BREAST,pos
HS578T_BREAST,pos
BT20_BREAST,pos
MDAMB361_BREAST,pos
MDAMB436_BREAST,pos
SKBR3_BREAST,pos
HCC1143_BREAST,pos
HCC1937_BREAST,pos
HCC1569_BREAST,neg
HCC1395_BREAST,neg
HCC1187_BREAST,pos
ZR751_BREAST,pos
HCC70_BREAST,neg
MCF7_BREAST,pos
HCC202_BREAST,neg
MDAMB157_BREAST,neg
EFM192A_BREAST,pos
MDAMB453_BREAST,pos
EFM19_BREAST,pos
BT474_BREAST,pos
MDAMB415_BREAST,pos
MDAMB468_BREAST,neg
CAL851_BREAST,neg
UACC812_BREAST,pos
CAL148_BREAST,pos
MDAMB134VI_BREAST,pos
HCC1500_BREAST,pos
HCC1599_BREAST,pos
UACC893_BREAST,pos
HDQP1_BREAST,pos
HCC1419_BREAST,pos
BT483_BREAST,pos
HCC1428_BREAST,pos
ZR7530_BREAST,pos
CAL51_BREAST,neg
CAL120_BREAST,pos
JIMT1_BREAST,pos
