"","X14.3.3_beta","X14.3.3_epsilon_Caution","X14.3.3_zeta","X4E.BP1","X4E.BP1_pS65","X4E.BP1_pT37_T46","X4E.BP1_pT70","X53BP1","A.Raf_pS299_Caution","ACC_pS79","ACC1_Caution","Acetyl.a.Tubulin..Lys40._Caution","ACVRL1_Caution","ADAR1","Akt","Akt_pS473","Akt_pT308","alpha.Catenin","AMPK_alpha_Caution","AMPK_pT172","Annexin.1","Annexin_VII","AR","ASNS","ATM","B.Raf_Caution","B.Raf_pS445","Bad_pS112","Bak_Caution","Bap1.c.4","Bax","Bcl.2","Bcl.xL","Beclin_Caution","beta.Catenin","beta.Catenin_pT41_S45","beta.Actin_Caution","Bid_Caution","Bim.CST2933.","Bim.EP1036.","BRCA2_Caution","c.Jun_pS73","c.Kit","c.Met_Caution","c.Met_pY1235","c.Myc_Caution","C.Raf.BD610151._Caution","C.Raf.MP05.739.","C.Raf_pS338","Caspase.7_cleavedD198_Caution","Caspase.8_Caution","Caveolin.1","CD20._Caution","CD31","CD49b","CDK1","Chk1_Caution","Chk1_pS345_Caution","Chk2","Chk2_pT68_Caution","cIAP_Caution","Claudin.7","Collagen_VI","Cyclin_B1","Cyclin_D1","Cyclin_E1","Cyclin_E2_Caution","Di.Ras3_Caution","DJ.1","Dvl3","E.Cadherin","eEF2_Caution","eEF2K","EGFR","EGFR_pY1068_Caution","EGFR_pY1173","eIF4E","eIF4G_Caution","ER.alpha","ER.alpha_pS118","ERCC1_Caution","ERK2_Caution","ETS.1","FASN","Fibronectin","FoxM1","FOXO3a_Caution","FOXO3a_pS318_S321_Caution","FRA1_Caution","G6PD","Gab2","GAPDH_Caution","GATA3","GSK.3.BETA_Caution","GSK3.alpha.beta","GSK3.alpha.beta_pS21_S9","GSK3_pS9","HER2","HER2_pY1248_Caution","HER3","HER3_pY1289_Caution","Heregulin","HSP70_Caution","IGFBP2","INPP4B","IRS1","JAK2","JNK_pT183_Y185","JNK2_Caution","Ku80_Caution","Lck","MAPK_pT202_Y204","MDM2_pS166","MDMX_MDM4.BetIHC.00108._Caution","MEK1","MEK1_pS217_S221","MIG.6","Mre11_Caution","MSH2","MSH6_Caution","mTOR","mTOR_pS2448_Caution","MYH11","Myosin.IIa.pS1943","N.Cadherin","N.Ras","NDRG1_pT346","NF.kB.p65_pS536_Caution","NF2_Caution","Notch1","P.Cadherin_Caution","p14.Arf.BetA300.340A._Caution","p21","p27","p27_pT157_Caution","p27_pT198","p38.alpha.MAPK","p38_MAPK","p38_pT180_Y182","p53_Caution","p62.Lck.ligand_Caution","p70S6K","p70S6K_pT389","p90RSK_Caution","p90RSK_pT359_S363_Caution","p90RSK_pT573_Caution","PAI.1","PARP_cleaved_Caution","Paxillin_Caution","PCNA_Caution","PDCD4_Caution","PDK1","PDK1_pS241","PEA15","PEA15_pS116","PI3K.p110.alpha_Caution","PI3K.p85","PKC.alpha","PKC.alpha_pS657_Caution","PKC.delta_pS664","PKC.pan_BetaII_pS660","Porin","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","RAD51","Raptor","Rb_Caution","Rb_pS807_S811","RBM15","Rictor_Caution","Rictor_pT1135","RSK1.2.3_Caution","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2_Caution","SF2","Shc_pY317","SHP.2_pY542_Caution","Smac_Caution","Smad1","Smad3","Smad4","Snail_Caution","Src","Src_pY416_Caution","Src_pY527","STAT3_Caution","STAT3_pY705","STAT5.alpha","Stathmin","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1_Caution","TTF1","Tuberin","Tuberin_pT1462","VAV1_Caution","VEGFR2","VHL_Caution","XBP1_Caution","XRCC1_Caution","YAP_Caution","YAP_pS127_Caution","YB.1","YB.1_pS102"
"HCC38_BREAST",0.032665,-0.258639,0.240518,-0.04823,0.473534,0.440982,0.134611,0.425856,0.159745,0.995535,0.917506,0.279099,-0.160488,-0.20353,-0.412952,1.870673,1.289004,0.762245,-0.174211,-0.082654,-0.870528,0.002917,-0.283404,-0.265643,-0.375959,-0.636665,-0.279236,-0.059835,-0.166032,0.078651,-0.488071,-0.449038,-0.252849,-0.002316,1.123089,0.41913,0.316136,-0.118288,0.202968,0.258863,-0.161627,-0.029356,1.504149,3.370144,-0.070611,-0.748523,0.791136,0.813711,0.235706,0.308151,1.999316,1.000844,-0.181995,-0.109418,0.381679,-0.205194,-0.911147,-0.133145,-0.118441,-0.11036,-0.047505,2.432642,0.384881,-0.744066,-0.179624,-0.53486,0.087239,-0.105357,-0.698274,0.282096,3.941244,-0.233357,-0.132447,-0.610867,-0.541262,-0.059293,0.211277,-0.179173,-0.159538,0.008828,1.409512,0.648265,-0.262423,0.297988,1.807147,-0.27648,-0.015936,0.001175,-0.392333,0,-0.466951,-1.227717,0.603508,0.330469,0.017819,0.130557,0.361497,1.164134,0.197117,0.691648,-0.063438,-0.084692,0.024268,0.408719,-0.107367,0.000225,-0.418723,0.009993,-0.249333,0.256555,-0.66383,0.654374,-0.362856,-0.342762,-0.593278,-0.477523,-0.334185,-0.092813,0.300527,0.090829,-0.066147,0.190994,-0.203644,0.624282,-0.523319,-0.089315,-0.471402,0.288207,0.071615,0.178353,1.720282,-1.063772,1.109986,0.128181,-0.102826,-0.171491,0.99154,-0.314223,-0.249627,0.917129,0.521702,0.344797,0.449505,0.020572,0.334542,-0.30052,-0.167897,3.166729,-0.511015,0.395756,-1.194068,-0.114622,0.035955,0.224751,-0.217155,-0.0291,-0.202766,0.309943,0.648881,0.159626,0.008859,-0.579047,-0.183038,0.269933,0.274285,-0.577864,-3.196962,1.071227,-0.138353,-0.013027,0.33988,1.629944,0.581394,0.200934,-0.316454,0.2634,-0.018242,0.291116,0.573551,-0.119215,0.159322,0.039953,0.234128,-0.126861,0.842705,0.092031,-0.113547,-0.076887,2.762038,0.244862,-0.765666,-0.049933,1.560319,0.293166,1.165178,0.035697,1.389806,1.340096,-0.638934,-0.082292,0.706043,0.450367,-0.382458,-0.186615,0.120507,-0.306861,-0.496074,2.832403,-0.408616,0.448258,-0.114179,0.538023,-0.078334,0.082616
"DU4475_BREAST",-0.1796,0.13904,0.215091,0.324853,0.077344,-0.238779,0.098976,0.776042,-0.202546,0.379887,0.095818,-0.425592,-0.166017,0.518192,1.218075,-1.087248,-0.538469,-0.478771,-0.083235,0.780107,-1.600481,0.083224,-0.189652,-0.103099,-0.140821,0.978787,0.417488,0.158656,0.13753,0.256093,0.029198,0.171458,-0.410543,-0.279953,1.485479,-0.148561,-0.690579,-0.022315,0.781826,0.673897,-0.31904,0.002509,0.065805,0.362595,0.060008,-0.262929,0.598011,0.443063,-0.109542,1.101507,0.254835,-3.0816,-0.095068,-0.219557,-0.101136,-0.433833,0.579402,-0.145212,-0.496965,-0.317521,0.153573,0.696571,0.028558,0.188644,-0.174607,1.507299,1.25592,-0.043841,0.672356,-0.208986,2.114749,-0.402694,-0.898642,-1.293557,-0.844647,0.016926,0.586146,-0.071506,-0.136233,0.177039,0.006648,-0.054951,-0.376633,1.35548,-1.196525,-0.112344,-0.436035,-0.066384,-0.109753,-0.538384,0.852931,0.296149,-0.276559,0.661608,0.238359,0.280122,0.357711,-1.539456,-0.705641,0.024841,0.022534,-0.153805,-0.289238,2.280856,-0.072432,0.415019,-0.30289,-0.078923,0.533313,-0.602832,-0.06349,0.942641,-0.126012,0.503608,0.242145,1.30361,-0.278384,-0.036747,0.784004,1.226708,0.004684,-0.132392,-0.181897,-0.87676,-0.550389,-0.204825,0.142382,-1.204431,-0.350966,2.2277,0.351232,0.242587,-0.184693,0.309689,-0.093695,-0.030742,0.367798,0.665946,-0.093065,-0.263537,-1.11805,-0.14423,-0.302546,0.804785,0.424125,0.797753,0.779611,0.85795,-1.154598,0.353289,1.960171,0.161031,0.301383,0.109602,-0.275194,-0.033528,0.14269,2.522819,2.297715,1.303006,1.62192,-0.520383,-0.048099,-0.385336,-0.470248,-0.43017,-0.37762,1.459134,0.064845,-0.413988,-0.291762,-0.651463,0.428424,0.384968,0.331717,-0.234891,1.158938,-1.215722,-1.967621,-0.145476,-0.024083,0.130142,0.421953,-0.060426,-0.247605,0.114426,0.16333,-0.064188,0.395955,0.436103,0.656366,0.856826,-0.524936,-0.5959,0.714887,0.928703,4.843485,-0.486973,-0.413626,-0.385939,-0.259466,0.881242,-0.179553,0.319495,-0.40891,4.003459,-0.634562,3.856702,-0.32643,-0.395935,-0.904689,-3.45847,-0.251527,0.013273
"MDAMB175VII_BREAST",0.037009,-0.017792,0.30829,-1.142862,-0.052724,-0.2546,-0.640859,-0.333303,0.995723,0.694577,1.332468,-0.213061,-0.371182,0.429346,0.290425,2.171379,1.563505,0.393836,0.606105,-0.921341,-0.779972,0.229017,1.197219,-1.098815,-1.58433,0.946084,0.596211,-0.567285,-0.380336,-0.241826,0.196321,-0.242368,0.315411,0.210827,-0.286411,-0.043328,-0.079419,-0.037986,-0.106956,-0.140532,-0.006658,-0.178219,-0.354794,-0.295951,-0.058304,-0.404618,-0.627255,-0.174174,0.094235,0.375818,-0.200888,-3.699995,-0.209999,-0.090279,0.488218,0.122261,-1.137271,-0.012779,-0.295203,-0.42482,0.002026,1.75008,0.299449,-0.707304,0.26907,-0.214378,0.068339,-0.11812,-0.144779,0.264916,3.801651,-0.334024,-0.202744,-1.028564,0.583862,-0.132579,0.002503,0.28136,1.638311,0.184802,-0.685155,0.513493,-0.350093,3.282317,-0.630913,-0.407971,0.039411,0.221586,0.004805,1.515746,1.319052,2.610355,2.841846,0.628525,0.254628,1.326968,1.166072,1.639849,1.276021,1.548533,0.865295,0.288352,0.125949,1.550213,0.408774,0.768557,-0.196872,-0.05141,0.650723,-0.45649,-1.07428,0.985556,-0.075025,0.565404,-0.098787,-0.124394,0.043116,-0.078368,-1.034747,-1.355813,0.185687,0.386007,-0.274618,0.730746,-0.662627,0.00572,-0.041078,0.36088,-0.122345,0.396777,-0.29421,-0.455806,1.425803,-0.19739,-0.009301,0.183339,0.255978,0.507086,-0.448513,-0.525399,-0.052642,-0.052557,0.92027,-0.580205,-0.062815,0.027795,-0.346794,-0.018859,-0.007063,-0.175106,-0.605625,0.390805,0.655443,0.541495,-0.075047,0.083206,0.187107,0.323437,0.50472,0.612039,0.818612,0.44358,-0.074849,0.359121,-0.036349,0.309794,0.487804,2.53358,-1.100408,-0.05821,0.01864,-0.227955,0.480641,-0.972627,0.497568,0.904467,-0.789174,1.274503,1.294318,1.106782,-0.127969,-0.245987,0.470559,0.149129,0.160775,0.375805,-0.173021,-0.113166,-0.313949,0.169904,-0.182528,-0.605062,0.754929,0.428656,-1.063005,-0.397492,1.876086,-0.622256,-0.79995,0.046942,-0.012917,-0.02672,-0.529276,0.511622,0.964484,0.142075,1.128642,4.031608,-0.291824,-0.094397,-0.425804,-1.429306,-0.319926,-0.128125
"T47D_BREAST",0.046212,0.131015,-0.047201,0.26328,0.627995,0.849992,0.101286,-0.101737,0.849479,1.065821,1.623645,-0.011452,0.188183,-0.1389,0.176713,0.991487,0.191247,0.500793,0.235601,0.4478,-1.321053,0.381175,1.415153,0.192274,0.650905,-0.178979,0.252292,-0.387405,-0.036599,-0.193105,-0.701146,-0.02892,-0.15945,0.240707,0.22665,0.02319,0.292873,-0.210305,-1.187222,-0.794811,-0.017113,-0.517653,-0.116889,-0.313326,-0.186764,-1.000382,1.255646,0.69549,0.210756,-0.245627,-0.34344,-2.793112,-0.155293,0.417181,0.168387,-0.47627,0.619726,-0.265011,-0.072163,-0.007664,0.722483,2.366653,-0.679115,1.050189,-0.547241,-0.240521,0.374939,0.081611,0.006587,0.317245,4.273161,-0.247129,-0.20509,-1.170136,-0.483495,-0.116162,0.018916,0.556807,3.394685,0.37154,0.276414,-0.310598,-0.592439,1.716198,-0.825923,-0.183209,0.114863,-0.133583,-0.424819,-0.188889,0.997237,-1.462537,3.724395,0.611123,0.117798,-1.210713,-1.201122,0.664268,-0.004278,0.955863,-0.211259,-0.143924,0.193445,1.620687,0.571503,-0.319672,-0.493323,-0.493535,-0.055706,-0.152967,-0.60729,-0.062794,-0.409229,-0.166415,-0.500995,-0.540935,-0.233655,0.066411,0.237328,-0.207388,0.604038,0.235921,-0.474902,-1.007766,-0.624118,0.144749,-0.536768,-0.969285,-0.564343,-0.054619,-0.05387,0.25226,0.370853,0.300535,0.23469,0.109687,0.261812,0.554899,-0.645236,0.865772,-0.284668,0.284774,0.035438,0.052161,-0.103465,0,-0.537346,0.090832,-0.393037,-0.18557,1.472591,0.477495,0.896288,0.066908,-0.232382,0.403615,0.655186,-0.843041,-1.23363,-0.337687,-0.862821,-2.013656,0.831344,-0.287119,0.034175,2.291295,1.087024,1.651843,0.339824,0.270499,0.117286,-0.189739,0.259249,-0.422961,-0.284655,0.134507,0.277231,0.400287,0.155673,0.356107,-0.155932,0.372976,0.141026,-0.307281,0.305536,-0.290017,-0.553705,0.198186,-0.093031,0.571777,-0.634902,0.228149,1.039663,-0.29836,-0.07002,-0.000487,1.299988,-0.426053,0.635518,-0.514762,-0.370202,-0.10736,-0.284529,0.536545,-0.350898,0.548244,0.483736,4.376461,-0.106662,0.00092,0.559326,0.577818,-0.143582,-0.567909
"KPL1_BREAST",-0.047316,0.167286,0.360075,-0.038319,-0.168084,-0.515986,-0.022373,0.319567,0.292042,-0.36306,0.300817,-0.961184,0.011171,-0.057335,1.938105,-0.233513,-0.21281,0.39241,0.196937,-2.036231,-1.434805,0.365553,2.45212,0.306374,-0.933479,0.023116,-0.032441,-0.262722,-0.134124,-0.158663,-0.014046,0.077509,-0.495766,-0.026408,0.156566,0.075935,-0.238746,0.009468,0.246039,0.292203,-0.133844,-0.13056,0.056702,-0.058609,-0.034817,-0.44788,0.681482,0.623826,-0.053031,-0.561201,-0.34449,-2.237274,-0.056121,0.213644,0.405742,-0.076175,-0.191184,0.015742,-0.510959,-0.106436,-0.060483,3.273937,-0.306249,0.409644,0.275345,0.376589,0.257575,0.067029,0.241072,0.003886,2.784828,0.110153,0.550357,-1.242352,-0.210863,0.064413,0.13658,0.335417,4.162259,0.604354,-0.142291,-0.6534,-0.381835,1.727472,-0.841867,0.155054,-0.004155,-0.070666,-0.472972,2.528361,-0.675934,0.547675,2.00046,0.428208,0.128361,-0.418512,-0.33365,0.18208,0.191211,2.36763,-0.073392,-0.077551,0.123471,2.056133,1.148835,1.09057,-0.291147,-0.225388,0.400124,0.282088,-0.829244,-0.374807,-0.713673,0.828284,-0.077032,-0.328037,0.258586,0.07987,0.233449,0.39069,0.277661,-0.026097,-1.006046,-1.54284,-0.628531,0.61957,-0.510223,-0.716398,-0.768187,0.527497,-0.098587,-0.877967,0.418263,1.08574,-0.022874,0.085901,-0.111937,0.164531,-0.87097,-0.139795,0.382666,3.331277,0.104271,0.16266,-0.109069,-0.418052,-0.825666,0.066358,-0.068016,-0.071511,-0.672038,0.540609,0.727477,-0.314291,-0.200483,-0.000727,0.173535,-0.343387,-0.535758,0.053625,-0.02358,0.383054,0.569121,-0.345065,0.007643,2.505802,0.649381,1.673108,-0.293554,0.304278,-0.337242,0.052274,0.462954,0.242645,0.049754,-0.164403,0.320074,0.782022,0.819332,0.915545,-0.293418,0.331859,-0.081478,-0.750149,-0.179871,-0.035172,0.137391,0.15126,0.203986,-0.467534,-0.376921,-0.787527,-0.721233,-0.453094,-0.390161,-0.181688,0.342795,-0.086423,-0.901951,0.140022,-0.170864,0,-0.255134,0.362035,-0.165935,-0.0628,-0.464684,1.875865,0.076468,0.339339,-0.329252,-0.734866,-0.253651,0.027459
"HCC2218_BREAST",0.167035,0.008118,0.551498,0.22417,-0.369129,-1.031491,-0.202695,-0.461022,0.694432,0.627465,0.693592,-0.052637,0.313758,0.747205,0.681813,-0.424755,-0.555926,-0.347248,0.011807,-0.066712,-1.114272,0.001377,2.407439,-0.103638,-0.611002,0.289677,0.233551,-0.405137,-0.109589,-0.378491,-0.397401,0.151982,-0.484535,0.186247,-2.687939,-0.091888,0.171865,-0.046265,-0.388106,-0.154107,-0.033162,-0.172565,0.418997,0.09945,0.036757,-0.231034,0.007685,-0.236137,0.03137,-0.090207,0.051289,-2.647282,0.061404,0.535741,0.263226,0.021756,-0.092263,-0.391518,-0.409003,-0.193742,0.178435,2.79999,-0.430322,-0.164314,-0.387903,0.458963,0.23548,0.310346,-0.400089,-0.551782,0.717818,-0.361606,-0.264244,-0.350389,2.822702,-0.036018,0.533265,-0.037416,0.553537,0.041549,0.152262,-0.557217,-0.322485,2.200282,-0.636678,-0.445201,0.24994,-0.018653,-0.682615,0.074282,-0.408968,-0.719976,2.69856,-0.3064,-0.111167,-0.774926,-1.164783,5.42174,4.293075,1.83098,1.268191,0.026663,0.200259,2.710254,0.528887,0.616501,-0.363267,0.037082,0.554831,-0.220385,-0.83806,-0.128963,-0.434314,0.584089,-0.366253,-0.936236,-0.256989,0.169607,-0.301484,-1.004275,0.26621,0.219283,-0.262082,-0.871898,-0.275598,0.190277,-0.749527,-1.212613,0.195459,0.639397,-0.310202,-0.408362,0.161759,0.55031,0.346314,0.062878,0.207722,0.270182,-0.168119,0.090819,0.344585,2.555589,0.534193,-0.306266,-0.236558,-0.313704,-0.425591,0.279467,-0.583423,-0.195548,0.063813,0.720748,0.729677,-0.102992,-0.189072,-0.263001,-0.191569,-0.568218,-0.612347,0.136681,-0.56361,-0.744072,0.214927,-0.686348,0.455301,1.865283,0.723705,1.49345,-0.16408,0.061885,0.110113,-0.560022,-1.309492,-0.263368,0.359916,-0.198013,-0.405332,0.931105,1.124758,0.382462,0.009495,-0.016803,1.206331,0.925078,0.173852,0.648054,-0.347206,-0.256228,0.219815,0.301075,0.120395,-0.23406,-0.573835,-0.22595,0.016773,-0.097927,-0.416262,-0.383143,0.110634,0.131868,-0.279444,-0.477709,-0.358709,0.179944,-0.177192,0.823294,0.017212,1.974787,0.010957,0.071864,-0.317116,-1.299127,1.38047,-0.290322
"HCC1954_BREAST",0.340273,-0.297638,0.958337,-1.045375,-0.657811,-1.110848,-0.559138,-0.593431,-0.301889,0.596565,0.418545,-0.365093,-0.075132,-0.057985,-0.784649,2.017168,0.903152,0.397656,-0.00989,0.083198,0.67195,-0.143842,0.858256,-1.238029,-1.541247,-1.51503,-0.269895,-0.081795,-0.16128,-0.163001,0.132371,-0.830407,0.529811,-0.356997,1.237578,0.15978,2.17506,0.047354,-0.44183,-0.318492,0.100915,-0.54323,0.386046,0.527974,-0.250253,-0.44252,-0.631698,-0.176432,0.017601,0.154842,-0.256489,0.715904,0.105729,-0.444652,1.494154,-0.099599,-0.097502,0.039467,0.142082,-0.001797,-0.094391,3.28863,-0.543964,0.684708,0.515896,0.339457,0.754073,-0.278637,-0.507958,-0.194295,4.039192,0.805043,-0.25399,0.139673,3.211182,-0.001959,0.197728,-0.23444,-0.345259,-0.107906,0.231825,1.115758,0.679857,0.62799,-0.658824,0.136527,0.052824,0.066359,0.235052,1.84142,-0.168598,0.819506,1.110226,-0.400504,-0.118507,0.385953,0.385867,4.8955,4.653271,0.031835,0.107424,-0.212615,0.363118,-0.078216,-0.420796,-0.76302,0.726595,0.160696,1.049191,-0.516155,0.615321,-0.085664,0.586663,-0.197206,0.328947,0.210706,-0.289473,-0.287361,-0.185748,0.00521,-0.188746,0.1727,-0.097177,0.725117,0.110361,-0.332437,-0.016487,-0.607309,1.054711,0.234546,1.440262,2.102608,-0.598205,-0.398511,-0.232459,0.017952,0.235768,0.500592,0.542311,0.708561,-0.297239,-0.305475,-0.174652,0.187506,-0.253036,-0.194147,0.140558,-0.333643,-0.810773,0.203009,-1.755499,-0.060715,-0.082179,-0.033123,1.787087,-0.387859,-0.097826,-0.07107,-0.239019,0.143007,0.118731,0.249055,-0.197046,-0.149118,0.304565,-0.686353,-0.040394,1.893678,0.520649,0.379216,-0.673548,0.080617,0.28947,0.125571,-0.582885,-0.048247,0.267657,1.086032,1.45555,1.064502,-0.253408,-0.367606,0.514642,0.439833,-0.073277,-0.209438,0.070275,-0.463137,-0.213271,0.197251,0.580057,-0.026479,0.530157,0.659802,-0.353862,-0.56684,2.265149,-0.313025,1.055284,-0.142407,0.31221,-0.617662,0.793716,-0.631525,-0.390778,-0.329575,0.491769,0.992138,0.216566,0.053978,0.482535,1.067278,0.116557,-0.011389
"CAMA1_BREAST",0.395372,0.059579,0.529464,1.078023,1.010414,1.211523,0.747441,1.101049,0.339352,-0.891279,-0.421526,-0.344941,-0.307014,0.049712,-0.126617,4.075197,3.151428,-0.199635,-0.670627,-1.284009,-1.62877,0.341577,2.643812,-0.544043,-1.44085,0.892096,0.252176,-0.305334,-0.076315,-0.100387,-0.148036,0.524461,0.778025,-0.086949,-2.022686,-0.098008,1.207947,0.00745,1.99523,1.452382,0.079018,-0.30095,-0.179681,-0.541095,-0.190652,-0.33546,-1.026155,-0.158988,-0.291123,0.701008,0.016649,-3.208588,0.24623,-0.083292,-0.486965,-0.357298,-1.055196,-0.21046,-0.376503,-0.164311,0.07793,2.316138,-0.110031,-0.503434,-0.00102,-0.002769,0.000775,-0.003291,0.696017,0.283063,1.489355,1.010574,0.287219,-1.173777,-0.644181,-0.094477,0.505968,0.361151,1.937871,0.032111,0.267549,0.61036,1.033263,-0.356475,-1.314945,-0.871836,-0.067103,0.066546,-0.03976,0.602217,-0.683189,-0.490269,3.931537,0.289098,0.103315,1.523989,1.565504,1.819162,0.581639,1.196753,-0.066689,-0.192596,1.232292,1.602399,0.11259,-0.417732,0.257123,-0.1283,1.022535,-0.138547,-0.29541,-0.513159,0.59672,0.641171,0.066919,-0.486565,-0.035233,-0.122627,-0.785262,-0.288803,0.162722,0.115245,1.030623,1.712465,0.256621,-0.208359,0.584915,0.134416,0.405367,-0.195536,-0.034471,0.226959,-0.215524,0.201578,-0.070976,-0.024499,0.35367,0.568322,-0.025601,0.96531,-0.553328,0.391388,0.247039,0.094271,-0.271644,-0.79085,-0.590476,-0.483887,-0.556469,-0.157774,1.094253,1.057818,1.276038,0.387934,3.152766,-0.016775,0.059247,-1.394803,-1.949836,-0.502451,-1.69452,-0.326548,0.421534,0.59651,-0.049738,1.161785,0.152649,1.635024,0.339982,-0.554491,-0.001081,0.024868,-0.787045,0.325837,-0.244411,0.291079,0.303333,0.173049,0.602811,-0.199235,-0.084726,-0.265824,-0.081214,-0.704231,0.158043,0.070628,-0.028017,-0.344886,-0.356068,-0.763406,-0.747543,-1.208434,0.339215,-0.432537,-1.35953,-0.14325,-0.895584,0.018729,0.824616,-0.340441,0.192496,-0.418105,0.939883,0.126142,0.747527,0.200036,0.513535,5.250939,-0.167643,0.506204,-0.143612,-0.19742,0.094575,-0.41106
"AU565_BREAST",0.061856,0.026326,-0.293987,-0.982703,-0.559906,-1.254418,-0.390565,0.095034,0.300067,-0.032555,-0.316859,0.279779,0.345845,0.45681,-0.051603,1.410336,0.937085,-0.387345,-0.439604,-0.245985,-0.944519,0.427651,0.705149,0.561985,-0.300033,0.512713,0.51681,-0.21833,0.080345,-0.495598,-0.814839,-0.023511,0.13617,-0.099286,-3.562604,0.110808,-0.502098,0.036411,0.493102,0.399528,0.380039,-0.153977,0.30616,-0.153869,-0.04818,-0.390473,-0.900688,-0.647515,-0.015915,0.205855,-0.113138,-2.532068,0.190047,0.513718,-0.368101,-0.360708,-0.708406,0.083507,0.05513,0.21033,-0.357771,1.801239,-0.174096,-0.997379,-0.240727,0.066984,-0.146326,0.035081,-0.171973,-0.447334,-0.232386,0.320463,0.463217,-0.233529,2.48469,-0.016246,0.197478,-0.131107,0.373874,0.106836,0.422509,0.054047,0.446387,2.139679,-0.927207,-0.510189,0.090908,0.221474,-0.575486,3.696761,-0.780364,1.481835,0.059786,-0.311048,-0.189911,0.043239,0.033332,4.671134,4.203564,0.722092,0.432186,0.209826,-0.036568,-0.047363,0.668802,-0.299692,-0.147231,0.030838,0.327366,-0.599422,-0.379811,0.669915,0.138349,-0.078328,-0.60317,-0.166774,-0.096634,0.007725,-0.271044,-0.266912,0.07934,0.226541,-0.355571,-0.480122,0.163542,0.196605,0.576975,-0.272322,-0.129307,-0.202606,0.022002,-0.104528,-1.241453,0.07772,0.447108,0.060087,-0.2688,-0.430425,-0.539441,0.282204,-0.094031,-0.48645,-0.319378,0.271525,0.116385,0.444764,-0.193912,0.160621,-1.06889,-0.171288,0.202151,0.359705,0.448598,0.070403,1.017586,-0.156445,-0.770826,-0.438084,-0.178196,0.449249,0.573213,0.582653,0.111238,-0.048055,0.762509,2.556903,0.091793,1.537962,-0.045307,-0.261526,-0.101478,-0.310584,-0.678844,0.542125,-0.168017,-0.201897,0.474524,0.29917,0.116263,0.173638,-0.037424,-0.152027,0.399606,0.060949,-0.542117,0.098272,-0.160429,-0.030029,0.065042,-0.477952,-0.181092,-0.803421,1.384371,0.027768,-0.208025,-0.306723,-0.272343,-0.16616,0.538868,-0.386043,-0.286551,-0.579771,0.210049,-0.664445,0.044849,0.562434,-0.196016,3.788251,0.384709,-0.186325,-0.032694,-0.635673,0.086141,-0.221833
"MDAMB361_BREAST",0.11309,-0.036075,0.202845,-0.47617,-0.234383,0.257374,-0.589852,-1.072386,0.335906,-0.171543,-0.597171,-0.004862,0.183147,-0.169167,0.81957,1.339283,0.976325,0.423774,0.089293,-0.253206,-0.959352,0.416397,1.950254,-1.653762,-0.647811,-2.076381,0.737836,0.021133,-0.004703,-0.963717,-0.878876,0.266762,-0.329587,-0.030597,-0.405634,0.109325,0.133438,0.012863,-0.223746,-0.080919,0.11985,-0.26478,0.092119,-0.187943,-0.092992,-0.46399,-0.460735,-0.231181,-0.006624,0.573106,0.109729,-3.114912,0.032333,0.391314,0.096128,-0.001919,-0.248589,0.099836,-0.111053,-0.094972,-0.07233,2.636419,0.021289,-0.490163,-0.215608,-0.407374,0.296673,0.098077,0.319336,-0.409284,3.721467,-0.551452,-0.792985,-0.909151,0.952387,-0.06878,0.278223,-2.184036,3.114935,0.825134,-0.041992,0.119631,-0.317295,2.184092,-0.509742,-0.367266,0.756806,0.027774,-0.794665,2.132506,-1.540826,0.802365,2.042628,0.732715,0.195401,1.074886,1.290621,1.699306,1.035787,0.367307,-0.038548,0.028756,0.218543,2.349632,0.778053,-0.372013,-0.408864,-0.128813,-0.36803,-0.199001,-0.807554,0.40372,-0.463534,-0.272712,-0.054017,-0.006789,-0.267561,0.109048,0.067335,-0.128631,-0.141666,0.204456,-0.233195,-0.67422,-0.391316,0.231314,2.247029,-1.34472,-0.062053,-0.667036,0.186706,-0.588013,0.685007,0.344381,0.255382,-0.041753,0.392765,0.563062,0.888572,-0.354748,-0.70357,1.105921,1.917564,0.543545,0.074843,0.930335,-0.433036,0.229607,-1.208251,-0.306416,1.255675,0.119283,0.45848,-0.318048,-0.121298,-0.024336,0.20011,-0.716083,-0.345398,-0.05847,0.242552,-0.849275,0.102151,0.028235,0.34107,1.982901,0.853958,1.373536,-0.457779,0.242086,-0.66674,-0.14871,-0.02603,-0.622035,-1.054893,0.684724,0.779349,1.296385,1.309401,0.604798,-0.060733,-0.340199,0.408702,0.336033,0.705675,0.049859,-0.448492,0.378126,-0.004968,1.047271,0.423593,1.570023,-0.350173,-0.201175,-0.57808,-0.081452,0.337142,-0.488258,-0.415538,0.032543,-0.20439,0.133632,-0.42925,-0.02474,0.397617,0.584998,-0.452678,3.718992,-0.03762,-0.116285,-0.215042,-0.52883,0.190804,-0.016845
