Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0007186~G-protein coupled receptor signaling pathway	96	6.837606837606838	7.429896507535147E-9	79473, 2914, 111, 338557, 11255, 5733, 27334, 390445, 2099, 100506013, 9283, 57580, 2899, 150, 1524, 1154, 84539, 3577, 116512, 776, 5745, 390275, 6295, 51052, 4889, 8938, 196883, 4886, 114815, 6361, 3351, 346562, 390061, 3354, 1234, 2849, 390064, 353345, 1237, 390066, 2847, 81248, 390067, 2846, 1812, 54328, 26492, 2844, 26494, 2566, 26495, 2567, 26497, 4935, 6752, 23533, 2561, 10268, 2359, 219429, 9368, 219865, 390081, 124274, 387815, 1128, 51655, 390073, 108, 283159, 390072, 51195, 84059, 2559, 26996, 624, 2554, 6004, 27202, 27201, 2925, 1363, 27198, 442361, 799, 23620, 340980, 6387, 8001, 7434, 390083, 2867, 120892, 7433, 768239, 387748	729	1152	16037	1.8332190214906265	4.2304935811587896E-5	4.2304935811587896E-5	1.4332974118680397E-5
GOTERM_BP_ALL	GO:0003008~system process	134	9.544159544159545	1.806990703171061E-7	79473, 8419, 374462, 338557, 5733, 390445, 4897, 489, 84530, 150, 1524, 59344, 480, 29850, 40, 56914, 1280, 283310, 152789, 6295, 1428, 4588, 3488, 9254, 1081, 388551, 9543, 64478, 4886, 1585, 3351, 390061, 4604, 390064, 11281, 390066, 3494, 390067, 1811, 51761, 1812, 2844, 2946, 4692, 23316, 4935, 6752, 57152, 219429, 2625, 9369, 9368, 390081, 387815, 18, 1128, 4583, 390073, 57616, 108, 283159, 390072, 624, 6004, 2173, 1469, 5153, 596, 27092, 65266, 816, 9370, 23620, 6387, 390083, 7433, 1472, 1470, 8435, 7054, 6101, 7021, 786, 161497, 431707, 11255, 111, 3781, 10396, 3779, 3778, 2902, 1137, 5076, 776, 390275, 196883, 7031, 346562, 2257, 81248, 26492, 26047, 26494, 26495, 26497, 3249, 22953, 2561, 10268, 1740, 4685, 1373, 219865, 3760, 121643, 3752, 341359, 3756, 367, 84059, 5304, 195814, 81832, 442361, 3375, 340980, 8912, 8911, 6531, 3767, 3768, 7369, 387748	729	1905	16037	1.5474100716834265	0.0010283714623054996	5.143179926515584E-4	3.485850714524119E-4
GOTERM_BP_ALL	GO:0007268~chemical synaptic transmission	57	4.05982905982906	2.2727920148152038E-7	2914, 4857, 11255, 1006, 388336, 3779, 2899, 1524, 40, 2902, 1137, 8499, 4889, 6506, 8938, 9254, 2900, 273, 8825, 9211, 3351, 3354, 2257, 1812, 2563, 594855, 2844, 57497, 6014, 2566, 23316, 10815, 6752, 22953, 2561, 1740, 9369, 869, 22997, 18, 1128, 140730, 341359, 5799, 2554, 6623, 816, 64084, 152330, 9370, 81832, 143425, 8001, 6531, 120892, 7433, 7054	729	599	16037	2.0933586155251898	0.001293290897745325	4.3128294415273327E-4	4.3844222781252995E-4
GOTERM_BP_ALL	GO:0098916~anterograde trans-synaptic signaling	57	4.05982905982906	2.2727920148152038E-7	2914, 4857, 11255, 1006, 388336, 3779, 2899, 1524, 40, 2902, 1137, 8499, 4889, 6506, 8938, 9254, 2900, 273, 8825, 9211, 3351, 3354, 2257, 1812, 2563, 594855, 2844, 57497, 6014, 2566, 23316, 10815, 6752, 22953, 2561, 1740, 9369, 869, 22997, 18, 1128, 140730, 341359, 5799, 2554, 6623, 816, 64084, 152330, 9370, 81832, 143425, 8001, 6531, 120892, 7433, 7054	729	599	16037	2.0933586155251898	0.001293290897745325	4.3128294415273327E-4	4.3844222781252995E-4
GOTERM_BP_ALL	GO:0099537~trans-synaptic signaling	57	4.05982905982906	2.2727920148152038E-7	2914, 4857, 11255, 1006, 388336, 3779, 2899, 1524, 40, 2902, 1137, 8499, 4889, 6506, 8938, 9254, 2900, 273, 8825, 9211, 3351, 3354, 2257, 1812, 2563, 594855, 2844, 57497, 6014, 2566, 23316, 10815, 6752, 22953, 2561, 1740, 9369, 869, 22997, 18, 1128, 140730, 341359, 5799, 2554, 6623, 816, 64084, 152330, 9370, 81832, 143425, 8001, 6531, 120892, 7433, 7054	729	599	16037	2.0933586155251898	0.001293290897745325	4.3128294415273327E-4	4.3844222781252995E-4
GOTERM_BP_ALL	GO:0099536~synaptic signaling	57	4.05982905982906	2.2727920148152038E-7	2914, 4857, 11255, 1006, 388336, 3779, 2899, 1524, 40, 2902, 1137, 8499, 4889, 6506, 8938, 9254, 2900, 273, 8825, 9211, 3351, 3354, 2257, 1812, 2563, 594855, 2844, 57497, 6014, 2566, 23316, 10815, 6752, 22953, 2561, 1740, 9369, 869, 22997, 18, 1128, 140730, 341359, 5799, 2554, 6623, 816, 64084, 152330, 9370, 81832, 143425, 8001, 6531, 120892, 7433, 7054	729	599	16037	2.0933586155251898	0.001293290897745325	4.3128294415273327E-4	4.3844222781252995E-4
GOTERM_BP_ALL	GO:0006811~ion transport	107	7.621082621082621	2.5052927073235375E-7	5167, 90134, 54102, 6557, 126755, 489, 150, 85320, 480, 29850, 40, 80736, 6564, 116337, 54997, 6549, 10809, 23704, 5174, 8499, 4889, 9254, 3351, 3354, 32, 1811, 1812, 7200, 2946, 10815, 6579, 9368, 18, 81031, 1128, 389816, 10110, 624, 9022, 23428, 9635, 51297, 57419, 596, 27092, 65266, 816, 348938, 30061, 51802, 189, 6387, 79570, 221301, 10599, 786, 11255, 3781, 157855, 10396, 3779, 2899, 3778, 1345, 2902, 1137, 771, 776, 5320, 57628, 6506, 160728, 7783, 6833, 2900, 1234, 2257, 2563, 255189, 2566, 2567, 168507, 203859, 3249, 22953, 2561, 10268, 3760, 3754, 3752, 6542, 3756, 2559, 2554, 9120, 157724, 84766, 8912, 8001, 8911, 357, 283229, 3767, 3768, 57101, 10786, 3565	729	1431	16037	1.6449009249433715	0.0014254968592374295	3.565648772477781E-4	4.8329362101195983E-4
GOTERM_BP_ALL	GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway	25	1.7806267806267806	3.4410525223683026E-7	2914, 6752, 9368, 11255, 111, 5733, 1128, 9283, 150, 2899, 108, 27201, 776, 5745, 799, 196883, 4886, 3351, 346562, 3354, 2849, 2847, 1812, 768239, 2844	729	163	16037	3.374022738939803	0.0019574173986123267	3.9179035883718516E-4	6.638095842226299E-4
GOTERM_BP_ALL	GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	16	1.1396011396011396	5.290699406531948E-7	2914, 6752, 11255, 111, 1128, 9283, 196883, 4886, 3351, 346562, 150, 2899, 3354, 108, 2847, 768239	729	71	16037	4.957437353890144	0.003007991938511756	5.019614816436091E-4	0.0010206211642826979
GOTERM_BP_ALL	GO:0018958~phenol-containing compound metabolic process	18	1.282051282051282	7.084294820841151E-7	5153, 596, 2625, 1733, 1428, 18, 4435, 6817, 1081, 5053, 5409, 6531, 1812, 3642, 7173, 389434, 7054, 3249	729	92	16037	4.304079441760601	0.0040256740613215936	5.760909815142323E-4	0.001366618817777443
GOTERM_BP_ALL	GO:0050877~neurological system process	91	6.481481481481481	1.0420903840822922E-6	79473, 8419, 374462, 161497, 431707, 111, 338557, 11255, 390445, 4897, 10396, 84530, 1524, 59344, 29850, 40, 56914, 2902, 1280, 1137, 5076, 283310, 776, 390275, 152789, 6295, 1428, 388551, 9543, 64478, 4886, 346562, 390061, 11281, 390064, 2257, 390066, 81248, 390067, 1812, 51761, 26492, 2844, 26047, 26494, 26495, 4692, 26497, 3249, 4935, 23316, 22953, 57152, 2561, 1740, 219429, 4685, 9369, 9368, 219865, 390081, 387815, 1128, 390073, 57616, 341359, 3756, 283159, 390072, 84059, 5304, 6004, 2173, 195814, 1469, 5153, 27092, 442361, 81832, 23620, 3375, 340980, 8911, 6531, 390083, 3767, 1472, 1470, 7054, 387748, 6101	729	1192	16037	1.6794254794192653	0.0059160963117455	7.414332197973605E-4	0.002010272044039585
GOTERM_BP_ALL	GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	26	1.8518518518518516	1.386234517363126E-6	2914, 6752, 9368, 11255, 111, 5733, 9283, 1128, 150, 2899, 108, 27201, 776, 5745, 799, 196883, 4886, 3351, 346562, 3354, 2849, 7433, 2847, 1812, 768239, 2844	729	188	16037	3.0423634824738053	0.00786215511446664	8.766405052204052E-4	0.002674143978875776
