"","gene","ensembl","Antibody","max_FC_log2","is_max"
"1","A1BG","ENSG00000121410.7",NA,0.843888151924375,0
"2","A1BG-AS1","ENSG00000268895.1",NA,0.53116253666516,0
"3","A1CF","ENSG00000148584.10",NA,0.0725686259506446,0
"4","A2M","ENSG00000175899.10",NA,-6.24286985693722,0
"5","A2M-AS1","ENSG00000245105.1",NA,0.768814460205546,0
"6","A2ML1","ENSG00000166535.15",NA,-1.47569711223448,0
"8","A2MP1","ENSG00000256069.3",NA,1.98227240745066,0
"9","A3GALT2","ENSG00000184389.8",NA,-2.18903382439002,0
"10","A4GALT","ENSG00000128274.11",NA,0.655612454580364,0
"11","A4GNT","ENSG00000118017.3",NA,-1.51239387477051,0
"12","AAAS","ENSG00000094914.8",NA,0.215456021359443,0
"13","AACS","ENSG00000081760.12",NA,0.211587281911418,0
"14","AACSP1","ENSG00000250420.4",NA,0.710590178741909,0
"15","AADAC","ENSG00000114771.9",NA,0.522140281375032,0
"16","AADACL2","ENSG00000197953.5",NA,-2.26303440583379,0
"17","AADACL2-AS1","ENSG00000242908.2",NA,-1.05658352836637,0
"18","AADACL3","ENSG00000188984.7",NA,-6.80219321694183,0
"19","AADACL4","ENSG00000204518.2",NA,-4.58496250072116,0
"20","AADACP1","ENSG00000240602.3",NA,-2.94753258010586,0
"21","AADAT","ENSG00000109576.9",NA,-0.756177598500253,0
"22","AAGAB","ENSG00000103591.8",NA,0.274681395033032,0
"23","AAK1","ENSG00000115977.14",NA,-1.15123205310618,0
"24","AAMDC","ENSG00000087884.10",NA,0.198099645707273,0
"25","AAMP","ENSG00000127837.5",NA,0.166931806061633,0
"26","AANAT","ENSG00000129673.5",NA,-0.981580060933542,0
"27","AAR2","ENSG00000131043.7",NA,0.370586645306491,0
"28","AARD","ENSG00000205002.3",NA,-2.43941953811308,0
"29","AARS1","ENSG00000090861.11",NA,-0.0985352891343947,0
"30","AARS2","ENSG00000124608.4",NA,-0.417924985667922,0
"31","AARSD1","ENSG00000266967.2",NA,-0.175294584476116,0
