"","gene","ensembl","Antibody","max_FC_log2"
"1","TSPAN6","ENSG00000000003.10",NA,-1.46015772998775
"2","TNMD","ENSG00000000005.5",NA,-2.48542682717024
"3","DPM1","ENSG00000000419.8",NA,0.15635223105845
"4","SCYL3","ENSG00000000457.9",NA,0.342887088908181
"5","C1orf112","ENSG00000000460.12",NA,-0.587095943457205
"6","FGR","ENSG00000000938.8",NA,-1.78176320815486
"7","CFH","ENSG00000000971.11",NA,-2.60990040247106
"8","FUCA2","ENSG00000001036.9",NA,-0.711053495550649
"9","GCLC","ENSG00000001084.6",NA,-0.526969225752174
"10","NFYA","ENSG00000001167.10",NA,-0.508415763409528
"11","STPG1","ENSG00000001460.13",NA,-0.762156590357604
"12","NIPAL3","ENSG00000001461.12",NA,-0.000769454010223214
"13","LAS1L","ENSG00000001497.12",NA,-0.276592998865834
"14","ENPP4","ENSG00000001561.6",NA,-0.739155892172743
"15","SEMA3F","ENSG00000001617.7",NA,1.0104675353794
"16","CFTR","ENSG00000001626.10",NA,0.183612699961872
"17","ANKIB1","ENSG00000001629.5",NA,-0.616417727739686
"18","CYP51A1","ENSG00000001630.11",NA,-0.649509248362824
"19","KRIT1","ENSG00000001631.10",NA,-0.462922300639147
"20","RAD52","ENSG00000002016.12",NA,0.359859733048593
"21","MYH16","ENSG00000002079.8",NA,-1.3669853698727
"23","LAP3","ENSG00000002549.8",NA,-0.10370343840362
"24","CD99","ENSG00000002586.13",NA,-1.01180534996938
"25","HS3ST1","ENSG00000002587.5",NA,-2.2964316157139
"26","AOC1","ENSG00000002726.15",NA,6.06426872336601
"27","WNT16","ENSG00000002745.8",NA,-3.77982540391337
"28","HECW1","ENSG00000002746.10",NA,-2.76507594685493
"29","MAD1L1","ENSG00000002822.11",NA,-1.09662381269213
"30","LASP1","ENSG00000002834.13",NA,0.688055220135922
"31","SNX11","ENSG00000002919.10",NA,0.6758131629888
"32","TMEM176A","ENSG00000002933.3",NA,2.8556837095452
"33","M6PR","ENSG00000003056.3",NA,-0.290205280318737
"34","KLHL13","ENSG00000003096.9",NA,1.27396610044207
"35","CYP26B1","ENSG00000003137.4",NA,-1.0658971266409
"36","ICA1","ENSG00000003147.13",NA,1.63508107716186
"37","DBNDD1","ENSG00000003249.9",NA,0.484007166677396
"38","ALS2","ENSG00000003393.10",NA,-0.286529492911058
"39","CASP10","ENSG00000003400.10",NA,-4.60205658712472
"40","CFLAR","ENSG00000003402.15",NA,-0.788731869700291
"41","TFPI","ENSG00000003436.10",NA,-1.8679486237542
"42","NDUFAF7","ENSG00000003509.11",NA,-0.483529839061732
"43","RBM5","ENSG00000003756.12",NA,-0.0816303461455625
"44","MTMR7","ENSG00000003987.9",NA,0.891834021305645
"45","SLC7A2","ENSG00000003989.12",NA,4.55123109166395
"46","ARF5","ENSG00000004059.6",NA,-0.186162959384465
"47","SARM1","ENSG00000004139.9",NA,-0.219658236942153
"48","POLDIP2","ENSG00000004142.7",NA,0.609453816450078
"49","PLXND1","ENSG00000004399.8",NA,-0.0241366032663271
"50","AK2","ENSG00000004455.12",NA,-0.774127484272843
"51","CD38","ENSG00000004468.8",NA,-3.02496191170989
"52","FKBP4","ENSG00000004478.5",NA,1.56069678383833
"53","KDM1A","ENSG00000004487.11",NA,-0.828477245470988
"54","RBM6","ENSG00000004534.10",NA,0.224135113578583
"55","CAMKK1","ENSG00000004660.10",NA,0.851674982996551
"56","RECQL","ENSG00000004700.11",NA,-0.7020218624006
"57","VPS50","ENSG00000004766.11",NA,-0.190670496618633
"58","HSPB6","ENSG00000004776.7",NA,-1.01510689239021
"59","ARHGAP33","ENSG00000004777.14",NA,-0.125903479663789
"60","NDUFAB1","ENSG00000004779.5",NA,0.440100288939254
"61","PDK4","ENSG00000004799.7",NA,-1.13153696782339
"62","SLC22A16","ENSG00000004809.9",NA,-2.50286142050626
"63","ZMYND10","ENSG00000004838.9",NA,1.30129514086456
"64","ABCB5","ENSG00000004846.12",NA,-0.552541023028779
"65","ARX","ENSG00000004848.6",NA,3.63203075437794
"66","SLC25A13","ENSG00000004864.9",NA,-0.58506530600046
"67","ST7","ENSG00000004866.14",NA,-0.354748237824372
"68","CDC27","ENSG00000004897.7",NA,-0.878551938545166
"69","SLC4A1","ENSG00000004939.9",NA,-0.762136169901113
"70","CALCR","ENSG00000004948.9",NA,4.80649591932851
"71","HCCS","ENSG00000004961.10",NA,-0.407337205340705
"72","DVL2","ENSG00000004975.7",NA,-0.688378456414399
"73","PRSS22","ENSG00000005001.5",NA,0.691009558150411
"74","UPF1","ENSG00000005007.8",NA,-0.249300656801774
"75","SKAP2","ENSG00000005020.8",NA,-1.7904778101326
"76","SLC25A5","ENSG00000005022.5",NA,-0.135111134524895
"77","MCUB","ENSG00000005059.11",NA,0.143398078563699
"78","HOXA11","ENSG00000005073.5",NA,-3.29106143894395
"79","POLR2J","ENSG00000005075.11",NA,-0.183361483214732
"80","DHX33","ENSG00000005100.8",NA,-0.654259708535629
"81","MEOX1","ENSG00000005102.8",NA,-5.74472763594325
"82","THSD7A","ENSG00000005108.11",NA,-1.13378588290647
"83","LIG3","ENSG00000005156.7",NA,0.0978885455960965
"84","RPAP3","ENSG00000005175.5",NA,0.00935128717758804
"85","ACSM3","ENSG00000005187.7",NA,-1.11302457536964
"86","REXO5","ENSG00000005189.15",NA,-0.333565322692805
"87","CIAPIN1","ENSG00000005194.10",NA,-0.0538142951373191
"88","SPPL2B","ENSG00000005206.12",NA,0.125575084448694
"89","FAM214B","ENSG00000005238.15",NA,0.0562718898373555
"90","COPZ2","ENSG00000005243.5",NA,-0.972422804350505
"91","PRKAR2B","ENSG00000005249.8",NA,0.56739439030788
"92","MSL3","ENSG00000005302.13",NA,-0.499978619492571
"93","CREBBP","ENSG00000005339.8",NA,-0.265584036661973
"94","TSPOAP1","ENSG00000005379.11",NA,-0.0601854717761547
"95","MPO","ENSG00000005381.6",NA,0.0872754904233912
"96","PON1","ENSG00000005421.4",NA,1.31912946153469
"97","GCFC2","ENSG00000005436.9",NA,-0.239300058568005
"98","WDR54","ENSG00000005448.12",NA,0.145547803564297
"99","CROT","ENSG00000005469.7",NA,0.273707802375923
"100","ABCB4","ENSG00000005471.11",NA,0.874801957931665
"101","KMT2E","ENSG00000005483.15",NA,-0.749926664908595
"102","RHBDD2","ENSG00000005486.12",NA,0.00371336452462856
"103","SOX8","ENSG00000005513.9",NA,-3.24892930476827
"104","IBTK","ENSG00000005700.10",NA,0.19358118018233
"105","ZNF195","ENSG00000005801.12",NA,-0.0373057661107055
"106","MYCBP2","ENSG00000005810.13",NA,-0.114593117703394
"107","FBXL3","ENSG00000005812.6",NA,0.0436783568757617
"108","ITGAL","ENSG00000005844.13",NA,1.2542955965117
"109","PDK2","ENSG00000005882.7",NA,1.27816818342204
"110","ITGA3","ENSG00000005884.13",NA,-0.93694314363104
"111","ZFX","ENSG00000005889.11",NA,-0.466472914582801
"112","LAMP2","ENSG00000005893.11",NA,-0.825204263649237
"113","ITGA2B","ENSG00000005961.13",NA,-0.0414248524052541
"114","ASB4","ENSG00000005981.8",NA,-1.91328836680667
"115","GDE1","ENSG00000006007.7",NA,-0.258594144800973
"116","REX1BD","ENSG00000006015.13",NA,0.109950549282861
"117","CRLF1","ENSG00000006016.6",NA,-0.965985848520469
"118","OSBPL7","ENSG00000006025.7",NA,0.66665340451298
"119","TMEM98","ENSG00000006042.7",NA,-0.587443868596151
"120","YBX2","ENSG00000006047.8",NA,0.369004277327349
"121","KRT33A","ENSG00000006059.3",NA,2.93859945533586
"122","MAP3K14","ENSG00000006062.9",NA,-1.16163055235866
"123","ABCC8","ENSG00000006071.7",NA,4.80997910463011
"125","CACNG3","ENSG00000006116.3",NA,0.736965594166206
"126","TMEM132A","ENSG00000006118.10",NA,1.11338860515598
"127","AP2B1","ENSG00000006125.12",NA,-0.590776427565111
"128","TAC1","ENSG00000006128.7",NA,1.48419952378624
"129","ZNF263","ENSG00000006194.6",NA,0.379343033487911
"130","CX3CL1","ENSG00000006210.6",NA,-1.34543822109751
"131","SPATA20","ENSG00000006282.15",NA,0.9672451600505
"132","CACNA1G","ENSG00000006283.13",NA,-1.05044293958875
"133","TNFRSF12A","ENSG00000006327.9",NA,-0.525986915331936
"134","DLX6","ENSG00000006377.9",NA,-6.46843098132843
"135","MAP3K9","ENSG00000006432.11",NA,-0.34282878946682
"136","RALA","ENSG00000006451.3",NA,-0.0399714885456479
"137","BAIAP2L1","ENSG00000006453.9",NA,-0.805315586998081
"138","KDM7A","ENSG00000006459.6",NA,-0.409114704883233
"139","ETV1","ENSG00000006468.9",NA,-3.39178476815174
"140","AGK","ENSG00000006530.11",NA,-0.277821338815205
"141","ALDH3B1","ENSG00000006534.11",NA,-1.34720087223802
"142","TTC22","ENSG00000006555.6",NA,-3.27847498744977
"143","PHTF2","ENSG00000006576.12",NA,-0.892616746799554
"144","CCL26","ENSG00000006606.4",NA,-3.33703498727757
"145","FARP2","ENSG00000006607.9",NA,-0.145521259325298
"146","USH1C","ENSG00000006611.11",NA,-4.36433091642672
"147","GGCT","ENSG00000006625.13",NA,0.523299361436885
"148","DBF4","ENSG00000006634.3",NA,-0.767657706162603
"149","TBXA2R","ENSG00000006638.7",NA,-1.80141333088766
"150","IFRD1","ENSG00000006652.9",NA,-1.34094424126466
"152","COX10","ENSG00000006695.6",NA,-0.390482687997966
"153","GTF2IRD1","ENSG00000006704.6",NA,-0.0801735924250631
"154","PAF1","ENSG00000006712.10",NA,0.0928116660135494
"155","VPS41","ENSG00000006715.11",NA,0.00876618582695166
"156","ARHGAP44","ENSG00000006740.12",NA,1.41048797420237
"157","ELAC2","ENSG00000006744.14",NA,0.207410911594504
"158","SCIN","ENSG00000006747.10",NA,-0.0629081306442894
"159","ARSD","ENSG00000006756.11",NA,0.0227887413008343
"160","PNPLA4","ENSG00000006757.7",NA,0.631421990772169
"161","MYH13","ENSG00000006788.8",NA,-1.84799690655495
"162","ADIPOR2","ENSG00000006831.9",NA,0.455931782306614
"163","CDKL3","ENSG00000006837.7",NA,-0.378927205869563
"164","UPP2","ENSG00000007001.8",NA,0.121629444401531
"165","PRSS21","ENSG00000007038.6",NA,-3.7472958534066
"166","MARK4","ENSG00000007047.10",NA,0.0617010041378729
"167","PROM1","ENSG00000007062.7",NA,-1.65104491772427
"168","CCDC124","ENSG00000007080.6",NA,-0.270577580179209
