gene_name,antibody_name,RNASeq_name,posRPPAaverage,negRPPAaverage,RNA_transform_pos,RNA_transform_neg,antibody_name,posRPPAaveragePHOS,negRPPAaveragePHOS,RNA_transform_posPHOS,RNA_transform_negPHOS
ACACA,ACC1_Caution,ENSG00000132142.15,0.266410917,-0.367149182,4.537655285,3.691434686,ACC_pS79,0.212807778,-0.257208273,4.499694192,3.859449731
BRAF,B-Raf_Caution,ENSG00000157764.8,-0.054610389,0.078135364,4.310311893,4.37193209,B-Raf_pS445,0.247964278,0.114451,4.524591599,4.427430752
CDKN1B,p27,ENSG00000111276.6,0.294162972,0.034360364,4.557308954,4.305033802,p27_pT157_Caution,0.104586833,-0.041651909,4.423053433,4.188869532
CHEK1,Chk1_Caution,ENSG00000149554.8,-0.254979139,-0.124397909,4.168413176,4.062414574,Chk1_pS345_Caution,-0.00066375,0.061832,4.348516248,4.347016793
CHEK2,Chk2,ENSG00000183765.16,-0.030572361,0.123396,4.327335332,4.441100773,Chk2_pT68_Caution,-0.023344111,0.060951818,4.332454291,4.345671673
CTNNB1,beta-Catenin,ENSG00000168036.12,-0.629828056,0.596575091,3.902949723,5.164227471,beta-Catenin_pT41_S45,0.05411275,0.069417909,4.3873083,4.358609811
EGFR,EGFR,ENSG00000146648.11,-0.52930825,0.306750636,3.97413663,4.721308913,EGFR_pY1068_Caution,0.660034861,0.704483273,4.816414984,5.329136041
EIF4EBP1,4E-BP1,ENSG00000187840.4,-0.032759111,-0.212331545,4.325786702,3.928031713,4E-BP1_pS65,0.162605056,0.313302545,4.464141234,4.73132174
ERBB2,HER2,ENSG00000141736.9,1.646396056,1.390235182,5.514944009,6.377122995,HER2_pY1248_Caution,1.27853225,1.283158182,5.254427327,6.213484662
ERBB3,HER3,ENSG00000065361.10,0.819203667,0.302755,4.9291364,4.71520266,HER3_pY1289_Caution,0.245499806,0.013712636,4.52284629,4.273479316
ESR1,ER-alpha,ENSG00000091831.17,1.743695056,-0.199340182,5.58384998,3.94788551,ER-alpha_pS118,0.354639556,-0.093204,4.600137736,4.110086056
FOXO3,FOXO3a_Caution,ENSG00000118689.10,0.209525722,0.016675818,4.49736988,4.278007741,FOXO3a_pS318_S321_Caution,0.000378,0.026665818,4.349254002,4.293274763
GSK3B,GSK3-alpha-beta,ENSG00000082701.10,0.182711528,-0.004044636,4.478380393,4.246342111,GSK3-alpha-beta_pS21_S9,0.437682583,0.365841909,4.6589478,4.811613995
MAP2K1,MEK1,ENSG00000169032.5,-0.149497472,0.069959,4.243114012,4.359436722,MEK1_pS217_S221,-0.230814222,-0.048814727,4.185526477,4.177923095
MAPK14,p38_MAPK,ENSG00000112062.6,0.290317333,0.308021182,4.554585519,4.723250599,p38_pT180_Y182,-0.156496333,-0.033631091,4.238157504,4.20112719
MET,c-Met_Caution,ENSG00000105976.10,-0.035098111,0.410675182,4.324130251,4.880129568,c-Met_pY1235,-0.06347125,-0.108810727,4.304036738,4.08623538
MTOR,mTOR,ENSG00000198793.8,0.118263944,-0.002196091,4.432739397,4.249167115,mTOR_pS2448_Caution,0.17698325,0.214073273,4.474323697,4.579676543
PDK1,PDK1,ENSG00000152256.9,0.213153167,-0.024064818,4.499938793,4.215746659,PDK1_pS241,0.3272055,-0.000220636,4.580709271,4.252186064
PEA15,PEA15,ENSG00000162734.8,-0.002030583,0.124493636,4.347548273,4.442778214,PEA15_pS116,0.071244528,0.678287273,4.399440817,5.289102516
PRKAA1,AMPK_alpha_Caution,ENSG00000132356.7,-0.099282194,-0.077941182,4.278675862,4.13341116,AMPK_pT172,-0.30811775,-0.300536818,4.130781057,3.793233729
PRKCA,PKC-alpha,ENSG00000154229.7,-0.553043583,0.117848818,3.957327555,4.432623401,PKC-alpha_pS657_Caution,-0.782381611,-0.120750727,3.794913147,4.067988308
RB1,Rb_Caution,ENSG00000139687.9,-0.205347,-0.083606727,4.203562054,4.124752901,Rb_pS807_S811,-0.400607972,0.029760727,4.065280604,4.298004497
RICTOR,Rictor_Caution,ENSG00000164327.8,-0.086155056,-0.044295545,4.287972343,4.184829446,Rictor_pT1135,0.215618694,0.197446727,4.501684849,4.55426735
RPS6KA1,p90RSK_Caution,ENSG00000117676.9,-0.005099083,0.367785455,4.345375198,4.814584181,p90RSK_pT359_S363_Caution,-0.010887778,-0.012104455,4.341275715,4.234024851
RPS6KB1,p70S6K,ENSG00000108443.9,0.399591778,-0.157581818,4.631972354,4.011701914,p70S6K_pT389,0.546910806,0.245874545,4.736301901,4.628276217
SRC,Src,ENSG00000197122.7,0.108320306,-0.022232818,4.425697433,4.218546378,Src_pY416_Caution,-0.094334389,0.046519909,4.282179838,4.323616389
STAT3,STAT3_Caution,ENSG00000168610.10,0.319100111,0.458066364,4.574969133,4.952554216,STAT3_pY705,-0.019524111,0.316178091,4.335159569,4.735716236
TSC2,Tuberin,ENSG00000103197.12,0.077234167,-0.182699455,4.403682607,3.973316377,Tuberin_pT1462,0.276522944,0.037374091,4.5448165,4.309639472
YAP1,YAP_Caution,ENSG00000137693.9,-0.07666225,0.086430545,4.294695032,4.38460904,YAP_pS127_Caution,-0.503597611,0.126301818,3.992344592,4.445541533
YBX1,YB-1,ENSG00000065978.13,-0.053369444,0.035139091,4.311190715,4.306223877,YB-1_pS102,-0.158614944,0.001792636,4.236657129,4.255262809
