"","gene_name","antibody_name","RNASeq_name","RPPAFC","RNAFC","log2RPPAFC","log2RNAFC","max_log_FC","max_RPPAorRNA"
"1","ACTB","beta Actin_Caution","ENSG00000075624.9",0.688848039828733,0.649004317097371,-0.537742336,-0.62370002,-0.62370002,"RNA"
"2","ACVRL1","ACVRL1_Caution","ENSG00000139567.8",1.11788096246238,1.2112673762609,0.160766571,0.276517362,0.276517362,"RNA"
"3","ADAR","ADAR1","ENSG00000160710.11",1.18945468496807,1.3187648642309,0.25030031,0.399187355,0.399187355,"RNA"
"4","ANXA1","Annexin 1","ENSG00000135046.9",0.571221854929217,0.716802656895012,-0.807876917,-0.480352110000001,-0.807876917,"RPPA"
"5","ANXA7","Annexin_VII","ENSG00000138279.11",1.17828733822412,1.24032196792919,0.236691399,0.310714669999999,0.310714669999999,"RNA"
"6","AR","AR","ENSG00000169083.11",1.8685566366406,1.42465727723948,0.901924293,0.510614899,0.901924293,"RPPA"
"7","ASNS","ASNS","ENSG00000070669.12",0.716807122594392,0.834698890294555,-0.480343122,-0.260672242,-0.480343122,"RPPA"
"8","ATM","ATM","ENSG00000149311.13",1.25336073715046,2.24564374679602,0.325801705,1.167129074,1.167129074,"RNA"
"9","BAK1","Bak_Caution","ENSG00000030110.8",1.10050249573711,1.22874367477599,0.138162417,0.29718399,0.29718399,"RNA"
"10","BAP1","Bap1 c-4","ENSG00000163930.5",0.876868648571221,1.01458375284378,-0.189567346,0.0208879629999998,-0.189567346,"RPPA"
"11","BAX","Bax","ENSG00000087088.15",0.992548963630513,1.21688661304413,-0.010789821,0.283194747,0.283194747,"RNA"
"12","BCL2","Bcl-2","ENSG00000171791.10",1.49618450081514,1.67548583073917,0.581288091,0.744579486,0.744579486,"RNA"
"13","BCL2L1","Bcl-xL","ENSG00000171552.8",0.934590276137819,1.01951901412294,-0.097594068,0.0278886819999995,-0.097594068,"RPPA"
"14","BCL2L11","Bim(EP1036)","ENSG00000153094.17",1.14372004382492,1.06922035360615,0.193733957,0.0965592060000002,0.193733957,"RPPA"
"15","BECN1","Beclin_Caution","ENSG00000126581.8",1.1391591147731,1.32265315856176,0.187969273,0.403434791,0.403434791,"RNA"
"16","BID","Bid_Caution","ENSG00000015475.14",0.944356770219492,1.02522251767186,-0.082596094,0.0359370710000002,-0.082596094,"RPPA"
"17","BIRC2","cIAP_Caution","ENSG00000110330.4",1.08139689264028,1.19824860884258,0.112896116,0.260927265,0.260927265,"RNA"
"18","BRCA2","BRCA2_Caution","ENSG00000139618.10",1.06749701818179,1.11876114232509,0.09423204,0.161902051,0.161902051,"RNA"
"19","C12orf5","TIGAR","ENSG00000078237.4",0.864393890836928,0.941063190898807,-0.210239219,-0.0876364939999998,-0.210239219,"RPPA"
"20","CASP7","Caspase-7_cleavedD198_Caution","ENSG00000165806.15",0.881941580225876,0.85294416395159,-0.181245,-0.229476793,-0.229476793,"RNA"
"21","CASP8","Caspase-8_Caution","ENSG00000064012.17",0.834185890694207,0.833789137423796,-0.261559184,-0.262245518,-0.262245518,"RNA"
"22","CAV1","Caveolin-1","ENSG00000105974.7",0.398095620676719,0.586699681528327,-1.328813094,-0.769305886,-1.328813094,"RPPA"
"23","CCNB1","Cyclin_B1","ENSG00000134057.10",0.850540002343814,0.855950300976249,-0.233549005,-0.224401063,-0.233549005,"RPPA"
"24","CCND1","Cyclin_D1","ENSG00000110092.3",0.800214970983298,0.836221785785821,-0.321540475,-0.258042465,-0.321540475,"RPPA"
"25","CCNE1","Cyclin_E1","ENSG00000105173.9",0.687340447804444,0.571281308932849,-0.540903235,-0.807726766,-0.807726766,"RNA"
"26","CCNE2","Cyclin_E2_Caution","ENSG00000175305.12",0.853759804861444,0.740335663512368,-0.228097853,-0.433748566999999,-0.433748566999999,"RNA"
"27","CDH1","E-Cadherin","ENSG00000039068.14",0.947840331221551,0.255369134569851,-0.0772840450000003,-1.969343932,-1.969343932,"RNA"
"28","CDH2","N-Cadherin","ENSG00000170558.4",0.884923972070972,1.03445519241876,-0.176374583,0.0488711559999997,-0.176374583,"RPPA"
"29","CDH3","P-Cadherin_Caution","ENSG00000062038.9",0.668216710692062,0.533702469143801,-0.581612033,-0.905892409,-0.905892409,"RNA"
"30","CDK1","CDK1","ENSG00000170312.11",0.853689691728434,0.927085597076618,-0.228216336,-0.109225547,-0.228216336,"RPPA"
"31","CDKN1A","p21","ENSG00000124762.9",1.00932376849923,1.05863087357536,0.013389033,0.0821996340000002,0.0821996340000002,"RNA"
