"","gene_name","antibody_name","RNASeq_name","RPPAFC","RNAFC","log2RPPAFC","log2RNAFC","max_log_FC","max_RPPAorRNA"
"1","ACTB","beta Actin_Caution","ENSG00000075624.9",0.688848039768087,0.803099421197274,-0.537742336127014,-0.316349494953575,-0.537742336127014,"RPPA"
"2","ACVRL1","ACVRL1_Caution","ENSG00000139567.8",1.11788096304332,1.05597041358143,0.160766571749743,0.0785694135057309,0.160766571749743,"RPPA"
"3","ADAR","ADAR1","ENSG00000160710.11",1.18945468583048,1.09431210414727,0.250300311046023,0.130024261795401,0.250300311046023,"RPPA"
"4","ANXA1","Annexin 1","ENSG00000135046.9",0.57122185521085,0.883105059034,-0.807876916288698,-0.179343015868315,-0.807876916288698,"RPPA"
"5","ANXA7","Annexin_VII","ENSG00000138279.11",1.17828733780304,1.06594126706543,0.236691398484438,0.092127948371204,0.236691398484438,"RPPA"
"6","AR","AR","ENSG00000169083.11",1.86855663662786,1.18350697046815,0.901924292990169,0.243068203098486,0.901924292990169,"RPPA"
"7","ASNS","ASNS","ENSG00000070669.12",0.716807123512689,0.918747813409342,-0.480343120151772,-0.122259183615354,-0.480343120151772,"RPPA"
"8","ATM","ATM","ENSG00000149311.13",1.25336073582934,1.35225878498115,0.325801703479301,0.435371270024274,0.435371270024274,"RNA"
"9","BAK1","Bak_Caution","ENSG00000030110.8",1.10050249445142,1.06335061578562,0.138162415314541,0.0886173713306707,0.138162415314541,"RPPA"
"10","BAP1","Bap1 c-4","ENSG00000163930.5",0.876868648427495,0.988597901001117,-0.18956734623647,-0.0165442515479474,-0.18956734623647,"RPPA"
"11","BAX","Bax","ENSG00000087088.15",0.992548964020845,1.06597554667534,-0.0107898204326432,0.0921743432613902,0.0921743432613902,"RNA"
"12","BCL2","Bcl-2","ENSG00000171791.10",1.49618450074097,1.20899086652763,0.581288090928485,0.273803345608482,0.581288090928485,"RPPA"
"13","BCL2L1","Bcl-xL","ENSG00000171552.8",0.934590276445822,0.984550137179876,-0.097594067524546,-0.0224634191627595,-0.097594067524546,"RPPA"
"14","BCL2L11","Bim(EP1036)","ENSG00000153094.17",1.14372004375515,0.998915068251588,0.193733956911998,-0.00156607534927029,0.193733956911998,"RPPA"
"15","BECN1","Beclin_Caution","ENSG00000126581.8",1.1391591143379,1.09702757831214,0.187969272448842,0.133599794286271,0.187969272448842,"RPPA"
"16","BID","Bid_Caution","ENSG00000015475.14",0.944356770525191,0.986367444437269,-0.0825960935329833,-0.0198029112496059,-0.0825960935329833,"RPPA"
"17","BIRC2","cIAP_Caution","ENSG00000110330.4",1.08139689255668,1.05219558761769,0.112896115888474,0.0734029052562098,0.112896115888474,"RPPA"
"18","BRCA2","BRCA2_Caution","ENSG00000139618.10",1.06749701792848,1.02036691780648,0.0942320396576598,0.0290880299543973,0.0942320396576598,"RPPA"
"19","C12orf5","TIGAR","ENSG00000078237.4",0.864393889933563,0.953224520646424,-0.210239220507738,-0.0691120311476907,-0.210239220507738,"RPPA"
"20","CASP7","Caspase-7_cleavedD198_Caution","ENSG00000165806.15",0.881941580239197,0.904960863843801,-0.181244999978209,-0.144072692480828,-0.181244999978209,"RPPA"
"21","CASP8","Caspase-8_Caution","ENSG00000064012.17",0.834185890965438,0.898959021698785,-0.261559183530915,-0.153672741705344,-0.261559183530915,"RPPA"
"22","CAV1","Caveolin-1","ENSG00000105974.7",0.398095620338266,0.865989589163163,-1.32881309522655,-0.207578413760949,-1.32881309522655,"RPPA"
"23","CCNB1","Cyclin_B1","ENSG00000134057.10",0.850540002528859,0.90950196273609,-0.233549004686126,-0.136851343622401,-0.233549004686126,"RPPA"
