gene_name,antibody_name,RNASeq_name,posRPPAaverage,negRPPAaverage,RNA_transform_pos,RNA_transform_neg
ACTB,beta Actin_Caution,ENSG00000075624.9,-0.123933972,0.413808364,4.261217772,4.884917792
ACVRL1,ACVRL1_Caution,ENSG00000139567.8,0.080037389,-0.080729182,4.405667815,4.129150453
ADAR,ADAR1,ENSG00000160710.11,0.097302583,-0.152997727,4.417894816,4.018707461
ANXA1,Annexin 1,ENSG00000135046.9,-0.802161917,0.005715,3.780904975,4.261257085
ANXA7,Annexin_VII,ENSG00000138279.11,0.179828944,-0.056862455,4.476338983,4.165624313
AR,AR,ENSG00000169083.11,1.175788111,0.273863818,5.181665175,4.671050276
ASNS,ASNS,ENSG00000070669.12,-0.459658667,0.020684455,4.023461619,4.284133861
ATM,ATM,ENSG00000149311.13,-0.69845875,-1.024260455,3.854346299,2.687217225
BAK1,Bak_Caution,ENSG00000030110.8,0.012710417,-0.125452,4.35798767,4.06080368
BAP1,Bap1 c-4,ENSG00000163930.5,-0.261117528,-0.071550182,4.164066044,4.143178081
BAX,Bax,ENSG00000087088.15,-0.247817639,-0.237027818,4.173484864,3.890290117
BCL2,Bcl-2,ENSG00000171791.10,0.292943,-0.288345091,4.556444984,3.811865498
BCL2L1,Bcl-xL,ENSG00000171552.8,-0.09825325,-0.000659182,4.279404548,4.251515866
BCL2L11,Bim(EP1036),ENSG00000153094.17,0.360925139,0.167191182,4.60458911,4.508029904
BECN1,Beclin_Caution,ENSG00000126581.8,-0.024037,-0.212006273,4.331963596,3.928528805
BID,Bid_Caution,ENSG00000015475.14,-0.080117639,0.002478455,4.292247968,4.256310897
BIRC2,cIAP_Caution,ENSG00000110330.4,0.009837389,-0.103058727,4.355953027,4.095025762
BRCA2,BRCA2_Caution,ENSG00000139618.10,0.095811222,0.001579182,4.416838652,4.254936601
C12orf5,TIGAR,ENSG00000078237.4,-0.167301583,0.042937636,4.230505357,4.318141851
CASP7,Caspase-7_cleavedD198_Caution,ENSG00000165806.15,0.059699,0.240944,4.391264414,4.620741207
CASP8,Caspase-8_Caution,ENSG00000064012.17,-0.050014639,0.211544545,4.313566547,4.575812065
CAV1,Caveolin-1,ENSG00000105974.7,-1.420613639,-0.091800545,3.342924972,4.112230858
CCNB1,Cyclin_B1,ENSG00000134057.10,-0.043964278,0.189584727,4.317851339,4.542252402
CCND1,Cyclin_D1,ENSG00000110092.3,-0.166921111,0.154619364,4.230774803,4.488817268
CCNE1,Cyclin_E1,ENSG00000105173.9,0.094586583,0.635489818,4.415971377,5.223698143
CCNE2,Cyclin_E2_Caution,ENSG00000175305.12,0.221483056,0.449580909,4.505837919,4.939586486
CDH1,E-Cadherin,ENSG00000039068.14,2.3751195,2.452403545,6.031017107,8.000361039
CDH2,N-Cadherin,ENSG00000170558.4,-0.270655583,-0.094281,4.157311308,4.108440152
CDH3,P-Cadherin_Caution,ENSG00000062038.9,0.138429694,0.720041727,4.447020537,5.352912946
CDK1,CDK1,ENSG00000170312.11,-0.174476972,0.053739364,4.225423833,4.33464938
CDKN1A,p21,ENSG00000124762.9,0.042345306,0.028956273,4.378974739,4.296775105
CDKN2A,p14 Arf(BetA300-340A)_Caution,ENSG00000147889.12,0.07479075,0.953952273,4.401952209,5.710382165
CLDN7,Claudin-7,ENSG00000181885.14,2.159522361,1.630264455,5.87833383,6.74394304
COL6A1,Collagen_VI,ENSG00000142156.10,-0.041399444,0.325438636,4.319667723,4.749868484
DIABLO,Smac_Caution,ENSG00000184047.11,0.031253056,-0.021049545,4.371119342,4.220354691
DIRAS3,Di-Ras3_Caution,ENSG00000162595.4,0.036778167,-0.095865455,4.375032158,4.10601874
DVL3,Dvl3,ENSG00000161202.13,-0.079418583,0.122808727,4.292743031,4.440203285
EEF2,eEF2_Caution,ENSG00000167658.11,-0.119794,0.060037455,4.264149651,4.344274314
EEF2K,eEF2K,ENSG00000103319.7,-0.013397361,-0.118937364,4.339498459,4.070759546
EIF4E,eIF4E,ENSG00000151247.8,0.063315778,0.025422364,4.393825773,4.291374478
EIF4G1,eIF4G_Caution,ENSG00000114867.15,-0.182524889,-0.022742091,4.219724397,4.217768092
ERCC1,ERCC1_Caution,ENSG00000012061.11,0.059245056,0.240969545,4.390942936,4.620780246
ERRFI1,MIG-6,ENSG00000116285.8,-0.027337389,-0.025769909,4.3296263,4.213140888
ETS1,ETS-1,ENSG00000134954.10,-0.167144639,0.235961909,4.230616503,4.613127424
FASN,FASN,ENSG00000169710.6,1.173352639,0.214546182,5.179940403,4.580399257
FN1,Fibronectin,ENSG00000115414.14,-0.345592417,0.759741091,4.104241953,5.413582722
FOSL1,FRA1_Caution,ENSG00000175592.4,-0.431915278,-0.077542,4.04310915,4.134021201
FOXM1,FoxM1,ENSG00000111206.8,-0.036464833,0.092850455,4.323162355,4.39442014
G6PD,G6PD,ENSG00000160211.11,1.018876639,0.872967455,5.070542375,5.5866187
GAB2,Gab2,ENSG00000033327.8,-0.184869806,-0.367906545,4.218063755,3.690277259
GAPDH,GAPDH_Caution,ENSG00000111640.10,0.227108333,0.068185455,4.509821672,4.356726336
GATA3,GATA3,ENSG00000107485.11,2.203250083,0.628097273,5.909301272,5.21240063
HSPA1A,HSP70_Caution,ENSG00000204389.8,0.205845722,0.022249,4.494763749,4.286524847
IGFBP2,IGFBP2,ENSG00000115457.5,1.141359333,0.157352182,5.157283133,4.492993644
INPP4B,INPP4B,ENSG00000109452.8,0.308936083,-0.138648091,4.567771091,4.040637012
IRS1,IRS1,ENSG00000169047.5,0.079274139,-0.067717636,4.40512729,4.149035093
ITGA2,CD49b,ENSG00000164171.6,0.168692278,0.231684091,4.468452131,4.606589932
JAK2,JAK2,ENSG00000096968.8,-0.181524667,-0.007309273,4.220432742,4.241352994
KDR,VEGFR2,ENSG00000128052.8,0.361614444,0.114858182,4.605077267,4.428053019
KIT,c-Kit,ENSG00000157404.11,0.391248139,0.372128273,4.62606349,4.821221008
LCK,Lck,ENSG00000182866.12,-0.525505611,0.061241909,3.976829612,4.346114998
MAPK9,JNK2_Caution,ENSG00000050748.13,0.256191111,0.433915818,4.530417742,4.915646617
MDM4,MDMX_MDM4(BetIHC-00108)_Caution,ENSG00000198625.8,0.091600222,-0.061126091,4.413856473,4.159108494
MRE11A,Mre11_Caution,ENSG00000020922.8,0.034403472,-0.131261091,4.373350429,4.051926051
MS4A1,CD20 _Caution,ENSG00000156738.13,-0.024776556,-0.106147091,4.331439851,4.09030603
MSH2,MSH2,ENSG00000095002.8,0.013990722,0.095636273,4.358894367,4.398677512
MSH6,MSH6_Caution,ENSG00000116062.10,-0.086830583,0.409598182,4.287493942,4.878483664
MYC,c-Myc_Caution,ENSG00000136997.10,-0.1822285,-0.373449636,4.219934296,3.681806139
MYH11,MYH11,ENSG00000133392.12,-0.178848583,0.135050636,4.222327911,4.458911743
MYH9,Myosin IIa pS1943,ENSG00000100345.16,-0.294162778,0.003036909,4.140663799,4.257164345
NF2,NF2_Caution,ENSG00000186575.13,-0.306641611,0.288003091,4.13182644,4.692658343
NOTCH1,Notch1,ENSG00000148400.9,0.004220778,0.305973455,4.351975411,4.7201212
NRAS,N-Ras,ENSG00000213281.4,0.077145972,-0.153081818,4.403620148,4.018578951
NRG1,Heregulin,ENSG00000157168.14,0.035787222,-0.175933,4.374330384,3.983657079
PARK7,DJ-1,ENSG00000116288.8,0.020270139,-0.111134727,4.363341374,4.082683773
PARP1,PARP_cleaved_Caution,ENSG00000143799.8,0.161248111,0.293784091,4.463180262,4.701493043
PCNA,PCNA_Caution,ENSG00000132646.6,-0.118324472,0.315943,4.265190352,4.735356963
PDCD4,PDCD4_Caution,ENSG00000150593.11,0.531610667,-0.403830545,4.725466528,3.635377109
PGR,PR,ENSG00000082175.10,0.155218278,-0.061903091,4.458910007,4.157921059
PIK3CA,PI3K-p110-alpha_Caution,ENSG00000121879.3,0.006399417,-0.181364364,4.353518296,3.975356703
PIK3R1,PI3K-p85,ENSG00000145675.10,0.021569361,0.114558364,4.364261467,4.427594828
PRDX1,PRDX1,ENSG00000117450.9,0.276566194,0.196723091,4.544847129,4.553161467
PREX1,PREX1,ENSG00000124126.9,1.333094028,-0.253997091,5.293067316,3.864357157
PTEN,PTEN,ENSG00000171862.5,0.042341472,-1.563628727,4.378972024,1.862938203
PXN,Paxillin_Caution,ENSG00000089159.11,-0.444187556,-0.295843455,4.034418072,3.80040627
RAB25,Rab25,ENSG00000132698.9,1.272415611,0.887411455,5.250095598,5.60869246
